index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.7116578863817962,0.5133413578225208,0.46910785927975646,0.27122410201439234,0.3696447413160489,0.3946253749023926,0.21169459459459458,0.2872521739130434,0.3150561797752809,part_0,part_1,part_2,af2,CV
1,Ridge,,0.7740150833333681,0.6103472247463253,0.6172688715169972,0.23703763032642203,0.34913891542633085,0.3517098046612043,0.18820296291802233,0.28564667210956046,0.2767810091390376,part_0,part_1,part_2,af2,CV
2,RandomForest,,0.9491706722145357,0.6154842329411444,0.6074957687677321,0.11538770326247594,0.3358518800799854,0.35924742036558294,0.09419114864864866,0.2750938043478261,0.30259876404494385,part_0,part_1,part_2,af2,CV
3,MLP,,0.7659044739093283,0.6112733254169289,0.6007844867621964,0.2312851543963058,0.3553849070469904,0.37391919221707937,0.17221605103435414,0.2635669757077354,0.27443938932876255,part_0,part_1,part_2,af2,CV
4,KNN,,0.5259654661566194,0.5167448705225185,0.46534665858239294,0.3412542259118599,0.38810399394023193,0.3747377355361782,0.28605189189189184,0.338954606741573,0.315115652173913,part_0,part_2,part_1,af2,CV
5,Ridge,,0.7740150833333681,0.6172688715169972,0.6103472247463253,0.23703763032642203,0.3517098046612043,0.34913891542633085,0.18820296291802233,0.2767810091390376,0.28564667210956046,part_0,part_2,part_1,af2,CV
6,RandomForest,,0.9491706722145357,0.6074957687677321,0.6154842329411444,0.11538770326247594,0.35924742036558294,0.3358518800799854,0.09419114864864866,0.30259876404494385,0.2750938043478261,part_0,part_2,part_1,af2,CV
7,MLP,,0.6931446099381741,0.5756887737925072,0.6502406082296598,0.2759374325735323,0.36629390743252244,0.3249195560331286,0.20978286429737678,0.2764260406382068,0.24851649477162147,part_0,part_2,part_1,af2,CV
8,KNN,,0.6114229815688428,0.4722159652136594,0.4743577244296174,0.33267499481312546,0.36417723076189895,0.3781305790748226,0.2774826086956521,0.30692027027027025,0.3215752808988764,part_1,part_0,part_2,af2,CV
9,Ridge,,0.8185683999477338,0.5561772839974387,0.48998550864410717,0.22548226565601762,0.37436818879771583,0.40945523493054603,0.1787297816323475,0.29815685087230626,0.32524146881771365,part_1,part_0,part_2,af2,CV
10,RandomForest,,0.9536651497184281,0.6235914731927505,0.63086446048791,0.12459770011922376,0.32347202119599405,0.3528674677122601,0.10508445652173916,0.27560547297297294,0.3069513483146067,part_1,part_0,part_2,af2,CV
11,MLP,,0.7689159693260594,0.5875106171767378,0.5794244766979685,0.254015209076978,0.3388164402320712,0.37283333723248596,0.19059518876282092,0.2520827443372416,0.28717487929584656,part_1,part_0,part_2,af2,CV
12,KNN,,0.6114229815688428,0.4743577244296174,0.4722159652136594,0.33267499481312546,0.3781305790748226,0.36417723076189895,0.2774826086956521,0.3215752808988764,0.30692027027027025,part_1,part_2,part_0,af2,CV
13,Ridge,,0.8185683999477338,0.48998550864410717,0.5561772839974387,0.22548226565601762,0.40945523493054603,0.37436818879771583,0.1787297816323475,0.32524146881771365,0.29815685087230626,part_1,part_2,part_0,af2,CV
14,RandomForest,,0.9536651497184281,0.63086446048791,0.6235914731927505,0.12459770011922376,0.3528674677122601,0.32347202119599405,0.10508445652173916,0.3069513483146067,0.27560547297297294,part_1,part_2,part_0,af2,CV
15,MLP,,0.7820180282303254,0.53852203372073,0.5775606506752058,0.244784525766828,0.3921327144865108,0.3491731077943107,0.18354130693979498,0.3019027799911653,0.25824394803635004,part_1,part_2,part_0,af2,CV
16,KNN,,0.6460510286544537,0.45274800264494025,0.4699582136326465,0.32670285781329,0.39997360385878433,0.38441037854152016,0.25629438202247196,0.32446216216216217,0.30859130434782606,part_2,part_0,part_1,af2,CV
17,Ridge,,0.8391818183408274,0.5455243609957833,0.5508753734381324,0.22099105196368563,0.3712915054308621,0.3820715659050849,0.17392645179634342,0.29299970485585247,0.30192071031802653,part_2,part_0,part_1,af2,CV
18,RandomForest,,0.9526883159072508,0.5601926119870416,0.5455651308080941,0.12709461166629663,0.3389312189651304,0.3503172852231059,0.10407550561797752,0.28034756756756757,0.2915380434782609,part_2,part_0,part_1,af2,CV
19,MLP,,0.7656722210158275,0.5778788324357326,0.5912383485387144,0.2666965485800592,0.34571602503239474,0.34716580920808776,0.19999807258002847,0.257878377291294,0.2667354750897785,part_2,part_0,part_1,af2,CV
20,KNN,,0.6460510286544537,0.4699582136326465,0.45274800264494025,0.32670285781329,0.38441037854152016,0.39997360385878433,0.25629438202247196,0.30859130434782606,0.32446216216216217,part_2,part_1,part_0,af2,CV
21,Ridge,,0.8391818183408274,0.5508753734381324,0.5455243609957833,0.22099105196368563,0.3820715659050849,0.3712915054308621,0.17392645179634342,0.30192071031802653,0.29299970485585247,part_2,part_1,part_0,af2,CV
22,RandomForest,,0.9403126308713883,0.5455260417362872,0.5528059811785395,0.14361888633318806,0.34993066181787275,0.34121990749457215,0.1160989513844458,0.29078777655557,0.2823147954571705,part_2,part_1,part_0,af2,CV
23,MLP,,0.7656722210158275,0.5912383485387144,0.5778788324357326,0.2666965485800592,0.34716580920808776,0.34571602503239474,0.19999807258002847,0.2667354750897785,0.257878377291294,part_2,part_1,part_0,af2,CV
