index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.6404532709139491,0.5388811305957935,0.5071685568290009,0.3002708619572344,0.35600818871871837,0.37922405105541024,0.23473648648648646,0.28419565217391307,0.30423370786516857,part_0,part_1,part_2,ct,CV
1,Ridge,,0.5368609894143366,0.48832464632726974,0.43638525595873884,0.3386701005912637,0.3710644427388863,0.4024605521904368,0.2762801774824321,0.3110802457307075,0.34677271946079524,part_0,part_1,part_2,ct,CV
2,RandomForest,,0.9469668273865595,0.5618214912967756,0.5183844867611185,0.11940601023568877,0.3518961503644283,0.3834389275309269,0.09682304054054057,0.2908119565217391,0.3245074157303371,part_0,part_1,part_2,ct,CV
3,MLP,,0.5027642434064773,0.4782228191232076,0.38995978716289303,0.347856070582546,0.3696636756222316,0.40586311335145825,0.28655504881709704,0.3137328096600906,0.35169809646748573,part_0,part_1,part_2,ct,CV
4,KNN,,0.7165954164936162,0.5171576631179285,0.543240684579459,0.26695771504420246,0.37920171620528526,0.35994802764940337,0.203172972972973,0.29104719101123594,0.27763043478260874,part_0,part_2,part_1,ct,CV
5,Ridge,,0.5662608202232589,0.4617812397766507,0.4832148875488576,0.33009368320100585,0.39862052517337904,0.3755021546445429,0.2700337030070319,0.33383186970806117,0.3105395940589636,part_0,part_2,part_1,ct,CV
6,RandomForest,,0.9469668273865595,0.5183844867611185,0.5618214912967756,0.11940601023568877,0.3834389275309269,0.3518961503644283,0.09682304054054057,0.3245074157303371,0.2908119565217391,part_0,part_2,part_1,ct,CV
7,MLP,,0.5027642434064773,0.38995978716289303,0.4782228191232076,0.347856070582546,0.40586311335145825,0.3696636756222316,0.28655504881709704,0.35169809646748573,0.3137328096600906,part_0,part_2,part_1,ct,CV
8,KNN,,0.5808522016592418,0.4879012936769807,0.4340371880486315,0.34324335947850027,0.3575840364657448,0.385760514402278,0.29206869565217397,0.2990740540540541,0.334001797752809,part_1,part_0,part_2,ct,CV
9,Ridge,,0.5205347511758287,0.45749755047260593,0.3783280024612098,0.3602249018108308,0.3638706682962799,0.4053244774210959,0.311527513681687,0.3083992818690678,0.3540865428355618,part_1,part_0,part_2,ct,CV
10,RandomForest,,0.9514100447348302,0.5360345122922001,0.4823428752614407,0.12764697619845408,0.34429270737953444,0.37701355107079537,0.10723195652173917,0.2866852027027027,0.3226313483146067,part_1,part_0,part_2,ct,CV
11,MLP,,0.5441501928087891,0.4535579567067768,0.3748357431388257,0.34974894489382996,0.3673820262449047,0.40107195939752077,0.29726155516330816,0.30645723438606187,0.34560666570129484,part_1,part_0,part_2,ct,CV
12,KNN,,0.6655056202552175,0.4633235132486556,0.4875831328257876,0.3114826151893832,0.3776949961441898,0.35940580655268184,0.2527891304347826,0.3140224719101124,0.2910364864864865,part_1,part_2,part_0,ct,CV
13,Ridge,,0.557290946444861,0.3844394392509326,0.4560396537734905,0.3472800557345317,0.4032622805423356,0.36854667832850124,0.2936194848178104,0.3458071052882972,0.30743209430368273,part_1,part_2,part_0,ct,CV
14,RandomForest,,0.9306628816048875,0.4898563952210383,0.5414079537552213,0.15257430087765883,0.3760898560164225,0.3448850470506072,0.12751296380943936,0.321782596725372,0.28805362779694027,part_1,part_2,part_0,ct,CV
15,MLP,,0.5424776211637192,0.3753894463260477,0.45320801707349284,0.35131469085457867,0.3987983649233114,0.3718299464230613,0.2995943718058675,0.3437568380195858,0.31168398852031226,part_1,part_2,part_0,ct,CV
16,KNN,,0.6790946932293583,0.4986169463338756,0.47553213548889095,0.328403584948066,0.37186267081537766,0.3719843176918829,0.262285393258427,0.2953864864864865,0.2971413043478261,part_2,part_0,part_1,ct,CV
17,Ridge,,0.5139351633520193,0.4628650537276398,0.4544896254872216,0.37237997407967427,0.37413842945834974,0.3768090222627456,0.31775194247872257,0.31371173811631187,0.3191071471287397,part_2,part_0,part_1,ct,CV
18,RandomForest,,0.9296261116895462,0.49864154255395887,0.5112062032251432,0.16335486384429782,0.3576692417941189,0.3611905476194956,0.13437299820404316,0.2921967908802909,0.3040376643453165,part_2,part_0,part_1,ct,CV
19,MLP,,0.5077764666911943,0.44514122067153394,0.4381344271193421,0.373909095424233,0.372404307757865,0.37786845355284926,0.32568138293165483,0.31231445760106324,0.3258926693877587,part_2,part_0,part_1,ct,CV
20,KNN,,0.6790946932293583,0.47553213548889095,0.4986169463338756,0.328403584948066,0.3719843176918829,0.37186267081537766,0.262285393258427,0.2971413043478261,0.2953864864864865,part_2,part_1,part_0,ct,CV
21,Ridge,,0.5251544115996143,0.4580483252896547,0.4658984710312144,0.3686033631778083,0.37619241374228324,0.3741603487221752,0.3129122916758658,0.3156547302135655,0.31102414583703997,part_2,part_1,part_0,ct,CV
22,RandomForest,,0.929680385633737,0.5116090260459647,0.4860844391272231,0.16022862962785828,0.36016575285478086,0.36151017441799066,0.13117566274736497,0.3015541594685508,0.2952421171279921,part_2,part_1,part_0,ct,CV
23,MLP,,0.6521448976280482,0.5032105555616316,0.43130758196923497,0.3275839791615492,0.37386827782744453,0.41001976917790744,0.26430742443331556,0.2947536104308142,0.3194052803493186,part_2,part_1,part_0,ct,CV
