index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.6467934941196885,0.5858416782578542,0.5780793097669898,0.2995356644379268,0.3374299752154705,0.34874882368614796,0.24249297297297295,0.2738321739130435,0.2870355056179776,part_0,part_1,part_2,esm_1b,CV
1,Ridge,,0.760757286172635,0.6695349299906729,0.6466880731803247,0.24786516005431733,0.31540053357108094,0.3266086707703939,0.19683761983838077,0.25113398336015785,0.2607153983234006,part_0,part_1,part_2,esm_1b,CV
2,RandomForest,,0.9431968797820818,0.6751972600796181,0.6544483619282574,0.11999156111002543,0.31269871174619374,0.33144481204836396,0.09518222391637465,0.2549843581601866,0.2751644319452304,part_0,part_1,part_2,esm_1b,CV
3,MLP,,0.7663046978786344,0.6787934432421766,0.6471512743953639,0.24065700496507414,0.31067817639530865,0.32320533430656,0.18714563684606106,0.24392423566169769,0.25387725480929063,part_0,part_1,part_2,esm_1b,CV
4,KNN,,0.7168220152075637,0.6051276695310714,0.5935373153903327,0.2677392211472584,0.3387926514465113,0.33861081931403453,0.20279324324324324,0.2573640449438202,0.2622260869565217,part_0,part_2,part_1,esm_1b,CV
5,Ridge,,0.7877678397553634,0.6505221834435344,0.6684855192076881,0.23083304188157255,0.3262921283637716,0.31582813600620857,0.18136509485839547,0.2563279252596005,0.249045115329568,part_0,part_2,part_1,esm_1b,CV
6,RandomForest,,0.9431968797820818,0.6544483619282574,0.6751972600796181,0.11999156111002543,0.33144481204836396,0.31269871174619374,0.09518222391637465,0.2751644319452304,0.2549843581601866,part_0,part_2,part_1,esm_1b,CV
7,MLP,,0.7852358382184933,0.6614641374618381,0.6601430672195125,0.23278493329112657,0.31941589511649565,0.32439380398500356,0.17951580114758808,0.23741462996165857,0.25012152330516535,part_0,part_2,part_1,esm_1b,CV
8,KNN,,0.692202122913757,0.5502184407234062,0.6168016528516262,0.29654606284910334,0.3449369879784939,0.33664717969337815,0.2249195652173913,0.27296891891891895,0.2688337078651685,part_1,part_0,part_2,esm_1b,CV
9,Ridge,,0.7774064919079081,0.6212672700851345,0.608653546830218,0.26054108524959474,0.3213659623630671,0.3363986034003444,0.20661284391844467,0.2633321198637251,0.27565632418111224,part_1,part_0,part_2,esm_1b,CV
10,RandomForest,,0.9530267597896074,0.6127261278521339,0.6574476155828193,0.11589699819329834,0.3205001261173172,0.33479787940812855,0.09488141304347829,0.2671188513513513,0.28821550561797754,part_1,part_0,part_2,esm_1b,CV
11,MLP,,0.8019206710801914,0.60743355560063,0.6213516749347678,0.24448990353926192,0.3198526410426129,0.3396702431779118,0.19495633862053358,0.25946330756429586,0.27526601109462695,part_1,part_0,part_2,esm_1b,CV
12,KNN,,0.692202122913757,0.6168016528516262,0.5502184407234062,0.29654606284910334,0.33664717969337815,0.3449369879784939,0.2249195652173913,0.2688337078651685,0.27296891891891895,part_1,part_2,part_0,esm_1b,CV
13,Ridge,,0.8104442515421307,0.6106144228941777,0.6236704524916278,0.23918859734118766,0.33615107901749747,0.32168368414181,0.1881696228586492,0.2709386822306499,0.2627593925212622,part_1,part_2,part_0,esm_1b,CV
14,RandomForest,,0.9540383804128348,0.6538889489994737,0.6047060686215627,0.11462404620057394,0.3328771247722337,0.3215315904155222,0.09342326086956525,0.285026404494382,0.26528418918918917,part_1,part_2,part_0,esm_1b,CV
15,MLP,,0.802841047861955,0.6214720718398237,0.6065048850288175,0.2434864683345017,0.3395951586465509,0.32035581327623114,0.19401789280801604,0.2747447923574054,0.25970441314042625,part_1,part_2,part_0,esm_1b,CV
16,KNN,,0.7207593030806105,0.5425613290424594,0.6034898358992083,0.3016110859882495,0.35078495568529605,0.3329099858755399,0.2296651685393258,0.27103918918918923,0.2547108695652174,part_2,part_0,part_1,esm_1b,CV
17,Ridge,,0.790675076575966,0.6099560352728222,0.6341091474050392,0.25754396728470713,0.32528500112786707,0.32455826394954557,0.20428949610838804,0.260011136602184,0.26222004276541033,part_2,part_0,part_1,esm_1b,CV
18,RandomForest,,0.9415151698682095,0.6094199231936136,0.6430050338074349,0.13983716357655723,0.32364533011669694,0.3192817116631385,0.11387510757625648,0.26888493473624725,0.2647695491517842,part_2,part_0,part_1,esm_1b,CV
19,MLP,,0.8079483551704321,0.6037047904310964,0.6308376761796197,0.26361614946293066,0.3229665753864886,0.33985515492927715,0.2122932699312582,0.25910039677021435,0.27800927005350606,part_2,part_0,part_1,esm_1b,CV
20,KNN,,0.7207593030806105,0.6034898358992083,0.5425613290424594,0.3016110859882495,0.3329099858755399,0.35078495568529605,0.2296651685393258,0.2547108695652174,0.27103918918918923,part_2,part_1,part_0,esm_1b,CV
21,Ridge,,0.7606094225259336,0.6311175067250298,0.6067623603960853,0.2774475199076554,0.323442656192575,0.3266323783083912,0.222743011450235,0.2613007367572051,0.2632995405435045,part_2,part_1,part_0,esm_1b,CV
22,RandomForest,,0.9434275603007214,0.6430943650390495,0.5956650343478026,0.13507705884838622,0.3180103982951449,0.32625852949188794,0.10995270499475558,0.2625855654007828,0.269265795528608,part_2,part_1,part_0,esm_1b,CV
23,MLP,,0.7555765186447363,0.6306080289485883,0.58843965684319,0.28583208266016713,0.3341753031059637,0.3550660909130937,0.21743955982170823,0.26247804269640035,0.27919892490934606,part_2,part_1,part_0,esm_1b,CV
