index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.7479150684626675,0.6292503738708636,0.6069235939355215,0.24921784674283487,0.33142725610148077,0.3423987950204566,0.1840918918918919,0.24965652173913044,0.2467011235955056,part_0,part_1,part_2,esm_2,CV
1,Ridge,,0.7684586976771437,0.6976261807438718,0.6777698825568516,0.24791233481406375,0.30160685235791573,0.31746590199145985,0.19690713077904834,0.24373507288050794,0.25483296533898186,part_0,part_1,part_2,esm_2,CV
2,RandomForest,,0.9422406209771518,0.7013408557126162,0.6701174607193306,0.11550059286226978,0.2988963413527639,0.3219871629609431,0.09097322785060283,0.24209770831101265,0.2617324826509321,part_0,part_1,part_2,esm_2,CV
3,MLP,,0.8614903898069949,0.6891044292458977,0.6697186614395287,0.18682583561425511,0.3064382416817196,0.31990798675622084,0.14245560461715323,0.24313524093536934,0.25027216939358393,part_0,part_1,part_2,esm_2,CV
4,KNN,,0.7479150684626675,0.6069235939355215,0.6292503738708636,0.24921784674283487,0.3423987950204566,0.33142725610148077,0.1840918918918919,0.2467011235955056,0.24965652173913044,part_0,part_2,part_1,esm_2,CV
5,Ridge,,0.7953151540221779,0.6805836835279513,0.6962102591451871,0.23056583416123672,0.31565521772021565,0.30174463391552003,0.17995182363044665,0.24985181918517332,0.2406762995714749,part_0,part_2,part_1,esm_2,CV
6,RandomForest,,0.950677259634676,0.6736755025135946,0.6918643684539604,0.10482008603226205,0.3205728854792532,0.3026900375042889,0.08321966216216219,0.2601630337078652,0.24434108695652174,part_0,part_2,part_1,esm_2,CV
7,MLP,,0.838422960352962,0.6800153393143793,0.6926873781457685,0.1975593410641496,0.31555759089499624,0.3066973110272026,0.14952909437675763,0.23814262044344575,0.23661055015829405,part_0,part_2,part_1,esm_2,CV
8,KNN,,0.7674596225849204,0.5778882703163774,0.5963015920399013,0.2586890528935396,0.3366262102175132,0.3465107485726878,0.19136956521739132,0.25451081081081084,0.26993258426966293,part_1,part_0,part_2,esm_2,CV
9,Ridge,,0.7998243771750195,0.6088904897473284,0.6195382306012638,0.24754582785992907,0.32207702194825055,0.33331660666508206,0.19919198365763732,0.25499497663900134,0.26964628213735564,part_1,part_0,part_2,esm_2,CV
10,RandomForest,,0.9511681291013894,0.6463843806662656,0.6745788886870417,0.1101125696730396,0.30470331999539524,0.3199580491462641,0.08917304347826087,0.24727999999999997,0.2658480898876404,part_1,part_0,part_2,esm_2,CV
11,MLP,,0.8822475118289509,0.5938204433215769,0.6405917541015307,0.18031221828230637,0.33243044387522225,0.33742444980321495,0.1395381916935105,0.2598481380036088,0.2692429652902358,part_1,part_0,part_2,esm_2,CV
12,KNN,,0.7191032484335728,0.5949717617146149,0.5664472266709288,0.2837986694517941,0.3393937225058892,0.3394028838527563,0.21687608695652172,0.2735370786516854,0.26398243243243247,part_1,part_2,part_0,esm_2,CV
13,Ridge,,0.8225937922438336,0.625430120093532,0.6095387613958524,0.22863340030701756,0.332847915115081,0.3230319937595874,0.18224543063068088,0.2660455619806057,0.2543786825487715,part_1,part_2,part_0,esm_2,CV
14,RandomForest,,0.9521004043839821,0.6772646540091276,0.6451064773788824,0.1087067650938704,0.31877048365115457,0.3056094082078219,0.08863641304347832,0.2655058426966292,0.24829945945945947,part_1,part_2,part_0,esm_2,CV
15,MLP,,0.8812738075693772,0.6514129026279968,0.6065930400217057,0.18008657735464773,0.3258061482383221,0.3330004396953211,0.13524462174148694,0.25463033176265637,0.2565194932125073,part_1,part_2,part_0,esm_2,CV
16,KNN,,0.7901146863661476,0.566909889266872,0.5925145126394409,0.255776131047217,0.33480162742993014,0.345708082434978,0.1853483146067416,0.24803783783783784,0.25217826086956524,part_2,part_0,part_1,esm_2,CV
17,Ridge,,0.7860002990090721,0.635530697585535,0.6634263136452344,0.2608067564574422,0.31529819255855646,0.31202322503349206,0.20444713543768475,0.25265600950910594,0.24924399469805464,part_2,part_0,part_1,esm_2,CV
18,RandomForest,,0.9416256244949064,0.6350836290091378,0.6670186128412011,0.12847763866906523,0.3086482528262786,0.3050816911780425,0.10179354042898425,0.25105589167851666,0.24652884709071127,part_2,part_0,part_1,esm_2,CV
19,MLP,,0.8553809222857744,0.6284484590295627,0.6571161625888586,0.20843203047678097,0.3231859976895111,0.32346325130756365,0.1599331335128217,0.2526140853888979,0.25643662523938227,part_2,part_0,part_1,esm_2,CV
20,KNN,,0.7262506173810437,0.61257647453561,0.5387165183631925,0.2909766506714157,0.3294305825142107,0.3488379570377488,0.22157752808988762,0.2533739130434783,0.2652554054054054,part_2,part_1,part_0,esm_2,CV
21,Ridge,,0.7860002990090721,0.6634263136452344,0.635530697585535,0.2608067564574422,0.31202322503349206,0.31529819255855646,0.20444713543768475,0.24924399469805464,0.25265600950910594,part_2,part_1,part_0,esm_2,CV
22,RandomForest,,0.9529696279065638,0.6680604201724032,0.63137831231173,0.11551248624078739,0.30425670343799577,0.3101305134481636,0.0926846067415731,0.24487673913043476,0.2526062162162162,part_2,part_1,part_0,esm_2,CV
23,MLP,,0.8553809222857744,0.6571161625888586,0.6284484590295627,0.20843203047678097,0.32346325130756365,0.3231859976895111,0.1599331335128217,0.25643662523938227,0.2526140853888979,part_2,part_1,part_0,esm_2,CV
