index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.615268680074626,0.5174463361584238,0.5287839137363586,0.31246302267714904,0.3526142151071794,0.356609119597039,0.24996486486486488,0.28161043478260867,0.28318292134831463,part_0,part_1,part_2,esm_if1,CV
1,Ridge,,0.7147753723675205,0.5949460642040063,0.5733523298551839,0.27506109916553595,0.33519677064434955,0.35014141102218177,0.22316138698245525,0.27311349280377756,0.28726724265828196,part_0,part_1,part_2,esm_if1,CV
2,RandomForest,,0.9405309797997735,0.6190335002532829,0.5942176991424027,0.12615283398031582,0.3298760953196681,0.3562159958448428,0.10222552368408619,0.27153081471819246,0.30151112318705015,part_0,part_1,part_2,esm_if1,CV
3,MLP,,0.8267989552391563,0.610295191924046,0.5899432685239381,0.21370865650298196,0.33615175915035367,0.3515228623465352,0.16559969769990995,0.26268847726710154,0.2773727256281946,part_0,part_1,part_2,esm_if1,CV
4,KNN,,0.6924924899238695,0.5689857736628139,0.5403056813765635,0.2821695532065016,0.3528104338695088,0.35993946954888184,0.21741081081081082,0.2605640449438202,0.27796086956521737,part_0,part_2,part_1,esm_if1,CV
5,Ridge,,0.7428733732453514,0.5798624111484115,0.5983530427083001,0.25949153500966776,0.3495400837900094,0.335843323925906,0.2083718729044926,0.28255960495078297,0.27038755041271656,part_0,part_2,part_1,esm_if1,CV
6,RandomForest,,0.9371275277301503,0.5900761273258406,0.6040338062259912,0.1265331986420799,0.3561002529056402,0.33262182554082614,0.10170513505076004,0.301237793461844,0.2734240477234119,part_0,part_2,part_1,esm_if1,CV
7,MLP,,0.8620370218604662,0.5966846099357004,0.6052255058168206,0.1840335764952197,0.3488648857175073,0.33947494811309237,0.14126058681983386,0.26977872805112696,0.2615005418713659,part_0,part_2,part_1,esm_if1,CV
8,KNN,,0.5562636640127248,0.4993920374017254,0.5722180768632399,0.3390254457552784,0.37198014797363377,0.34507668869202346,0.2726339130434783,0.30702756756756755,0.28687460674157306,part_1,part_0,part_2,esm_if1,CV
9,Ridge,,0.7260854219190914,0.5266524990763058,0.5627603985133433,0.296863619622383,0.3495876095809552,0.35429844656969306,0.2453660065414672,0.2899783140029973,0.30013830409786535,part_1,part_0,part_2,esm_if1,CV
10,RandomForest,,0.9468783804759838,0.5961701106597601,0.5898907171070426,0.12175333304963626,0.3333992007805074,0.3540872643664509,0.10002586956521739,0.2815827027027027,0.3051334831460674,part_1,part_0,part_2,esm_if1,CV
11,MLP,,0.7523814170031259,0.495180307722325,0.5421549585171865,0.27209712951836573,0.3532369872146714,0.3676486385613011,0.21880840278475974,0.2831769773543032,0.29861115292656093,part_1,part_0,part_2,esm_if1,CV
12,KNN,,0.6685756297775026,0.5972856318510507,0.5195108752235994,0.3011432960944153,0.3389512244914741,0.3720097354146034,0.2287804347826087,0.27140224719101125,0.29486486486486485,part_1,part_2,part_0,esm_if1,CV
13,Ridge,,0.7614083718654338,0.5651391226595553,0.5157551025692598,0.27795221547541926,0.35336129951448,0.35092773980658054,0.22772163937876994,0.29412644451150527,0.2867158848587285,part_1,part_2,part_0,esm_if1,CV
14,RandomForest,,0.9403918480161233,0.6181439963059516,0.585281862958855,0.13300619226009328,0.3493849433146564,0.3372618029718225,0.109730272780963,0.3016994978102422,0.284123161473849,part_1,part_2,part_0,esm_if1,CV
15,MLP,,0.852305396869033,0.571484679675286,0.49835222891444014,0.20402356141178643,0.36522550831705,0.37076846449972384,0.15580736354411465,0.2834771029935736,0.28847203766435325,part_1,part_2,part_0,esm_if1,CV
16,KNN,,0.7514575696248472,0.5364468986370121,0.5593954772016418,0.2852946751788285,0.3708277082274047,0.36564128298933496,0.2069258426966292,0.28415135135135133,0.271304347826087,part_2,part_0,part_1,esm_if1,CV
17,Ridge,,0.7895029772943936,0.5683536313050516,0.5990274349392408,0.2647031406652636,0.34106409697077356,0.3397141400336551,0.21020299875062437,0.27484905772875456,0.26521679984778956,part_2,part_0,part_1,esm_if1,CV
18,RandomForest,,0.9497427456990001,0.5897831770645391,0.6034178770427947,0.12496543144477913,0.3348515651989941,0.33156022805229063,0.10295460674157314,0.2793708108108108,0.272305,part_2,part_0,part_1,esm_if1,CV
19,MLP,,0.7860545729532629,0.5663974730494593,0.5823613959434791,0.2643047541667181,0.33940612502111467,0.35200269797433387,0.20836566203742737,0.27473144087324686,0.2751351573021534,part_2,part_0,part_1,esm_if1,CV
20,KNN,,0.6067999916777814,0.5205954317887466,0.4681995936457873,0.3428187274786959,0.3583567564167937,0.39897530967433276,0.2739577528089887,0.2853973913043478,0.3248216216216216,part_2,part_1,part_0,esm_if1,CV
21,Ridge,,0.7170377962058101,0.595951579999476,0.5725978803150747,0.3054969352247416,0.3361245106315506,0.34541585634320787,0.2512257342312218,0.2684399413008434,0.28583137099941514,part_2,part_1,part_0,esm_if1,CV
22,RandomForest,,0.9381177026792177,0.612572675953245,0.5921570935112017,0.14006977217576053,0.3294370918704391,0.3355601314721358,0.11479951097529192,0.27208379653287534,0.28052457616838866,part_2,part_1,part_0,esm_if1,CV
23,MLP,,0.7843838616022232,0.582784933252791,0.5610538114773668,0.2622592463151114,0.3515763533672565,0.34261586189964993,0.2029495372714624,0.26799557636356053,0.27077550658050314,part_2,part_1,part_0,esm_if1,CV
