index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,0,0.7425688284500274,0.5868752325689794,0.5654381485591318,0.254123262281186,0.34751953338906943,0.36786745292475703,0.18815405405405405,0.2662260869565217,0.2759595505617977,part_0,part_1,part_2,eve,CV
1,Ridge,0,0.5810654243094304,0.5434174177784425,0.5238702233442175,0.32129518185423156,0.3559326631144461,0.3750774379618505,0.26522527716070426,0.29062718138856747,0.31430299406410867,part_0,part_1,part_2,eve,CV
2,RandomForest,0,0.9225678414043309,0.6325815155291385,0.6206903772283218,0.13299196700105795,0.3194672044025317,0.3436632381067647,0.10145663386819638,0.2525230138493753,0.27445392770774796,part_0,part_1,part_2,eve,CV
3,MLP,0,0.6889004825517313,0.5783956811023158,0.6280962850407852,0.2759940677372737,0.34860916382393886,0.3384822001661043,0.21447551784973992,0.2686991847965107,0.2653297063947279,part_0,part_1,part_2,eve,CV
4,KNN,0,0.701967150186217,0.5693061227611187,0.5666443467189974,0.2738243938159065,0.3556142588867824,0.3477365694590237,0.2066527027027027,0.2716134831460674,0.2668869565217391,part_0,part_2,part_1,eve,CV
5,Ridge,0,0.6480617380545212,0.5504677927897927,0.49804800256453924,0.29530962197964494,0.36357925090495763,0.37604844284281874,0.23407758953971491,0.2888432319809138,0.2911076323465571,part_0,part_2,part_1,eve,CV
6,RandomForest,0,0.9212981459154649,0.6417065831358453,0.6288044504938696,0.12935918884748493,0.3384039293844218,0.32044983790341186,0.09794073677261175,0.26900204079690593,0.25381796771706555,part_0,part_2,part_1,eve,CV
7,MLP,0,0.6889004825517313,0.6280962850407852,0.5783956811023158,0.2759940677372737,0.3384822001661043,0.34860916382393886,0.21447551784973992,0.2653297063947279,0.2686991847965107,part_0,part_2,part_1,eve,CV
8,KNN,0,0.6999527866402157,0.5504574918734232,0.6305561430481668,0.2908922742483741,0.34249372257021005,0.33611685033430216,0.2219630434782609,0.27251756756756756,0.27446067415730335,part_1,part_0,part_2,eve,CV
9,Ridge,0,0.5798891587323128,0.5481303161752676,0.5225527352660987,0.3420383622523998,0.3453227300468161,0.3763520218763288,0.28409722895650413,0.29479883610679786,0.3245972679425476,part_1,part_0,part_2,eve,CV
10,RandomForest,0,0.9451322275465851,0.587882854239307,0.6124282758144636,0.11588350189250227,0.3302577181157164,0.33915918173651116,0.08995869565217396,0.2570306081081081,0.272735393258427,part_1,part_0,part_2,eve,CV
11,MLP,0,0.7910226923750444,0.5833020851478022,0.6215497714261747,0.2419342143873551,0.34520035831124524,0.34575267677837707,0.18013039589926108,0.2596542477776338,0.26697196524939476,part_1,part_0,part_2,eve,CV
