index,model,seed,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,embedding,strategy
0,KNN,0,0,0.5330945334085897,0.37764628473702305,0.3902771961503412,0.13160397622175804,0.15022968330685807,0.1526997053042343,0.10363466042154566,0.1168075117370892,0.11889302325581395,eve,random
1,Ridge,0,0,0.5155106329835324,0.31449494683412604,0.3895966913764864,0.13313465996221138,0.15364277365859158,0.1528774712664823,0.10477044518060971,0.12058045067457274,0.12164796747937522,eve,random
2,RandomForest,0,0,0.9668338223408559,0.35056421255369735,0.4221079793540165,0.05388122726009377,0.15129834446403792,0.1471712449400674,0.04237798594847791,0.11909436619718312,0.11748953488372099,eve,random
3,KNN,1,0,0.5527038382116959,0.32695838650655673,0.25371911434856054,0.13652832529023923,0.1423844395940008,0.16287772557465338,0.10529508196721311,0.11272769953051645,0.1273674418604651,eve,random
4,Ridge,1,0,0.4531560912531015,0.3119497471797031,0.3411202862508089,0.145379355514067,0.14341642103637006,0.15131489453861757,0.11589391143567564,0.11601951571625126,0.12076455789253336,eve,random
5,RandomForest,1,0,0.9442707951059225,0.32333456586935216,0.3022351164748121,0.0648581664605446,0.14450281312953236,0.16059738781163863,0.04978692206180501,0.11369876376297156,0.12531491601938116,eve,random
6,KNN,2,0,0.5138343532571709,0.42809845665465607,0.2758056758949524,0.1357716604962575,0.14521038646745682,0.15876218869157585,0.1053864168618267,0.11256338028169013,0.12296744186046513,eve,random
7,Ridge,2,0,0.5245537827237755,0.4558197173407418,0.264091138423548,0.1352105552661231,0.14123094418491877,0.1553075619423359,0.10545928658726547,0.1112545711817632,0.12096269799778607,eve,random
8,RandomForest,2,0,0.939398425059854,0.45275451232446967,0.227814023615021,0.06460316154410789,0.14183294955380096,0.16161261675254726,0.04886031528840666,0.10987021258605764,0.12463361435399224,eve,random
9,KNN,0,1,0.541727473905883,0.3543061134565444,0.4111989565824151,0.13090161133506759,0.15234942539386348,0.15429089107840244,0.10309133489461357,0.11848826291079811,0.12013488372093023,eve,random
10,Ridge,0,1,0.3956122712463037,0.3120881754090405,0.31131580114801793,0.14327283230734708,0.1558031068901856,0.1551986541266625,0.1179202708490263,0.12601693982631457,0.12673185071239598,eve,random
11,RandomForest,0,1,0.9480460665824233,0.4309282612019607,0.43784750883562334,0.06251193016499644,0.14637410696382866,0.14850335499377235,0.04882712490475957,0.11507914373967187,0.11846423109577758,eve,random
12,KNN,1,1,0.4233843694825576,0.2855604467989154,0.3357263010733509,0.14630768771591438,0.1444331851636798,0.1536922421670189,0.11683466042154567,0.11681314553990609,0.12162790697674418,eve,random
13,Ridge,1,1,0.3645211040571019,0.17997232207517327,0.2771127805190962,0.15000840896284473,0.14768076106291236,0.15499952197557543,0.1221919100058201,0.12019336149347966,0.12530743368238312,eve,random
14,RandomForest,1,1,0.9618027336632984,0.35698564634849556,0.3390986850572479,0.05294556791264507,0.14451903480229797,0.15940124853615084,0.04035269320843104,0.1127199530516433,0.12382069767441865,eve,random
15,KNN,2,1,0.6062669843846735,0.5127097697902463,0.3338638087417327,0.12551548044516952,0.13881294198975025,0.1614550120938726,0.09569086651053864,0.10435680751173709,0.12159999999999999,eve,random
16,Ridge,2,1,0.5006216106786073,0.38462048416179745,0.17524597043255397,0.1372559795956335,0.14702221026772672,0.1628942387130355,0.10901357558413961,0.1144974935763249,0.12614544966130112,eve,random
17,RandomForest,2,1,0.9578653115010056,0.486128842256405,0.26955102764579714,0.05409035749562669,0.13943209846430493,0.1580354729461152,0.041657962529274194,0.10614859154929579,0.12152302325581393,eve,random
18,KNN,0,2,0.4081075646017008,0.35968039026814447,0.28805963670078016,0.1420404916375503,0.14875791721542855,0.15761634196939717,0.1139718969555035,0.11915117370892019,0.12643720930232558,eve,random
19,Ridge,0,2,0.48655934534259254,0.3823393109810148,0.4174282190246297,0.13503003901408636,0.15077622446083416,0.14980037186625955,0.10786148124725424,0.11832005962951184,0.11942672811507822,eve,random
20,RandomForest,0,2,0.9463454894042417,0.3673252570238534,0.4878783022486455,0.06437230969372941,0.15167505881498589,0.1433331288983838,0.050221089964225245,0.11838965871700026,0.11329223408632713,eve,random
21,KNN,1,2,0.5736756107316385,0.39831192568788915,0.29607792679644124,0.1344820665721203,0.14073721057813585,0.1609202893823017,0.10176814988290397,0.1093380281690141,0.12306976744186048,eve,random
22,Ridge,1,2,0.48228670893364795,0.3191756003470518,0.28086726902198683,0.14192255094267514,0.14504948446394658,0.15920910964206988,0.11292582595064826,0.1160996714868361,0.1251539086545631,eve,random
23,RandomForest,1,2,0.9398969273490987,0.35326669353574897,0.31707488932351224,0.06454509013031819,0.1424560728370344,0.16000756621401097,0.049003768425823484,0.1130205734921052,0.12493161907859586,eve,random
24,KNN,2,2,0.5285449563356162,0.4870897719018143,0.2734898835838815,0.13519168454119745,0.14083248464894157,0.16009930058095703,0.10426229508196722,0.10752582159624414,0.1224651162790698,eve,random
25,Ridge,2,2,0.5494154665407603,0.4338849263568474,0.228378758428147,0.13048482745488757,0.14671547042324085,0.16742350305987677,0.09954252683806021,0.11510371441136094,0.12780242796399627,eve,random
26,RandomForest,2,2,0.9609917830006419,0.49789577541676366,0.27410113848551254,0.05382945921293401,0.13924627965124814,0.15899854204392255,0.04114613583138196,0.1079288732394366,0.12251441860465113,eve,random
