index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.6186872190032009,0.5211908858126771,0.5578041805022562,0.31384580824244146,0.3572441099401871,0.3562229469799162,0.25077837837837835,0.2782982608695652,0.27557123595505617,part_0,part_1,part_2,onehot,CV
1,Ridge,,0.8077731589754704,0.6028323042432872,0.6413506359510451,0.2258572114681099,0.32923151033143283,0.3357318056055605,0.17824304516687617,0.2624142710322297,0.27225850454224904,part_0,part_1,part_2,onehot,CV
2,RandomForest,,0.9442522292425639,0.6115430121030381,0.6410460345051658,0.11188499585421317,0.3259335064222389,0.34682966758137446,0.08958486486486486,0.2673282608695652,0.29006539325842695,part_0,part_1,part_2,onehot,CV
3,MLP,,0.9951905467048678,0.6097980442002775,0.511926534111621,0.02295856090195021,0.35544579328101117,0.4215908726113324,0.013560174931455749,0.265824956846608,0.31397545509531377,part_0,part_1,part_2,onehot,CV
4,KNN,,0.6820190483234638,0.5891257167602084,0.5438839322847051,0.28646617648558487,0.3546359424612701,0.3694463278074838,0.21721081081081084,0.2556134831460674,0.27665,part_0,part_2,part_1,onehot,CV
5,Ridge,,0.8431775102289223,0.6361791530529991,0.6033369116489228,0.19786454428325356,0.3346382443868653,0.33234985534923583,0.15248639948081505,0.2651035932496071,0.2617065861754225,part_0,part_2,part_1,onehot,CV
6,RandomForest,,0.9442522292425639,0.6410460345051658,0.6115430121030381,0.11188499585421317,0.34682966758137446,0.3259335064222389,0.08958486486486486,0.29006539325842695,0.2673282608695652,part_0,part_2,part_1,onehot,CV
7,MLP,,0.9750657677070984,0.5778845228482172,0.530575234201249,0.07647243059823372,0.3760783939223403,0.38549671654393197,0.04324228052569599,0.2862962387044377,0.295036622448331,part_0,part_2,part_1,onehot,CV
8,KNN,,0.5866669017664289,0.5066316647271029,0.571327315877178,0.3322738069463326,0.3783331676310309,0.3494809603725521,0.26765304347826085,0.3123027027027027,0.28805123595505616,part_1,part_0,part_2,onehot,CV
9,Ridge,,0.8330567050404196,0.5985882616123916,0.6356932071737695,0.23413317891919241,0.32988394965050993,0.33582515158950627,0.19247157682184377,0.27665744628002836,0.2861003844277022,part_1,part_0,part_2,onehot,CV
10,RandomForest,,0.9553435767582398,0.5787973187898254,0.6298165034902273,0.11522698848360138,0.3383051715008052,0.3452153897174238,0.09589445652173917,0.2866788513513514,0.29935247191011244,part_1,part_0,part_2,onehot,CV
11,MLP,,0.9934000852534529,0.513745933691674,0.5925028124924224,0.027714215354565908,0.37708664382711504,0.37505254722880044,0.01488806253405355,0.276261174148336,0.28144004388414,part_1,part_0,part_2,onehot,CV
12,KNN,,0.6957094922852769,0.5987133620970543,0.5078541947425508,0.3019176572165504,0.3430345414520431,0.39289493128192304,0.22859782608695653,0.2697348314606742,0.3102648648648649,part_1,part_2,part_0,onehot,CV
13,Ridge,,0.8667517797826312,0.6348472282419212,0.5882731204665699,0.19899689072111248,0.33163915253018794,0.33251089755579116,0.16005053193169944,0.2757212294712466,0.2738136617022868,part_1,part_2,part_0,onehot,CV
14,RandomForest,,0.9553435767582398,0.6298165034902273,0.5787973187898254,0.11522698848360138,0.3452153897174238,0.3383051715008052,0.09589445652173917,0.29935247191011244,0.2866788513513514,part_1,part_2,part_0,onehot,CV
15,MLP,,0.9768104651133332,0.5992771068140357,0.48682721142416474,0.07106685474513413,0.352311051837363,0.40130621203919914,0.03997377426423068,0.2763593361454194,0.3128824817928143,part_1,part_2,part_0,onehot,CV
16,KNN,,0.7582422763566289,0.5582499845984872,0.5769098479339625,0.28188084182640727,0.3546808310183846,0.36215282625601225,0.20497977528089886,0.27375945945945945,0.2611347826086956,part_2,part_0,part_1,onehot,CV
17,Ridge,,0.8435718790185593,0.6011521458470087,0.6239791460306195,0.23281275388912323,0.3285550909604019,0.3232655224262441,0.1868471220883678,0.269896459042214,0.2627250216268866,part_2,part_0,part_1,onehot,CV
18,RandomForest,,0.9551812400589939,0.5802307432790024,0.6312225587738022,0.12116357821306394,0.3403400255974144,0.32666961714598486,0.10121303370786523,0.285550472972973,0.27082315217391306,part_2,part_0,part_1,onehot,CV
19,MLP,,0.9939898223490066,0.5249248069920428,0.6024060543223873,0.03178970275581741,0.3559315748649124,0.35225125007571,0.019998612791315918,0.266693761463303,0.26418455422650067,part_2,part_0,part_1,onehot,CV
20,KNN,,0.709829099340676,0.5689744756792919,0.5284596088668903,0.30250779913801534,0.3511558584966535,0.3801414086107176,0.22924269662921345,0.25952826086956526,0.29428513513513516,part_2,part_1,part_0,onehot,CV
21,Ridge,,0.8435718790185593,0.6239791460306195,0.6011521458470087,0.23281275388912323,0.3232655224262441,0.3285550909604019,0.1868471220883678,0.2627250216268866,0.269896459042214,part_2,part_1,part_0,onehot,CV
22,RandomForest,,0.9551812400589939,0.6312225587738022,0.5802307432790024,0.12116357821306394,0.32666961714598486,0.3403400255974144,0.10121303370786523,0.27082315217391306,0.285550472972973,part_2,part_1,part_0,onehot,CV
23,MLP,,0.9941515622597539,0.6033379597034,0.5252956660338988,0.031069515553054036,0.351996418799695,0.3559943348372711,0.019274448209058968,0.26409808154684633,0.26673959233725136,part_2,part_1,part_0,onehot,CV
