index,model,seed,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,embedding,strategy
0,KNN,0,,0.5102904963596995,0.13223190671613808,-0.16501660150520914,0.453133385142575,0.5874592568916522,0.7144760882682798,0.3405769230769231,0.49540615384615383,0.6208578571428571,af2,random
1,Ridge,0,,0.9986324786324786,0.4175824175824176,0.3098901098901099,0.03596321343630684,0.5110116129638309,0.5653541260948747,0.02709870237789174,0.39969900790491636,0.493004870565129,af2,random
2,RandomForest,0,,0.9801709401709401,0.6373626373626374,0.7010989010989012,0.16625920551546805,0.45006667281220675,0.39426071152902753,0.14219715384615383,0.3918077307692308,0.33163975,af2,random
3,MLP,0,,0.9785741285854316,0.2448420473069246,0.1730774142836138,0.03650169862950026,0.6944725112616411,0.8322368957865814,0.02294175955501713,0.5151549053437908,0.6528716634864561,af2,random
4,KNN,1,,0.42087269462276894,0.5200677615451762,0.6380641924868088,0.5634479516539899,0.4001961146065186,0.4053182445313806,0.5026223076923076,0.3261438461538461,0.3205078571428572,af2,random
5,Ridge,1,,0.9931623931623932,0.7142857142857143,0.5164835164835165,0.05656474510475953,0.35699665540591097,0.5310847925699926,0.04064936109034357,0.2439797708539581,0.435259327206991,af2,random
6,RandomForest,1,,0.9794871794871794,0.6923076923076923,0.5428571428571429,0.1838413614958926,0.32419936224653134,0.39604491949644616,0.1678524038461539,0.26427642307692295,0.30820796428571434,af2,random
7,MLP,1,,0.8365811965811965,0.6923076923076923,0.5120879120879122,0.34160633148026043,0.38015942696103366,0.4034158047497419,0.25258300848976345,0.29023436390489404,0.3033840534246261,af2,random
8,KNN,2,,0.6577648623139908,0.03867462340768808,0.7005631782992643,0.4327069882548875,0.6215884584303718,0.3985053356247926,0.36776307692307686,0.5277561538461538,0.3484135714285715,af2,random
9,Ridge,2,,0.9842735042735041,-0.11538461538461539,0.49890109890109896,0.07590418098721485,0.7841788775453677,0.6352339523028091,0.04373475946371271,0.6475914824602641,0.5251831942058122,af2,random
10,RandomForest,2,,0.9733333333333332,0.7032967032967032,0.7142857142857143,0.1798709266606663,0.527323414886954,0.382692213663902,0.15402368269230765,0.43321384615384645,0.3361914107142856,af2,random
11,MLP,2,,0.9810267578002917,-0.18205051366411534,0.6855663812532755,0.04423911127638777,0.9404013700430559,0.4851974388775509,0.023756945261092326,0.8232048755717654,0.38786009941329774,af2,random
