index,model,seed,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,embedding,strategy
0,KNN,0,,0.8293110341095709,0.47476573641351993,0.6822643386047805,0.2860441325971732,0.5260763342168862,0.4195741495956687,0.23004711538461536,0.4451192307692307,0.3187232142857143,ct,random
1,Ridge,0,,0.747008547008547,0.47802197802197804,0.8505494505494505,0.4024265629316877,0.4982434845609462,0.38637110930834967,0.3494150469498288,0.4422075789729091,0.36760502474976525,ct,random
2,RandomForest,0,,0.9644444444444444,0.34065934065934067,0.7538461538461538,0.17097666375088227,0.5332331843325558,0.40175547790504884,0.15182662500000002,0.4632538653846151,0.3727865357142855,ct,random
3,MLP,0,,-0.26153846153846155,-0.521978021978022,-0.6835164835164835,0.5756917651428012,0.5703451463492775,0.5886791062681619,0.48371796983838156,0.5334443747226344,0.5238852860049711,ct,random
4,KNN,1,,0.7087835840655705,0.3626373626373627,0.48571428571428577,0.4092674018573638,0.4259345410524233,0.46115864878585977,0.34975692307692313,0.3185492307692307,0.36387357142857146,ct,random
5,Ridge,1,,0.7319658119658119,0.6483516483516483,0.5824175824175825,0.46580429525308176,0.3893268501465175,0.4108180388276548,0.42153895075321635,0.33623705633384154,0.3464042595907862,ct,random
6,RandomForest,1,,0.945982905982906,0.5549450549450549,0.4945054945054946,0.22592197208359516,0.4278443716558437,0.4340063065633554,0.19084759572510818,0.36161027918123545,0.3623870684137289,ct,random
7,MLP,1,,0.483076923076923,0.34065934065934067,0.23956043956043957,0.603145844351105,0.463801864438802,0.5067931191338414,0.546634282779667,0.38973517953381454,0.4519949238878205,ct,random
8,KNN,2,,0.7366523303471096,0.7637362637362637,0.7040708330888924,0.39764753172685674,0.5111020773101682,0.4199244629352148,0.3297065384615384,0.42331692307692304,0.32893285714285714,ct,random
9,Ridge,2,,0.8823931623931623,0.7747252747252747,0.7142857142857143,0.31092117089310956,0.4258424066008959,0.4440982729436897,0.24724948372754876,0.3477357102739215,0.39210317712189696,ct,random
10,RandomForest,2,,0.9582905982905983,0.7582417582417583,0.6,0.19766026575502268,0.49939275344903017,0.3989686155374791,0.16753103846153847,0.4122166538461538,0.36192935714285707,ct,random
11,MLP,2,,-0.5829059829059828,-0.38461538461538464,-0.6571428571428571,0.5946492753701,0.5855783675390076,0.5528461662026857,0.5489537603475722,0.48484270912340793,0.45250646899631825,ct,random
