index,model,seed,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,embedding,strategy
0,KNN,0,,0.9999999999999999,0.6808031548368388,0.5947078894446981,0.0,0.3799451572266713,0.5176328739008538,0.0,0.32101153846153846,0.39590000000000003,esm_1b,random
1,Ridge,0,,0.7962393162393162,0.5549450549450549,0.6879120879120879,0.40059820112616945,0.47258876649952375,0.40204974751127287,0.3440745843960646,0.42083211193630593,0.36075413394130257,esm_1b,random
2,RandomForest,0,,0.9726495726495725,0.6208791208791209,0.6043956043956044,0.1539786513468856,0.4412408164408679,0.3885406238727076,0.13088951923076914,0.37648803846153833,0.3127175714285714,esm_1b,random
3,MLP,0,,0.9842735042735041,0.4725274725274725,0.18681318681318684,0.10515623122445998,0.4828519924348056,0.6585396871008062,0.06579092553617903,0.39994176963604067,0.46979590415839007,esm_1b,random
4,KNN,1,,0.7348065562341615,0.6987626968085263,0.3634370049812867,0.4258184424502645,0.3720934308435491,0.4399572847528983,0.3492653846153846,0.3146230769230769,0.33175785714285716,esm_1b,random
5,Ridge,1,,0.762051282051282,0.510989010989011,0.5076923076923077,0.4490241856234474,0.39593183600544757,0.4075131012267191,0.4114042113337429,0.3372504975680787,0.331740838829835,esm_1b,random
6,RandomForest,1,,0.9582905982905983,0.7087912087912087,0.43736263736263736,0.20191534894572655,0.3357802563563172,0.4332426256908048,0.1687661416836636,0.26381044206973586,0.33902229867553074,esm_1b,random
7,MLP,1,,0.9897435897435896,0.33516483516483514,0.3186813186813187,0.09776299861468031,0.568114857466534,0.5523914372126052,0.06303555783595037,0.3703373090247565,0.43883194956169724,esm_1b,random
8,KNN,2,,0.809118160896755,0.25895415065243704,0.6754679554946561,0.38268310820794316,0.6323546914509293,0.36047507987971333,0.3323515384615385,0.5569230769230769,0.3202428571428571,esm_1b,random
9,Ridge,2,,0.8304273504273504,0.576923076923077,0.767032967032967,0.3853333989805701,0.5607796002466371,0.34849775707835245,0.34899607576792285,0.47611279857697475,0.308114338323644,esm_1b,random
10,RandomForest,2,,0.9692307692307691,0.48901098901098894,0.8241758241758241,0.18231016854742507,0.573720850563356,0.35020767589398905,0.1560449044500638,0.4701229117278554,0.318933819518527,esm_1b,random
11,MLP,2,,0.45299145299145294,0.5384615384615384,0.410989010989011,0.6026444979978259,0.46547088549680155,0.550745628951065,0.4924252052855638,0.35794312402936435,0.45689821185125506,esm_1b,random
