index,model,seed,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,embedding,strategy
0,KNN,0,,0.895926892761058,0.6254527722743655,0.5695643285911823,0.22770079589655162,0.398674346512674,0.5812987207307567,0.17262307692307688,0.30791346153846155,0.4209089285714285,esm_2,random
1,Ridge,0,,0.9022222222222221,0.6043956043956044,0.5516483516483517,0.24647637779845313,0.4648329581194261,0.47904953015647195,0.19342258680033236,0.39848729197729743,0.3383461787443441,esm_2,random
2,RandomForest,0,,0.9733333333333332,0.6208791208791209,0.6175824175824175,0.16601472937950995,0.44605478492456074,0.40415100566425477,0.13962482692307693,0.39834819230769225,0.3429659285714285,esm_2,random
3,MLP,0,,0.9692307692307691,0.6593406593406593,0.43736263736263736,0.14319859335212193,0.45606665709812017,0.60244362375539,0.09673133892630711,0.37381624079497117,0.4121664082183547,esm_2,random
4,KNN,1,,0.9103055436957023,0.71470611975866,0.46851543785313576,0.3125355291725923,0.40154378132067703,0.5201601400478922,0.2289625,0.31175192307692307,0.42866607142857144,esm_2,random
5,Ridge,1,,0.9145299145299144,0.5439560439560439,0.49890109890109896,0.2681186224999952,0.38804487611377464,0.4435297442078772,0.19553603065929362,0.29294923024885844,0.3470634501366022,esm_2,random
6,RandomForest,1,,0.9562393162393161,0.6153846153846153,0.432967032967033,0.19347836756070255,0.364728203378794,0.44969480905401976,0.16096159776785723,0.2778740951159952,0.35742639178004537,esm_2,random
7,MLP,1,,0.9856410256410256,0.5549450549450549,0.5692307692307692,0.12193161700480622,0.4114791303642561,0.4956857629929251,0.08150292791869608,0.32704787301591537,0.3896815905916523,esm_2,random
8,KNN,2,,0.7618753426811613,0.36138240423834556,0.7318681318681319,0.3926965334659244,0.6670575755798457,0.3080470092604142,0.3225988461538462,0.5471800000000001,0.25564714285714285,esm_2,random
9,Ridge,2,,0.8126495726495726,0.45604395604395603,0.7978021978021977,0.4052714900220121,0.5676814375719458,0.33863597878641855,0.37132596491757247,0.48021942621303226,0.3038569831105143,esm_2,random
10,RandomForest,2,,0.9678632478632478,0.532967032967033,0.7626373626373627,0.17973309184251315,0.564200574523659,0.33155749022621567,0.15103161538461535,0.47697919230769226,0.3036712857142857,esm_2,random
11,MLP,2,,,,-0.3096094122692017,0.5494709121532411,0.641056414477041,0.49287631684938754,0.5026974852071006,0.5508193786982247,0.42944377668181744,esm_2,random
