index,model,seed,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,embedding,strategy
0,KNN,0,,0.7890507591870773,0.7548238008379548,0.6688672914344478,0.3029128084833476,0.41021549625213405,0.42863654886953556,0.23100480769230766,0.31352307692307685,0.35673035714285717,esm_if1,random
1,Ridge,0,,0.9986324786324786,0.6208791208791209,0.4593406593406593,0.04487729827581058,0.4810044995731041,0.5290343810428668,0.031936998852267945,0.4068596772417043,0.3583131303168851,esm_if1,random
2,RandomForest,0,,0.9774358974358973,0.45604395604395603,0.6087912087912088,0.15261356404473855,0.49971738242851504,0.42937521224133873,0.12777550000000007,0.45506044230769227,0.3796414642857143,esm_if1,random
3,MLP,0,,0.9904273504273503,0.5439560439560439,0.49890109890109896,0.06687635532084506,0.4655407084207274,0.47681267948870815,0.03886332467472627,0.3802199107740927,0.326324244266813,esm_if1,random
4,KNN,1,,0.7583503780699961,0.362893417396839,0.4048407290261131,0.4267769633408785,0.46296758287412276,0.48847356891501453,0.36257923076923065,0.39589769230769234,0.39540285714285706,esm_if1,random
5,Ridge,1,,0.9131623931623931,0.5989010989010989,0.5208791208791209,0.32778303658804586,0.3633771810446839,0.41629644008255556,0.2816175495028724,0.3019967569060359,0.35791606326646314,esm_if1,random
6,RandomForest,1,,0.976068376068376,0.510989010989011,0.5604395604395604,0.20342829421347225,0.3786761874995179,0.38398839722641376,0.1694298677274115,0.30307722052808306,0.3354368441468253,esm_if1,random
7,MLP,1,,0.9979487179487179,0.4505494505494505,0.6439560439560439,0.008823131643299486,0.41810732239950266,0.4799144189980909,0.006681030936747378,0.3326088049913717,0.41877377994094933,esm_if1,random
8,KNN,2,,0.7458865536185779,0.7032967032967032,0.6299574753008971,0.4097783181278535,0.5042528644974127,0.38512332842869956,0.34645,0.42862153846153844,0.3288842857142857,esm_if1,random
9,Ridge,2,,0.9528205128205127,0.7087912087912087,0.410989010989011,0.21647772592670664,0.5357031913021086,0.43495676897581365,0.17830358573218227,0.43525631749907645,0.3935037432509542,esm_if1,random
10,RandomForest,2,,0.9788034188034187,0.6318681318681317,0.745054945054945,0.17425205408357797,0.5272484093801918,0.36954090237066933,0.15415096153846158,0.4323811923076922,0.3280864999999999,esm_if1,random
11,MLP,2,,0.9788034188034187,0.7362637362637362,0.44175824175824174,0.08891852659223776,0.5246798185408669,0.49154876101996015,0.05699978718137582,0.40299594552393575,0.41280357939121404,esm_if1,random
