index,model,seed,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,embedding,strategy
0,KNN,0,0,0.8937196213270162,0.6820480434642727,0.6985333244529138,0.23988099859217055,0.4204614671245612,0.42468720574466834,0.1905201923076923,0.32912884615384613,0.33156607142857136,eve,random
1,Ridge,0,0,0.7558974358974359,0.576923076923077,0.7230769230769231,0.36349593247926154,0.44399100751256376,0.5368738278087971,0.301326393023002,0.3758042714474958,0.4131920747038525,eve,random
2,RandomForest,0,0,0.937094017094017,0.532967032967033,0.7582417582417583,0.20129433508474795,0.4296022414994956,0.35507167821810326,0.17160474366605616,0.37126130465645485,0.2885626443400845,eve,random
3,MLP,0,0,0.8735042735042735,0.4230769230769231,0.6615384615384616,0.24043132740397502,0.4483125043957133,0.5740611105950404,0.19235360529205264,0.3769606254235099,0.4017627421029043,eve,random
4,KNN,1,0,0.8658457677749459,0.6841437881764099,0.4004749185406751,0.31084315311961774,0.3952359433470867,0.5009320832297813,0.21644903846153846,0.30364807692307694,0.4275767857142857,eve,random
5,Ridge,1,0,0.6198290598290598,0.24175824175824176,0.6791208791208792,0.5037239367065384,0.4125900653500042,0.4044064313447579,0.46823477179290907,0.3613576756879085,0.3339072226765037,eve,random
6,RandomForest,1,0,0.9678632478632478,0.7417582417582418,0.6,0.19023383099258503,0.3698267414579479,0.3819068442872741,0.15904223076923085,0.2945767307692307,0.3126100714285713,eve,random
7,MLP,1,0,0.8803418803418802,0.4725274725274725,0.6395604395604396,0.2434371884294555,0.46332192145680806,0.3716516633484721,0.18385806118996303,0.36573074933212035,0.2964310307945857,eve,random
8,KNN,2,0,0.6742195066951912,0.47383099906616144,0.48231150846626225,0.4144706683414215,0.6266277118341173,0.36946750209882173,0.34589923076923085,0.5399392307692307,0.2951835714285714,eve,random
9,Ridge,2,0,0.5945299145299144,0.8131868131868131,0.7494505494505495,0.4084195377660827,0.555968718562256,0.3405877851777775,0.35666327492139877,0.42485918146386403,0.3132279013030573,eve,random
10,RandomForest,2,0,0.9623931623931624,0.7087912087912087,0.8901098901098902,0.1768451514077576,0.5788504840450032,0.32495249570214657,0.14341609615384607,0.5148578846153845,0.29621725000000004,eve,random
11,MLP,2,0,0.7066666666666667,0.8076923076923077,0.7362637362637363,0.39440130027829406,0.5907788008542562,0.3447119834142513,0.33744262322035745,0.4713245786716005,0.31610398168509946,eve,random
12,KNN,0,1,0.6927186556607039,0.4967183078710092,0.9229097278009645,0.4067886968732614,0.4860299487290248,0.35993667952055913,0.36077961538461534,0.38373692307692314,0.34238500000000005,eve,random
13,Ridge,0,1,0.42837606837606834,0.3516483516483516,0.5868131868131868,0.43908788834121376,0.4857323623324693,0.4192247990891467,0.3842692257800532,0.4392050650857445,0.37921374581006395,eve,random
14,RandomForest,0,1,0.9535042735042735,0.5,0.8681318681318682,0.1683956199859484,0.44298611187797865,0.342757498154672,0.14190732692307692,0.376577769230769,0.2848732857142857,eve,random
15,MLP,0,1,0.5131623931623931,0.37912087912087916,0.6307692307692307,0.45133733167966034,0.48184949263988636,0.3964166583547575,0.395354679578729,0.3862532121284924,0.34343994120465177,eve,random
16,KNN,1,1,0.709781191996683,0.4683213362863224,0.6111488375124255,0.37963730099115145,0.4954433745413527,0.506801730004658,0.3309026923076923,0.4168130769230769,0.3911435714285714,eve,random
17,Ridge,1,1,0.481025641025641,0.5274725274725275,0.5472527472527472,0.48284853967169256,0.4004676993845599,0.40388619786588426,0.44816478189785924,0.35706517291494283,0.34343766156887645,eve,random
18,RandomForest,1,1,0.939145299145299,0.47802197802197804,0.5736263736263736,0.23147487267879988,0.4089190273896765,0.4272592109612651,0.20724048277035464,0.31645945892094013,0.34350562316725936,eve,random
19,MLP,1,1,0.6102564102564102,0.37912087912087916,0.6571428571428571,0.4610713497084845,0.43093008902224084,0.3914210463157745,0.39962966481173834,0.366654583581775,0.30964134026170875,eve,random
20,KNN,2,1,0.739528725160807,0.49311481879559826,0.5487340883497108,0.3807556348792592,0.6667956546741346,0.4955211798558305,0.2884146153846154,0.6239276923076924,0.37443285714285723,eve,random
21,Ridge,2,1,0.3654700854700854,0.48901098901098894,0.7494505494505495,0.4614947378657956,0.5592544416269806,0.35136749069250456,0.42692655391057066,0.5004917294178965,0.32086953608593655,eve,random
22,RandomForest,2,1,0.9678632478632478,0.6538461538461539,0.5164835164835165,0.16961653034024568,0.5558582599364662,0.4334002850719693,0.1412329807692307,0.518757576923077,0.3642436428571429,eve,random
23,MLP,2,1,0.4762393162393162,0.510989010989011,0.3934065934065934,0.580828765775875,0.464444606898692,0.4704456272010934,0.4837961293691836,0.41372310885244545,0.4090627534058112,eve,random
24,KNN,0,2,0.5879413846772062,0.6279541588869947,0.22248606585593061,0.43186317619570913,0.48817523963460874,0.5509395349115649,0.3660507692307692,0.4484023076923076,0.47809428571428575,eve,random
25,Ridge,0,2,0.7634188034188034,0.5274725274725275,0.4945054945054946,0.35624105708381365,0.4686970480076569,0.5697962804062686,0.29465934776966135,0.3885404685609069,0.4045838378829288,eve,random
26,RandomForest,0,2,0.9685470085470086,0.6978021978021978,0.6131868131868132,0.1653013370200768,0.4436098048639835,0.4024566119560503,0.1435489423076922,0.40490684615384614,0.3333545000000001,eve,random
27,MLP,0,2,0.7340170940170939,0.510989010989011,0.6703296703296703,0.3889698281341329,0.4564108584046911,0.3905651238516742,0.32740277021517133,0.40714565142509124,0.32874982888346077,eve,random
28,KNN,1,2,0.8710847525907303,0.7641444730841352,0.4668244416806483,0.28964124568493876,0.36161349771651125,0.5139838005976315,0.19764038461538463,0.24716153846153852,0.4313339285714286,eve,random
29,Ridge,1,2,0.6143589743589742,0.34065934065934067,0.6615384615384616,0.4954274820548694,0.40377220661313584,0.3920023123773044,0.4597956450037198,0.3515438789994143,0.3289602935788127,eve,random
30,RandomForest,1,2,0.9617094017094016,0.5604395604395606,0.6175824175824175,0.17644106002954255,0.4005212161894544,0.39749658643884156,0.15522997115384654,0.3167349807692308,0.3153779107142859,eve,random
31,MLP,1,2,0.8878632478632477,0.6483516483516483,0.5780219780219781,0.3053164803323194,0.40820590764428044,0.3909828901518452,0.24067910868904616,0.3210571232081433,0.29423855018712075,eve,random
32,KNN,2,2,0.6851991627838658,0.3656635961555935,0.5354100231597957,0.4275509551053985,0.5980603723319629,0.37998339491915395,0.3665157692307692,0.4889707692307692,0.33847,eve,random
