index,model,seed,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,embedding,strategy
0,KNN,0,,0.5604376898459305,0.32967032967032966,0.16501660150520914,0.46528565024410207,0.5446498681157111,0.568848296290722,0.3854861538461538,0.5215976923076924,0.4718792857142856,onehot_pad,random
1,Ridge,0,,0.9999999999999999,0.38461538461538464,0.3450549450549451,4.1333824755331206e-07,0.5817864654806335,0.5113952736246138,2.631957521134331e-07,0.5371510709001439,0.4518155326229073,onehot_pad,random
2,RandomForest,0,,0.9699145299145299,0.4010989010989011,0.24395604395604395,0.19777718081131873,0.5535374519556537,0.5429926684374655,0.17110857692307688,0.502486576923077,0.4929251071428572,onehot_pad,random
3,MLP,0,,0.9999999999999999,0.21428571428571427,-0.032967032967032975,0.0001654321739453154,0.6651079677806856,0.6390929045267402,0.00010653026121970862,0.5868057739685707,0.575917614233509,onehot_pad,random
4,KNN,1,,0.7740722756534568,0.7340973710699414,0.08407264826476132,0.4307872119680345,0.36513572298793645,0.6099562227777966,0.35809519230769227,0.3068903846153846,0.49358392857142847,onehot_pad,random
5,Ridge,1,,0.9965811965811966,0.2582417582417582,0.6615384615384616,0.09614388735499473,0.4192880971810918,0.45904751220860707,0.08250785194358477,0.35134165445871746,0.410450993403289,onehot_pad,random
6,RandomForest,1,,0.9767521367521367,0.40659340659340654,0.5384615384615385,0.2381515530793889,0.41634129764863587,0.48033256356403736,0.21471401923076924,0.35875626923076925,0.43189785714285717,onehot_pad,random
7,MLP,1,,0.9993162393162391,0.40659340659340654,0.410989010989011,0.0006135139215852884,0.4233061864813808,0.499084151022544,0.0004391478878464813,0.34135326215543915,0.459934094410035,onehot_pad,random
8,KNN,2,,0.8472201560048586,0.08539977308750583,0.00450588754991638,0.3333120606272977,0.5772744353858049,0.603620645600068,0.268775,0.47584615384615386,0.49125892857142844,onehot_pad,random
9,Ridge,2,,0.9979487179487179,0.10989010989010989,0.6351648351648352,0.1363453847475276,0.6197642171970635,0.46258615452817964,0.12896550453768085,0.5271136747445003,0.39762220170948354,onehot_pad,random
10,RandomForest,2,,0.987008547008547,0.23076923076923078,0.6483516483516484,0.293214207895619,0.6138601951018249,0.47104865102299454,0.27347458476800973,0.5185391385302197,0.4055156326034581,onehot_pad,random
11,MLP,2,,0.9999999999999999,0.0934065934065934,0.6483516483516484,0.0004904240409152985,0.66091186483331,0.4450762552796009,0.00036757214010989134,0.5639865619368873,0.4024250087651383,onehot_pad,random
