index,model,seed,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,embedding,strategy
0,KNN,0,,0.8991621699305258,0.6602252917735247,0.6656756108182909,0.24588844797215229,0.43672845605355626,0.39925643679398404,0.20362115384615384,0.3870730769230769,0.3094071428571428,onehot,random
1,Ridge,0,,0.9999999999999999,0.6373626373626374,0.6351648351648352,4.343606681019111e-07,0.46506311164059205,0.3921316517958526,2.968258657496257e-07,0.4199493165723511,0.33228062570603456,onehot,random
2,RandomForest,0,,0.974017094017094,0.5549450549450549,0.6351648351648352,0.15848943578668184,0.48495827320450985,0.43042646326376116,0.13749926923076905,0.44918076923076933,0.3880881428571428,onehot,random
3,MLP,0,,0.9999999999999999,0.6208791208791209,0.6,0.000886196046412721,0.5087257852384935,0.45073320631375197,0.0006785190541273867,0.4556032308399438,0.38439736743090785,onehot,random
4,KNN,1,,0.7094683991226387,0.45454717933672467,0.5221353944864123,0.4411704000636349,0.4223628811451484,0.3802013106988754,0.3782184615384615,0.34242769230769227,0.25067999999999996,onehot,random
5,Ridge,1,,0.9999999999999999,0.5604395604395606,0.6,3.3844137733301156e-07,0.361436675482404,0.3550876444739669,2.6679523057048134e-07,0.26439241862801643,0.2719865302950716,onehot,random
6,RandomForest,1,,0.9822222222222221,0.576923076923077,0.621978021978022,0.18773596370895718,0.365597798542589,0.36268344598395275,0.16935578846153862,0.288868826923077,0.2872987142857145,onehot,random
7,MLP,1,,0.9999999999999999,0.8076923076923077,0.665934065934066,0.00020557866056574603,0.32353968756736334,0.3877468626338902,0.00015588583020962672,0.24633751399523357,0.30026028560098544,onehot,random
8,KNN,2,,0.8215408607745095,0.3911860573685751,0.895490090834935,0.37044958198425293,0.5700486726182652,0.32955977466701153,0.3205415384615385,0.47669230769230764,0.28811642857142855,onehot,random
9,Ridge,2,,0.9747008547008547,0.5384615384615384,0.8461538461538461,0.19513605066996922,0.5965366935835505,0.34418543862701845,0.15954006509461235,0.5070080867777822,0.3066138742712074,onehot,random
10,RandomForest,2,,0.9165811965811965,0.5989010989010989,0.7626373626373627,0.290444321580977,0.5705280936046975,0.3793817524398015,0.25924620172674545,0.4905047756895883,0.32908289818078745,onehot,random
11,MLP,2,,0.9999999999999999,0.5274725274725275,0.745054945054945,0.0016335120034241,0.6442842122805504,0.3596006319813985,0.0010245658329275998,0.5661002095520179,0.31376519815813975,onehot,random
