index,model,seed,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,embedding,strategy
0,KNN,0,,0.28969267604325455,0.15981223001293632,0.20223777666480872,2.1719575236096067,2.4077231295039367,2.39679336407454,1.7279090833868915,1.9573025722682595,2.0088214275225407,af2,random
1,Ridge,0,,0.7349854287598125,0.1647928215922613,0.1363677378632807,1.5041564992723426,2.8722283276107903,2.6974534534667822,1.235047704319773,2.242424724595202,2.208781375198502,af2,random
2,RandomForest,0,,0.9661231926746082,0.11305559883607552,0.19729752375469414,0.9478971395750976,2.3922777747473414,2.3711058720655576,0.7701722294141857,2.0115553110853504,2.00978612643791,af2,random
3,MLP,0,,0.7300558022389443,0.16166966584743628,0.10985797040774033,1.4799613323287357,3.10515665085979,2.9560771133224537,1.2419639115363708,2.479377435298049,2.4146610192849525,af2,random
4,KNN,1,,0.26477743052818337,0.015332538672827838,0.13888242132651216,2.2195281086334706,2.508986963292266,2.3514272160978362,1.8027628111692156,2.100814810803984,1.9720804501490867,af2,random
5,Ridge,1,,0.7168257508017861,0.07914210229266938,0.13622528475620269,1.5537281562094922,2.866052237074244,2.750716211164564,1.2620068136259535,2.3489943163235254,2.3059780992096885,af2,random
6,RandomForest,1,,0.9692376745903111,0.18696902836719914,0.2317267115576331,0.9392952599491765,2.411036121935203,2.3047254275328766,0.7614322400374265,2.0810404064548953,1.982390415531371,af2,random
7,MLP,1,,0.4906103466510356,0.10161410094237179,0.1784742120666504,1.9568207436534029,2.6017015961952143,2.497002231964515,1.5966748279882266,2.181380052055874,2.04917321193546,af2,random
8,KNN,2,,0.16633204364215498,0.06456011968520126,0.1307202285493838,2.3207412862165016,2.3901729171376362,2.290517040462557,1.9376307799122081,1.967845504626849,1.891493651065619,af2,random
9,Ridge,2,,0.7522050736960652,0.09056100545981893,0.08777408252628266,1.5268281761580935,2.7710485266175104,2.9111840533801376,1.2539125575470567,2.2163794718910474,2.260691057438962,af2,random
10,RandomForest,2,,0.9727793192737141,0.17428168634341246,0.27765961561348584,0.9903544635748637,2.3409714799558823,2.2184548655697713,0.8231833981309716,1.9520704796102115,1.8202535700163631,af2,random
11,MLP,2,,0.1994304884102366,0.1891785256785989,0.18474992541573648,2.292827207944274,2.340940070437946,2.260409820216428,1.9107392755929506,1.9580027866005587,1.8409254152738947,af2,random
