index,model,seed,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,embedding,strategy
0,KNN,0,,0.15169131082606416,0.0010822583347355108,0.053530685642474624,2.2156206890707035,2.456015638468751,2.427524245673982,1.8427831079613597,2.096994868520181,2.064833046660585,ct,random
1,Ridge,0,,0.11447471559505772,0.07442285139931205,0.19314358637626117,2.262944420708588,2.4272788006620813,2.416025082508803,1.8876733050689742,2.086668180829084,2.0489503221902265,ct,random
2,RandomForest,0,,0.9711090466501026,0.13256156810260372,0.10597213091729188,0.8714232617223645,2.3942153231210086,2.400575893089806,0.7185049053202938,2.0112083986531277,2.045668819988524,ct,random
3,MLP,0,,0.07946785170723215,0.022156140057085338,0.12736378050459826,2.2663307964016526,2.4272761245618484,2.420613704719688,1.8876818336349952,2.084111410570464,2.0506551607882835,ct,random
4,KNN,1,,0.25367583209369254,-0.07534750318824736,0.1963910225116508,2.185651164218423,2.5408669624947433,2.3474668082916197,1.8037043666074994,2.1565634599578436,2.037303233083237,ct,random
5,Ridge,1,,0.15970160566176742,-0.07823240369942384,0.2507641564312437,2.2810088319341526,2.450329727426423,2.373528153750586,1.8918284180260254,2.092379981534052,2.0556003054484697,ct,random
6,RandomForest,1,,0.9653507677368149,0.06161658298522624,0.13596264374778977,0.8587899720710851,2.5347364352411423,2.374350644409115,0.6861473674797913,2.1556521310198336,2.0330213465506035,ct,random
7,MLP,1,,0.1161665484845453,-0.032214722374803974,0.12007205709154367,2.279789499741927,2.4497529228365647,2.372710721626482,1.888375595472743,2.0903208378697244,2.052833822061234,ct,random
8,KNN,2,,0.1498737802747305,-0.03517665812564411,0.1782068138789479,2.311296685018374,2.4422009603371753,2.2734429275741403,1.9397110200923073,2.005870678391217,1.8758300322229264,ct,random
9,Ridge,2,,0.21549310713968173,0.16238022521446188,0.051726027045172485,2.291473520902771,2.3524350936282947,2.2979024661053766,1.9185098774347273,1.9273707146828047,1.8971962721497082,ct,random
10,RandomForest,2,,0.9673282362994317,0.11159965253996557,0.14765974451497124,0.9181353159368885,2.375997838102681,2.271743384798032,0.7530561527093,1.9240887649085874,1.8502446781410127,ct,random
11,MLP,2,,0.0662451635300855,0.08322478666988725,0.0891307990788973,2.352388201412865,2.3801923237941627,2.297193236828505,1.980578092003358,1.9884989432064009,1.934264432257663,ct,random
