index,model,seed,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,embedding,strategy
0,KNN,0,,0.16343578393190428,0.11044712607422781,0.1928956012247579,2.2276286270456334,2.420296120194342,2.3867575846798874,1.8621884228668057,2.0515667395438855,2.0244854163446044,esm_1b,random
1,Ridge,0,,0.34105907702048327,0.1730739268342737,0.25928110136274646,2.177139174675947,2.400666214328877,2.3495608094806935,1.8190281550307128,2.0532630047962734,1.9934262755977197,esm_1b,random
2,RandomForest,0,,0.9740741036482731,0.20478605330120717,0.27010905294655924,0.8515998478560743,2.374927905404457,2.320767122941344,0.7033701372442251,1.9855993204826716,1.9670433765618693,esm_1b,random
3,MLP,0,,0.6385346015275248,0.09036323215412706,0.1678009212472136,1.7578966624665442,2.53133755325491,2.4763531051718446,1.42245202411256,2.0463536589490037,1.9779588207665102,esm_1b,random
4,KNN,1,,0.241368562958629,0.14773136583975188,0.17068281828325835,2.207485427652775,2.428235283984532,2.3382987422726904,1.8230605279499836,2.0875634668425667,1.9630871210675742,esm_1b,random
5,Ridge,1,,0.26656935575085405,0.1250977967886519,0.3117806576986061,2.2213721025482096,2.437554811726496,2.3032608508819625,1.8439237310177998,2.09843898843343,1.9793637930919914,esm_1b,random
6,RandomForest,1,,0.9710527671900046,0.13053085855273164,0.28612240360064795,0.839200266733686,2.4722325055929986,2.247604634027204,0.6896471229379068,2.140950881100364,1.9424538041539452,esm_1b,random
7,MLP,1,,0.6544017298376867,0.05276386625488345,0.1619992862336516,1.763210834152507,2.6386978608133984,2.4161873543197308,1.4244143014875303,2.240621379685101,2.0852002394786013,esm_1b,random
8,KNN,2,,0.3480731707092636,0.13821014945577056,0.12192573340692155,2.1953447404810507,2.370975399909245,2.3269288333311366,1.8005560886062668,1.9345935781843482,1.8962804591587887,esm_1b,random
9,Ridge,2,,0.3312981890871843,0.22598200875887076,0.17158113874313866,2.247593788247637,2.334939476906423,2.254521779033556,1.8890991743271688,1.9461573906560654,1.8644595778980682,esm_1b,random
10,RandomForest,2,,0.9744353602305604,0.2254626600891108,0.14041210668402035,0.8616312409697825,2.3317634430461434,2.2962406484306874,0.7240971589213744,1.9121692384690658,1.8743076130972862,esm_1b,random
11,MLP,2,,0.970519007925151,-0.029262784563538875,0.006596671694066918,0.47372403932190776,3.4266560444577165,3.5613229652291056,0.2955286186134039,2.619966680959946,2.8103095399931757,esm_1b,random
