index,model,seed,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,embedding,strategy
0,KNN,0,,0.2471932713176107,0.15802788067232484,0.20300797917330016,2.1962525490887708,2.4264333023725526,2.3883929481231396,1.84704637327751,2.0663499740705658,2.052387885397673,esm_2,random
1,Ridge,0,,0.3926280195290607,0.1837289600811276,0.22313959034713313,2.1457122135427382,2.400469746314526,2.358841374844701,1.790683477905505,2.0415034908867242,2.005596016688591,esm_2,random
2,RandomForest,0,,0.9709333051086265,0.21026937465607395,0.21941748199019742,0.8403145933632841,2.3852100718906164,2.371853703379096,0.6909793037544172,2.007255307208436,2.0096181298847027,esm_2,random
3,MLP,0,,0.5485303606546399,0.15055949484167555,0.19489286249913973,1.6607401279267124,2.6561575160101754,2.551546017408297,1.2260830839152477,2.1084141387456765,2.046271495057763,esm_2,random
4,KNN,1,,0.3731778232197379,0.15929844018712286,0.24534557058813014,2.098515203894901,2.469416170365681,2.3039501079974603,1.7085532155967933,2.10075304396687,1.9446172940613884,esm_2,random
5,Ridge,1,,0.30781631379120683,0.12045548591962169,0.30853067663131256,2.2087186533796768,2.4433359507322487,2.3054968245468266,1.8303269105779914,2.115117087889288,1.9799084687877946,esm_2,random
6,RandomForest,1,,0.9797912570964454,0.1708407256836359,0.15400269730724336,0.8275700320443389,2.470827209041148,2.3242642598135954,0.6769819886917187,2.156843991148961,2.0024505282633833,esm_2,random
7,MLP,1,,,0.12855438570198385,,2.2828061866452893,2.4492445518776567,2.375285256222247,1.893593273476228,2.0912345635611955,2.0576470143211614,esm_2,random
8,KNN,2,,0.22838893285150652,0.10503910611809472,0.021762249120680945,2.294627947293722,2.3579479782643586,2.3425519205481895,1.9240741965300774,1.9531006299770408,1.9486617701856472,esm_2,random
9,Ridge,2,,0.37904695527355997,0.2017535556554243,0.1435315879736426,2.2120733085084905,2.3449910491885038,2.2714131099032437,1.8556432869387052,1.9487614045131714,1.8943925661721432,esm_2,random
10,RandomForest,2,,0.9698778260270081,0.16300511893646336,0.171445789348341,0.9924599966261674,2.349087479405302,2.2740018884500475,0.8236866564036468,1.9410542556202741,1.893712367210316,esm_2,random
11,MLP,2,,0.3890310458345964,0.18107283941988567,0.13012777009039425,2.0961338223909083,2.3695581951152076,2.4010625935032808,1.6912914728734156,1.9045584187767122,1.9716921517214538,esm_2,random
