index,model,seed,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,embedding,strategy
0,KNN,0,0,0.18162799636234547,0.13961728676430704,0.23708674897790127,2.231901932928232,2.4120716113305245,2.3478000767591016,1.833531988671555,2.0559968232489276,1.9830608465191826,eve,random
1,Ridge,0,0,0.17004858326621486,0.08181269894500608,0.15917746173205627,2.2302953534839056,2.4234414897835266,2.394430480466038,1.853060772445519,2.069808929774018,2.023480746044058,eve,random
2,RandomForest,0,0,0.9475253660636409,0.17687217289427482,0.20905375389764386,1.019250066627305,2.397073808360583,2.3399494633615645,0.8361554590615509,2.0013936125899376,1.9550496993608018,eve,random
3,MLP,0,0,0.6052195205279913,0.1386413134536179,0.21563109526289323,1.75968058274849,2.639230915823673,2.442984737056133,1.3874728233459293,2.145128190879664,2.0103737918092897,eve,random
4,KNN,1,0,0.26084831865540825,0.21704210769679247,0.20175020222328316,2.1970268732351217,2.4084723562361225,2.3412873266839997,1.8021782460489542,2.0457994498848517,1.995588957493246,eve,random
5,Ridge,1,0,0.2251604666037571,0.08076381175539808,0.1565777982591546,2.223862477410174,2.4539406624274163,2.3539969209121026,1.8265150538910824,2.1087622154111694,2.031525274276001,eve,random
6,RandomForest,1,0,0.9462684425421685,0.14400713016243172,0.15914620587865644,1.0168389385965118,2.4653619051443862,2.343365825318925,0.8178424674599081,2.1113806890568556,1.996493212807297,eve,random
7,MLP,1,0,0.5468070189134544,0.16376585062051266,0.21065937501007065,1.8752634402882606,2.486438900952814,2.373655235645372,1.4982204568100888,2.0423411670519496,1.9529410134482441,eve,random
8,KNN,2,0,0.2886095888507561,0.09331807657968458,0.05125742713852899,2.26331443413818,2.4203770667935958,2.370952779367062,1.8491889944544422,1.934389132710641,1.9139366897806418,eve,random
9,Ridge,2,0,0.21896205008293151,0.11730076067929818,0.08045876999793293,2.299515312602689,2.3540836131564573,2.296883716442003,1.9197176185488227,1.9469126768352538,1.9158236017145658,eve,random
10,RandomForest,2,0,0.9380588375895694,0.06445452055378893,0.15469469043981154,1.0540640876096636,2.4470909808333614,2.3108835895041113,0.8782757986837496,1.983873031213464,1.8818924472417415,eve,random
11,MLP,2,0,0.5556859555299526,0.008577629642486921,0.19200278433439516,1.8750209977552381,2.6917780870133057,2.4973815078708803,1.5331709060543188,2.056591675939218,1.942814545538165,eve,random
12,KNN,0,1,0.19557234980607366,0.12454745123548004,0.2898613776606423,2.222260740806819,2.40965165740992,2.320167760831968,1.825628800586591,2.0360227617679016,1.9563671299094707,eve,random
13,Ridge,0,1,0.28873330050824797,0.11178086781768226,0.06752651198796426,2.152550453350512,2.4185056074343616,2.4417841013762644,1.7668232169278935,2.0490784813055565,2.0434477044012516,eve,random
14,RandomForest,0,1,0.9460453790158538,0.1730222817902157,0.12376423083410173,1.0201849602810447,2.4040632696971636,2.4291403775532032,0.8302469121389079,1.9942695928899417,2.0517798247798145,eve,random
15,MLP,0,1,0.5762346263701594,0.20104272421753805,0.16581925524199204,1.8322297555704705,2.4625280175885127,2.488563299958271,1.4471397740152523,2.0149969500630722,2.0504400519401837,eve,random
16,KNN,1,1,0.2403598267160079,0.12404621556265595,0.08819846961477194,2.209492765233467,2.4465118461446864,2.3874795090221026,1.7954645584528706,2.082466372315638,2.0109984956009566,eve,random
17,Ridge,1,1,0.20905481007948237,0.02687882915291252,0.17971924758869387,2.223782980969676,2.4943833910477666,2.352328712994719,1.8299195317271402,2.1315968659475226,2.0176777712522873,eve,random
18,RandomForest,1,1,0.9534164201953771,0.18648318565625774,0.0831477656142748,0.8566445781040835,2.4667370653618663,2.3828729446334997,0.6910029970129365,2.080384136650432,2.0355410919636516,eve,random
19,MLP,1,1,0.5698026872017414,0.1436318585512218,0.14265941368120166,1.8638425529381317,2.685924338395764,2.545190870559015,1.4797504219995683,2.183230770427473,2.0552951385034404,eve,random
20,KNN,2,1,0.29168953401485953,0.11724763588479972,0.12743529381450705,2.270608814456441,2.377377196508465,2.302928374771956,1.8778878744578145,1.9065542546174021,1.8786221060600254,eve,random
21,Ridge,2,1,0.1889871986491562,0.053126018279863824,0.09126094074464142,2.3183366045908285,2.3820189393644635,2.2956019546197846,1.947910442987,1.970934076307507,1.9304566125614906,eve,random
22,RandomForest,2,1,0.9404900211896606,0.11627379056780514,0.17044033670127268,1.0852260743789865,2.378585602870156,2.2897197225959096,0.893767496166357,1.9177431934455529,1.8544120119076708,eve,random
23,MLP,2,1,0.5659483954126644,0.12846508176084756,0.20450649032998855,1.880977262966225,2.519986520972944,2.433623052320328,1.5148928727017736,1.9879314673352808,1.885495076476245,eve,random
24,KNN,0,2,0.1954746937341542,0.1696305238143707,0.21154221095977316,2.232978814548873,2.400566554273714,2.3462272371921618,1.8247239808391447,2.0329929581014543,1.9477026886371205,eve,random
25,Ridge,0,2,0.15481158056237534,0.09073546657782548,0.10900468970091111,2.2392886103671064,2.423655104025234,2.396705807890378,1.8641401998791536,2.0782038094446844,2.026335210488436,eve,random
26,RandomForest,0,2,0.9489924962812526,0.18382476126757571,0.16020547343980468,1.0097787784970031,2.416777010796719,2.403630170568014,0.8170911856873002,1.992014278143572,2.022060742757508,eve,random
27,MLP,0,2,0.5868734459721869,0.2322650360207376,0.21420025765085465,1.7951884563662046,2.435641390217496,2.4173146058299357,1.412543312352614,1.9568164133484982,1.9815993080220178,eve,random
28,KNN,1,2,0.20797417659666373,0.17982774305225946,0.05007774546274761,2.2160981920681975,2.428023098385864,2.40018960795671,1.8086530811143142,2.037508693214398,2.0297544363507445,eve,random
29,Ridge,1,2,0.185827719016,0.1374097212117854,0.13957055708986849,2.2259337846080074,2.4461271390263417,2.370173071989879,1.8340213034396462,2.092966205042713,2.025856607869555,eve,random
30,RandomForest,1,2,0.9380977255276132,0.2422143705603208,0.18078270369212623,1.0339321771936958,2.414172177633163,2.3125438523080506,0.827227376901386,2.038047007306213,1.9697872495345607,eve,random
31,MLP,1,2,0.5608615977769258,0.1543270994707053,0.15973271803267067,1.8233314281769435,2.593581427982187,2.523224716870286,1.4642230386056725,2.0659027664746987,2.0058851425420485,eve,random
32,KNN,2,2,0.26257713151389844,0.04669544924418371,0.14256618488335576,2.2837864915182564,2.3951190008888887,2.305402654935651,1.8813656572942463,1.920320574129916,1.8926773387102347,eve,random
33,Ridge,2,2,0.16067004780384297,0.15811654016756163,0.14574551735997576,2.3288911071823843,2.3549170301133118,2.279951959280183,1.944832014168023,1.9650009983182384,1.910835011875095,eve,random
34,RandomForest,2,2,0.9415167006509412,0.1861881734272317,0.2362717042471442,1.0943695152490076,2.3467728896127356,2.2176884321408687,0.8945644303735804,1.909803507110965,1.7904333074697074,eve,random
35,MLP,2,2,0.5693163197477039,0.05166681604966731,0.27517821004219545,1.8755603903256988,3.0779162089933454,2.7833732750584743,1.500593398137532,2.2274685230465883,2.062078073256522,eve,random
