index,model,seed,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,embedding,strategy
0,KNN,0,,0.2291141087396468,0.022888639449860256,-0.04034749765818258,2.2083854661251046,2.525811490747798,2.4821914457520933,1.8368430034392882,2.0669255657678516,2.0581512569895772,onehot_pad,random
1,Ridge,0,,0.890848333920467,0.07501243924966705,0.04730139087714421,1.265706700191092,2.5568124424132916,2.4934466632977204,1.050602376239369,2.086998721841055,2.0696386426557405,onehot_pad,random
2,RandomForest,0,,0.9656935257939699,0.13558697338590853,0.08737447955116576,0.8681920931397153,2.4682097349789527,2.4802656775066763,0.716405896197095,2.0089812345247164,2.104043723079388,onehot_pad,random
3,MLP,0,,0.9986468189097963,0.1481820268371424,0.04220000773512764,0.10401379014896121,2.612329634311712,2.634515388444385,0.03046388129052246,2.061435014303898,2.1353153781680496,onehot_pad,random
4,KNN,1,,0.20149024159167694,-0.04388884378935624,-0.03863872576554432,2.2374609691501988,2.497619441741055,2.436482841424239,1.8141699376832965,2.0943645548089784,2.072102827041243,onehot_pad,random
5,Ridge,1,,0.8904160394244884,0.05791915242299251,-0.014764291779677863,1.3202053815661428,2.513938982952038,2.496018595888715,1.0732552075908288,2.1469939170697945,2.145488072913551,onehot_pad,random
6,RandomForest,1,,0.935567530603151,0.14306392517532815,0.0407609177289655,1.3046463938064945,2.4419647775749675,2.4090204937126023,1.077171349070361,2.101868447577166,2.07668024965729,onehot_pad,random
7,MLP,1,,0.9997568609569594,0.09375256533446384,-0.05238963035298985,0.05205256937259188,2.7067605508615067,2.7265953008769124,0.016892074749252077,2.2378702037632756,2.223777222644549,onehot_pad,random
8,KNN,2,,0.2409037520551354,0.17365045247182812,0.019490642607362406,2.270439369577816,2.366743796889152,2.3833952504484035,1.8858643282985201,1.952469931385421,2.002221705374806,onehot_pad,random
9,Ridge,2,,0.895430842821843,0.14427338514102464,0.12345476107865634,1.373943065941111,2.4084540889784547,2.32273785600058,1.138821992322093,1.960427640431184,1.9389316469257423,onehot_pad,random
10,RandomForest,2,,0.9465437402933323,0.2516009760426422,0.24415097258715082,1.1825359532251596,2.3407167739836487,2.2202712330976913,0.9795606926430412,1.9131790550335441,1.838182051420483,onehot_pad,random
11,MLP,2,,0.9991459548387099,0.04814362168674739,0.13743764260310984,0.08051784426499506,2.661444267195495,2.4799317498563522,0.04446449876659896,2.1158311350479995,1.9599816387086009,onehot_pad,random
