index,model,seed,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,embedding,strategy
0,KNN,0,,0.18909993677421744,0.11149764491834692,0.10250791351651978,2.22594875505261,2.439522683243297,2.43380342625425,1.8106324860222756,2.0151646325387875,2.0077557803150503,onehot,random
1,Ridge,0,,0.8659218485342481,0.1281168301930904,0.13728295758048395,1.4001609704884843,2.510464839491834,2.4600519900329547,1.1570281938457283,2.0380301461437274,2.052899191220155,onehot,random
2,RandomForest,0,,0.9793474766090027,0.2040273043850159,-0.02211995823550333,0.8448328751915817,2.3968307393202686,2.4730861027980704,0.6918217494431411,1.9951733831603484,2.1134154722550904,onehot,random
3,MLP,0,,0.9973623803679654,0.1050358434661558,0.11655194194397568,0.14379770926475086,2.7377643216367225,2.5906826318535625,0.07118442724367248,2.1890061205124223,2.119872139820583,onehot,random
4,KNN,1,,0.25059353928240724,0.06562735330317798,0.08728711760931648,2.2097353766005465,2.4717226329369715,2.4027406453330724,1.7767626252988789,2.1047452224749286,2.018434061788766,onehot,random
5,Ridge,1,,0.8494338903924536,0.1636050199299941,0.04282337472754541,1.4364253804657967,2.4897776072515803,2.4479868729779595,1.1755593346351043,2.1376456814022786,2.1028664790184863,onehot,random
6,RandomForest,1,,0.9516055834710689,0.16354973438012838,0.02003646362460036,1.1669082063122163,2.450954535413128,2.3902156131979497,0.9491965739468098,2.0893386160667853,2.0431552104067254,onehot,random
7,MLP,1,,0.998316382029735,0.029525243928756315,0.05891376190552894,0.3047649419410858,2.8873170812870717,2.6974686834560515,0.17072321721798886,2.4278875232525614,2.26070659308462,onehot,random
8,KNN,2,,0.22404434361765,0.10924927249303663,0.06229294765330411,2.2949220332285716,2.3605589244338123,2.331196400306916,1.927750269886482,1.97584454436675,1.9771482650989256,onehot,random
9,Ridge,2,,0.8764411169737082,0.014742800948024394,0.0980090748566962,1.5128421625794277,2.470209565283509,2.3634892416235123,1.247187657326022,2.0304835411027744,1.9753667415898946,onehot,random
10,RandomForest,2,,0.9344610282431739,0.13243223547049776,0.17916070485180766,1.2457158948232936,2.3777710392585987,2.2431698680792906,1.0264176742046596,1.9516398043786554,1.8315623181569347,onehot,random
11,MLP,2,,0.9947773328955741,-0.02884060435457272,0.16760122201515984,0.23529363393959726,2.9131561356021076,2.608080400436345,0.16809018096724204,2.3870513087775977,2.133449046348699,onehot,random
