index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.2992699300061598,0.0848288423664315,0.1119827201446543,0.13507435901511103,0.166339373051082,0.1747190228371727,0.10697243401759529,0.13282625482625482,0.1388156862745098,part_0,part_1,part_2,af2,CV
1,Ridge,,0.7622969897212079,0.12578035229950205,0.2586038224770727,0.08491181129927337,0.18880460089740808,0.18873146119460885,0.06615069619233746,0.14408327478824834,0.14340325967113474,part_0,part_1,part_2,af2,CV
2,RandomForest,,0.971714732884972,0.28933744863344313,0.3642118007691137,0.059631628349331375,0.15778919889815687,0.1619909437649503,0.04596849661091597,0.12611894184537045,0.13002493675496618,part_0,part_1,part_2,af2,CV
3,MLP,,0.014062452600510571,0.18930008326157127,0.09367676101263503,0.1434751250574306,0.16219740450334827,0.17203381557084937,0.11314289822010724,0.13113778774091292,0.13764338464598866,part_0,part_1,part_2,af2,CV
4,KNN,,0.2992699300061598,0.1119827201446543,0.0848288423664315,0.13507435901511103,0.1747190228371727,0.166339373051082,0.10697243401759529,0.1388156862745098,0.13282625482625482,part_0,part_2,part_1,af2,CV
5,Ridge,,0.7622969897212079,0.2586038224770727,0.12578035229950205,0.08491181129927337,0.18873146119460885,0.18880460089740808,0.06615069619233746,0.14340325967113474,0.14408327478824834,part_0,part_2,part_1,af2,CV
6,RandomForest,,0.9766865272400987,0.37030697120513156,0.2615675560881097,0.050946471535100776,0.16184003891521537,0.1599491062879584,0.03982551319648092,0.1302847058823529,0.1277111969111969,part_0,part_2,part_1,af2,CV
7,MLP,,0.13876909189480355,0.23864823625710457,0.06518967520352574,0.14027885058831246,0.1709557876044908,0.165688351397187,0.11058442759371089,0.13515919398171045,0.1319380705573251,part_0,part_2,part_1,af2,CV
8,KNN,,0.3725480697827261,-0.02157097600280717,0.1595283427946799,0.1555460100276482,0.14766586836622708,0.17008052348987004,0.12647104247104246,0.11615835777126099,0.1351921568627451,part_1,part_0,part_2,af2,CV
9,Ridge,,0.851166398963029,0.11421623041380358,0.28524445225506606,0.08429313828046892,0.1877732100423742,0.19614402034849174,0.06550889428632574,0.1478937687387289,0.14570413087035794,part_1,part_0,part_2,af2,CV
10,RandomForest,,0.9712102699265779,0.20257457465976175,0.3781530479093892,0.05971460179850206,0.14043189852439922,0.15923859998596507,0.046713513513513515,0.1097090909090909,0.1255894117647059,part_1,part_0,part_2,af2,CV
11,MLP,,0.22539444399130265,0.0017565765324605081,0.10033863786134067,0.1615322937676451,0.1437338347391177,0.1705439112802846,0.13267377677641412,0.11523788107367358,0.13810334519616127,part_1,part_0,part_2,af2,CV
12,KNN,,0.44083551848603636,0.26604406957189103,0.013548965507063885,0.1494700548514561,0.1665562143812701,0.15105659152000692,0.11941312741312739,0.13179607843137256,0.11617008797653958,part_1,part_2,part_0,af2,CV
13,Ridge,,0.851166398963029,0.28524445225506606,0.11421623041380358,0.08429313828046892,0.19614402034849174,0.1877732100423742,0.06550889428632574,0.14570413087035794,0.1478937687387289,part_1,part_2,part_0,af2,CV
14,RandomForest,,0.966946435467738,0.388054326437104,0.19041695336693681,0.06635865026597347,0.15826914339835887,0.14119730197252897,0.052864544713116225,0.12685480358258303,0.1103938128212615,part_1,part_2,part_0,af2,CV
15,MLP,,0.22539444399130265,0.10033863786134067,0.0017565765324605081,0.1615322937676451,0.1705439112802846,0.1437338347391177,0.13267377677641412,0.13810334519616127,0.11523788107367358,part_1,part_2,part_0,af2,CV
16,KNN,,0.3964109457259798,0.011848617846926,0.2097481835241401,0.1546925360380466,0.15209631151523562,0.16462147619527176,0.12925176470588237,0.12605043988269796,0.1398980694980695,part_2,part_0,part_1,af2,CV
17,Ridge,,0.8912757945992322,0.05929365490446847,0.1447910417720238,0.07861489071832799,0.2005623177073575,0.21003561258795295,0.06063005436514897,0.1591453249035305,0.1678184690289848,part_2,part_0,part_1,af2,CV
18,RandomForest,,0.9751595532066898,0.2122340487083096,0.3274448644326398,0.06548375969058333,0.14260244872516165,0.15931550008914208,0.05362608021716851,0.11671913943705371,0.13297956071384648,part_2,part_0,part_1,af2,CV
19,MLP,,0.3720407005997921,0.0786803374515535,0.13085721775361356,0.15616821235170655,0.14934729650830314,0.1687595342168682,0.12843119787094737,0.11977728592966776,0.13987897114835648,part_2,part_0,part_1,af2,CV
20,KNN,,0.5152415168727067,0.2316906357365882,0.08412547293382236,0.1456851157159731,0.16400581494540775,0.15264017642943997,0.1185764705882353,0.13375289575289573,0.1207008797653959,part_2,part_1,part_0,af2,CV
21,Ridge,,0.8912757945992322,0.1447910417720238,0.05929365490446847,0.07861489071832799,0.21003561258795295,0.2005623177073575,0.06063005436514897,0.1678184690289848,0.1591453249035305,part_2,part_1,part_0,af2,CV
22,RandomForest,,0.9821853974931937,0.35423970443225666,0.19341925598705373,0.05680810241506061,0.1576411870092929,0.14341981824999703,0.0473433333333335,0.131930501930502,0.11667184750733148,part_2,part_1,part_0,af2,CV
23,MLP,,0.13540977795265474,0.19177027390551352,0.019783172587463742,0.1652302030761091,0.1663628545126892,0.15034441707916085,0.14064307316562644,0.14422751602765482,0.12797665987995285,part_2,part_1,part_0,af2,CV
