index,model,suffix,train_mcc,val_mcc,test_mcc,train_auroc,val_auroc,test_auroc,train_f1,val_f1,test_f1,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.44478673714316375,0.31500024609403837,0.36643252018576783,0.7182919563058588,0.6544117647058824,0.6839073415859788,0.7486486486486487,0.6652173913043479,0.6786516853932584,part_0,part_1,part_2,af2,CV
1,LogReg,,0.8079883197274089,0.479816243233165,0.5733987451161185,0.9015491559086396,0.7396599264705883,0.7881889120398743,0.9121621621621622,0.7434782608695654,0.7865168539325842,part_0,part_1,part_2,af2,CV
2,RandomForest,,1.0,0.47671912243695985,0.4816971034031948,1.0,0.7336856617647058,0.7408485517015975,1.0,0.7434782608695654,0.7325842696629213,part_0,part_1,part_2,af2,CV
3,MLP,,0.0,0.0,0.0,0.5,0.5,0.5,0.6418918918918919,0.5565217391304348,0.44719101123595506,part_0,part_1,part_2,af2,CV
4,KNN,,0.44478673714316375,0.36643252018576783,0.31500024609403837,0.7182919563058588,0.6839073415859788,0.6544117647058824,0.7486486486486487,0.6786516853932584,0.6652173913043479,part_0,part_2,part_1,af2,CV
5,LogReg,,0.8079883197274089,0.5733987451161185,0.479816243233165,0.9015491559086396,0.7881889120398743,0.7396599264705883,0.9121621621621622,0.7865168539325842,0.7434782608695654,part_0,part_2,part_1,af2,CV
6,RandomForest,,1.0,0.5035252445310818,0.4678667569310524,1.0,0.7525636311639498,0.7272901348039216,1.0,0.746067415730337,0.7391304347826085,part_0,part_2,part_1,af2,CV
7,MLP,,0.0,0.0,0.0,0.5,0.5,0.5,0.6418918918918919,0.44719101123595506,0.5565217391304348,part_0,part_2,part_1,af2,CV
8,KNN,,0.41471288847832344,0.3111138778042854,0.5021782197419344,0.7084099264705883,0.6603574975173783,0.7486926502430853,0.7086956521739132,0.668918918918919,0.755056179775281,part_1,part_0,part_2,af2,CV
9,LogReg,,0.8907001690373887,0.4510939648080712,0.44791510853891164,0.9466911764705883,0.7315590863952333,0.7246700984597786,0.9456521739130435,0.7378378378378379,0.7258426966292134,part_1,part_0,part_2,af2,CV
10,RandomForest,,1.0,0.5104789105087154,0.5623646582808709,1.0,0.7572591857000992,0.7799158393593987,1.0,0.772972972972973,0.7842696629213484,part_1,part_0,part_2,af2,CV
11,MLP,,0.0,0.0,0.0,0.5,0.5,0.5,0.5565217391304348,0.6418918918918919,0.44719101123595506,part_1,part_0,part_2,af2,CV
12,KNN,,0.41471288847832344,0.5021782197419344,0.3111138778042854,0.7084099264705883,0.7486926502430853,0.6603574975173783,0.7086956521739132,0.755056179775281,0.668918918918919,part_1,part_2,part_0,af2,CV
13,LogReg,,0.8907001690373887,0.44791510853891164,0.4510939648080712,0.9466911764705883,0.7246700984597786,0.7315590863952333,0.9456521739130435,0.7258426966292134,0.7378378378378379,part_1,part_2,part_0,af2,CV
14,RandomForest,,1.0,0.553233363201874,0.495030225845559,1.0,0.7753707562201251,0.7521747765640515,1.0,0.7797752808988764,0.7621621621621621,part_1,part_2,part_0,af2,CV
15,MLP,,0.0,0.0,0.0,0.5,0.5,0.5,0.4434782608695652,0.5528089887640449,0.3581081081081081,part_1,part_2,part_0,af2,CV
16,KNN,,0.5174222114729313,0.2911974648496922,0.36710459622434033,0.7392041508354783,0.6458391261171798,0.6759727328431373,0.7573033707865168,0.5945945945945946,0.6565217391304348,part_2,part_0,part_1,af2,CV
17,LogReg,,0.9002225762037541,0.44645531692806284,0.5183783400786164,0.948083915512522,0.7282224428997021,0.7607996323529411,0.9505617977528091,0.7378378378378379,0.758695652173913,part_2,part_0,part_1,af2,CV
18,RandomForest,,1.0,0.45021484888864727,0.44946022319841944,1.0,0.7319563058589872,0.7261029411764706,1.0,0.7351351351351352,0.7217391304347827,part_2,part_0,part_1,af2,CV
19,MLP,,0.658716434883766,0.46441954290018855,0.5251050315105037,0.8245189361441353,0.7401191658391262,0.7642463235294117,0.8314606741573034,0.7391891891891891,0.7608695652173914,part_2,part_0,part_1,af2,CV
20,KNN,,0.5174222114729313,0.36710459622434033,0.2911974648496922,0.7392041508354783,0.6759727328431373,0.6458391261171798,0.7573033707865168,0.6565217391304348,0.5945945945945946,part_2,part_1,part_0,af2,CV
21,LogReg,,0.9002225762037541,0.5183783400786164,0.44645531692806284,0.948083915512522,0.7607996323529411,0.7282224428997021,0.9505617977528091,0.758695652173913,0.7378378378378379,part_2,part_1,part_0,af2,CV
22,RandomForest,,1.0,0.49435447559801354,0.44696481445067765,1.0,0.7486213235294118,0.7316981132075471,1.0,0.7434782608695654,0.7283783783783784,part_2,part_1,part_0,af2,CV
23,MLP,,0.658716434883766,0.5251050315105037,0.46441954290018855,0.8245189361441353,0.7642463235294117,0.7401191658391262,0.8314606741573034,0.7608695652173914,0.7391891891891891,part_2,part_1,part_0,af2,CV
