index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.1904608806085666,0.06910255435066168,0.1844449163336897,0.13832044566566998,0.16460782550114747,0.16969462214317144,0.10964222873900295,0.1336633204633205,0.1364470588235294,part_0,part_1,part_2,ct,CV
1,Ridge,,0.22520013595088867,0.012770771604434886,0.010426467113133967,0.13766296418350868,0.16598043456803793,0.17408333961275285,0.10810295635787211,0.13514222649187704,0.13977191917898363,part_0,part_1,part_2,ct,CV
2,RandomForest,,0.976711657956671,0.19804170335481494,0.2718348267127347,0.053197421621310144,0.1611513734177905,0.16639907846417137,0.041350293255132106,0.13150347490347494,0.13493764705882352,part_0,part_1,part_2,ct,CV
3,MLP,,0.5891960084117419,0.11857571597038756,0.14920627731211827,0.10941947579431979,0.18264551485754815,0.19460837474495205,0.08627733157315229,0.14782237304784362,0.15283764465142205,part_0,part_1,part_2,ct,CV
4,KNN,,0.34829274700283114,0.27101728050910234,0.11258897096336763,0.13305104526143827,0.16894905833926832,0.16837321800256874,0.10283284457478006,0.13277254901960783,0.1334942084942085,part_0,part_2,part_1,ct,CV
5,Ridge,,0.2543133141506086,0.04392009909171933,0.06950257485630054,0.1364412516592903,0.17379860810751213,0.16622185585621282,0.10726467980500388,0.13968581151677337,0.13643477362833262,part_0,part_2,part_1,ct,CV
6,RandomForest,,0.976711657956671,0.2718348267127347,0.19804170335481494,0.053197421621310144,0.16639907846417137,0.1611513734177905,0.041350293255132106,0.13493764705882352,0.13150347490347494,part_0,part_2,part_1,ct,CV
7,MLP,,-0.03908780183104163,0.13849782790898532,-0.03923280549388405,0.14847341536243414,0.16998666203816998,0.17008924848105533,0.11850599025178653,0.1374726276874628,0.13619741610362485,part_0,part_2,part_1,ct,CV
8,KNN,,0.3671936124228199,-0.011996379108891399,0.32119757937056537,0.154422108165727,0.14828108680412452,0.16265940645964475,0.12415135135135136,0.1178533724340176,0.12901176470588235,part_1,part_0,part_2,ct,CV
9,Ridge,,0.2507849907934858,-0.02552614688367071,0.11330004974580075,0.16490841305478496,0.14306780891074916,0.17030714505705608,0.13647465665710545,0.1183501929955861,0.1395304209616596,part_1,part_0,part_2,ct,CV
10,RandomForest,,0.9620378428970507,0.10149115582654442,0.4054981345950656,0.07265517526206,0.14489543034043573,0.15769054962275794,0.05796768910197492,0.11625155398934726,0.1258429427070751,part_1,part_0,part_2,ct,CV
11,MLP,,0.04860460306496325,-0.002081156389876291,0.1530628104541586,0.16626651155508432,0.1451529154247443,0.16890738302962874,0.13307396133100013,0.1174191068818513,0.13663442034262083,part_1,part_0,part_2,ct,CV
12,KNN,,0.3671936124228199,0.32119757937056537,-0.011996379108891399,0.154422108165727,0.16265940645964475,0.14828108680412452,0.12415135135135136,0.12901176470588235,0.1178533724340176,part_1,part_2,part_0,ct,CV
13,Ridge,,0.34494869960410796,0.22066580210746323,0.06205197813306714,0.15735578384491827,0.16606153851708833,0.14447562511097892,0.1279112753672325,0.13353086423919558,0.11577141873724466,part_1,part_2,part_0,ct,CV
14,RandomForest,,0.9667121606050504,0.4150907195901361,0.09006571473995938,0.062285529470874554,0.1561420458127414,0.1466453946073002,0.049303474903474975,0.12499254901960785,0.11729354838709677,part_1,part_2,part_0,ct,CV
15,MLP,,-0.02161390898734349,0.14776233975781014,-0.04767387767681407,0.16987225360930475,0.16698931022317845,0.15324068719190134,0.14086143565215048,0.13953204623176005,0.12769944440830527,part_1,part_2,part_0,ct,CV
16,KNN,,0.35304135845977325,0.06835286587377559,0.3006461349708956,0.1583443772412572,0.14940429591000265,0.15973778126817326,0.1339435294117647,0.12444926686217006,0.1348942084942085,part_2,part_0,part_1,ct,CV
17,Ridge,,0.3451550104747778,0.038033522853875804,0.07450618804904463,0.15969912491340874,0.14896317669838838,0.1667730455456881,0.1355116216984338,0.12558912063332872,0.142397495905272,part_2,part_0,part_1,ct,CV
18,RandomForest,,0.9689657162822058,0.1515843948379488,0.32108608440459824,0.07019236370042033,0.1463781012207857,0.1580386567367514,0.05716221816255644,0.12051441310400256,0.13231299359692217,part_2,part_0,part_1,ct,CV
19,MLP,,0.15695409366017823,-0.0019182609017329225,0.044817944893615805,0.16606914751339535,0.14734529033011295,0.1659604086526347,0.138283009684356,0.12243221574915063,0.13716557100143906,part_2,part_0,part_1,ct,CV
20,KNN,,0.4380242269115035,0.37116276319552277,0.10797253612136286,0.15147806415969484,0.1553292306173242,0.15137617007982196,0.12445098039215689,0.12565637065637067,0.1212492668621701,part_2,part_1,part_0,ct,CV
21,Ridge,,0.37117991255663724,0.10613941695559262,0.0427096528146308,0.15781805499398852,0.16658179963991834,0.1491198250033777,0.1335674660978014,0.14181445991350125,0.1249530879343766,part_2,part_1,part_0,ct,CV
22,RandomForest,,0.966339552592934,0.34681041273735186,0.13881360051331113,0.07012537879082213,0.15726826835618055,0.1467964068239271,0.056970788430523715,0.13083895591324166,0.12106048415660585,part_2,part_1,part_0,ct,CV
23,MLP,,0.15695409366017823,0.044817944893615805,-0.0019182609017329225,0.16606914751339535,0.1659604086526347,0.14734529033011295,0.138283009684356,0.13716557100143906,0.12243221574915063,part_2,part_1,part_0,ct,CV
