index,model,suffix,train_mcc,val_mcc,test_mcc,train_auroc,val_auroc,test_auroc,train_f1,val_f1,test_f1,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.49091086610547446,0.3907610394923987,0.35003597026332184,0.7330685203574976,0.6881127450980392,0.6760019610246355,0.772972972972973,0.7021739130434783,0.6741573033707865,part_0,part_1,part_2,ct,CV
1,LogReg,,0.4567614729730006,0.3404109361208729,0.2953850794221039,0.71253227408143,0.6611519607843137,0.6456571475262491,0.7594594594594595,0.6782608695652174,0.6337078651685393,part_0,part_1,part_2,ct,CV
2,RandomForest,,1.0,0.3861737421054792,0.42197321426793954,1.0,0.6866574754901961,0.7116578829104874,1.0,0.7,0.7056179775280899,part_0,part_1,part_2,ct,CV
3,MLP,,0.4971530268362081,0.3771197639736213,0.3284532882678545,0.7399602780536246,0.6827512254901961,0.6640621808228133,0.7743243243243242,0.6956521739130435,0.6561797752808989,part_0,part_1,part_2,ct,CV
4,KNN,,0.49091086610547446,0.35003597026332184,0.3907610394923987,0.7330685203574976,0.6760019610246355,0.6881127450980392,0.772972972972973,0.6741573033707865,0.7021739130434783,part_0,part_2,part_1,ct,CV
5,LogReg,,0.4534037030453459,0.29388740119133205,0.3404109361208729,0.7106454816285999,0.645177105037382,0.6611519607843137,0.7581081081081081,0.6337078651685393,0.6782608695652174,part_0,part_2,part_1,ct,CV
6,RandomForest,,1.0,0.42197321426793954,0.3861737421054792,1.0,0.7116578829104874,0.6866574754901961,1.0,0.7056179775280899,0.7,part_0,part_2,part_1,ct,CV
7,MLP,,0.4971530268362081,0.3284532882678545,0.3771197639736213,0.7399602780536246,0.6640621808228133,0.6827512254901961,0.7743243243243242,0.6561797752808989,0.6956521739130435,part_0,part_2,part_1,ct,CV
8,KNN,,0.5056338975467948,0.42358396392539166,0.4049054900637708,0.75390625,0.7205163853028799,0.6992891285696776,0.7543478260869565,0.7108108108108108,0.7078651685393259,part_1,part_0,part_2,ct,CV
9,LogReg,,0.3984352733888546,0.4085866373821654,0.3369543102790148,0.698031556372549,0.7093147964250248,0.6694243575601585,0.7043478260869566,0.7189189189189189,0.6674157303370787,part_1,part_0,part_2,ct,CV
10,RandomForest,,1.0,0.4373783576540433,0.4440642491354027,1.0,0.7246276067527309,0.7213098010377088,1.0,0.7310810810810812,0.7258426966292134,part_1,part_0,part_2,ct,CV
11,MLP,,0.4227789232046091,0.42391404014543893,0.33248308136822347,0.7112821691176471,0.7183118172790466,0.6670241451158231,0.7152173913043477,0.722972972972973,0.6674157303370787,part_1,part_0,part_2,ct,CV
12,KNN,,0.5056338975467948,0.4049054900637708,0.42358396392539166,0.75390625,0.6992891285696776,0.7205163853028799,0.7543478260869565,0.7078651685393259,0.7108108108108108,part_1,part_2,part_0,ct,CV
13,LogReg,,0.402649818125086,0.34195824936789204,0.4010443307600362,0.699984681372549,0.6719369203742288,0.7075670307845083,0.7065217391304348,0.6696629213483146,0.7081081081081082,part_1,part_2,part_0,ct,CV
14,RandomForest,,1.0,0.47183432087288135,0.4706295571660175,1.0,0.7354250929443968,0.7420456802383317,1.0,0.7393258426966293,0.7459459459459459,part_1,part_2,part_0,ct,CV
15,MLP,,0.4914531538255033,0.3782541168126782,0.3752159197228416,0.7465533088235294,0.6893818686930587,0.6955114200595828,0.7478260869565218,0.6921348314606741,0.6851351351351351,part_1,part_2,part_0,ct,CV
16,KNN,,0.48504943031856534,0.39233986139595783,0.45414747096169633,0.7181435633451811,0.7035551142005958,0.7223881740196079,0.7393258426966293,0.672972972972973,0.7065217391304348,part_2,part_0,part_1,ct,CV
17,LogReg,,0.525703659673205,0.37060047574557836,0.37145824412390105,0.755974996935899,0.6931876861966236,0.6869255514705883,0.7662921348314606,0.6810810810810811,0.6847826086956522,part_2,part_0,part_1,ct,CV
18,RandomForest,,0.9954630259402297,0.4298625644507092,0.43534650751733134,0.9974874371859296,0.723674280039722,0.718328737745098,0.9977528089887641,0.7148648648648649,0.7108695652173913,part_2,part_0,part_1,ct,CV
19,MLP,,0.48299968395839293,0.384551248044706,0.41672743553163977,0.7284491563508602,0.7005163853028797,0.708563112745098,0.7438202247191011,0.6851351351351351,0.7,part_2,part_0,part_1,ct,CV
20,KNN,,0.5540711533158422,0.44442783548495807,0.3763353790546648,0.7691302038648528,0.7236136642156863,0.695948361469712,0.7797752808988764,0.7217391304347827,0.6878378378378378,part_2,part_1,part_0,ct,CV
21,LogReg,,0.525703659673205,0.37145824412390105,0.37060047574557836,0.755974996935899,0.6869255514705883,0.6931876861966236,0.7662921348314606,0.6847826086956522,0.6810810810810811,part_2,part_1,part_0,ct,CV
22,RandomForest,,1.0,0.44786512169838893,0.40726634369464276,1.0,0.7246859681372548,0.7119165839126116,1.0,0.717391304347826,0.7040540540540541,part_2,part_1,part_0,ct,CV
23,MLP,,0.48299968395839293,0.41672743553163977,0.384551248044706,0.7284491563508602,0.708563112745098,0.7005163853028797,0.7438202247191011,0.7,0.6851351351351351,part_2,part_1,part_0,ct,CV
