index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.2652243922751776,0.25689013347152273,0.21968568570685393,0.13622019262857252,0.1602716728307567,0.17047201828924255,0.10594838709677419,0.12558146718146718,0.13575372549019607,part_0,part_1,part_2,esm_1b,CV
1,Ridge,,0.5433472868734561,0.24042877957789807,0.32822810951850884,0.12178752509463832,0.1599010438768545,0.1610683021891264,0.09364900345686893,0.12742164198320793,0.13053993120786853,part_0,part_1,part_2,esm_1b,CV
2,RandomForest,,0.9687288706984927,0.36319507774575815,0.4247934695994264,0.0575622471408364,0.15507837359310983,0.15682956261776343,0.043725108117281926,0.12338691661673803,0.12686121200422676,part_0,part_1,part_2,esm_1b,CV
3,MLP,,0.3571120241882072,0.20174951239868674,0.24977875414565326,0.13259326887418935,0.1625527858501463,0.16636719633907474,0.1032403639903763,0.12788511743589834,0.13272204648946961,part_0,part_1,part_2,esm_1b,CV
4,KNN,,0.5297371691555882,0.32442054669016024,0.23711323204665255,0.1221599355491498,0.1682444067187877,0.16657146830731262,0.09058064516129032,0.13138039215686276,0.127019305019305,part_0,part_2,part_1,esm_1b,CV
5,Ridge,,0.6775179118051047,0.36915463539034143,0.22822916829440829,0.10666993367459872,0.15878157205329976,0.16212212111619695,0.08149973156270457,0.12867027807573383,0.12650290181837304,part_0,part_2,part_1,esm_1b,CV
6,RandomForest,,0.960059681820201,0.4342353515664791,0.3442158314608989,0.05827449718818476,0.15653635037243072,0.155638354560351,0.044407758128967814,0.12659621490818548,0.12389656736335306,part_0,part_2,part_1,esm_1b,CV
7,MLP,,0.4194913071961498,0.2754347987775654,0.13644097503520633,0.12843608106883558,0.164480885138209,0.1650898821248179,0.09871964407664904,0.13203263853766004,0.13240121135430202,part_0,part_2,part_1,esm_1b,CV
8,KNN,,0.44234021688863795,0.17908354502238003,0.20559133132573093,0.15292275487163104,0.1398288203587964,0.16984214493487307,0.12179459459459459,0.11033313782991204,0.13547450980392156,part_1,part_0,part_2,esm_1b,CV
9,Ridge,,0.4783265553137375,0.1817368644188065,0.25897304190685316,0.1565376435378184,0.13969403110317463,0.16668386423394618,0.12819182679678368,0.11191093783128347,0.13573211438822635,part_1,part_0,part_2,esm_1b,CV
10,RandomForest,,0.962781422455837,0.1968053026315036,0.35927620574454827,0.06581156049947738,0.13991345370174674,0.15984678946697042,0.051811312174526475,0.10894132814399675,0.12916660345427994,part_1,part_0,part_2,esm_1b,CV
11,MLP,,0.306246627475603,0.1757421287872999,0.20841712851441271,0.1608960015236095,0.1489489078606209,0.17824767668366917,0.12044107387139122,0.1125585851897822,0.1396914362494157,part_1,part_0,part_2,esm_1b,CV
12,KNN,,0.44234021688863795,0.20559133132573093,0.17908354502238003,0.15292275487163104,0.16984214493487307,0.1398288203587964,0.12179459459459459,0.13547450980392156,0.11033313782991204,part_1,part_2,part_0,esm_1b,CV
13,Ridge,,0.6827549581953568,0.36094746663405464,0.206175577946219,0.13149844097765812,0.15950696951814566,0.14714932901396596,0.10347371474811136,0.12483548602653279,0.1091289901940064,part_1,part_2,part_0,esm_1b,CV
14,RandomForest,,0.9677200760960478,0.37024672854685875,0.2099645633339999,0.06327868014627756,0.1598005117449805,0.14024652535267815,0.049611174842424915,0.12900635220770518,0.10853544348531888,part_1,part_2,part_0,esm_1b,CV
15,MLP,,0.6386132146012506,0.3693211461135758,0.18513859454759973,0.13467883902402497,0.15860139707947493,0.15125304283143906,0.10605885785243431,0.12342436686927882,0.11221833200046619,part_1,part_2,part_0,esm_1b,CV
16,KNN,,0.4459057534293533,0.1716299061260577,0.14368737721386537,0.15198876119441124,0.14149548307350762,0.16682249600621965,0.12612235294117646,0.11243870967741935,0.136219305019305,part_2,part_0,part_1,esm_1b,CV
17,Ridge,,0.5461139065076251,0.18689047799443526,0.2895288719956957,0.14534488357025208,0.1411193716721502,0.16118933199085714,0.12080635043059411,0.11162317097741986,0.13222729722863982,part_2,part_0,part_1,esm_1b,CV
18,RandomForest,,0.9642972623744815,0.23680598531152708,0.27089722842279695,0.06247453450349489,0.14103783034908268,0.16299666046715747,0.05005050365647425,0.11070030064428892,0.13288333383261955,part_2,part_0,part_1,esm_1b,CV
19,MLP,,0.4457459482798018,0.17467361916340038,0.25317432752629604,0.15106525236989204,0.14660519649687725,0.16647903945977802,0.12427740487590823,0.11582194048552304,0.13330800295049283,part_2,part_0,part_1,esm_1b,CV
20,KNN,,0.4459057534293533,0.14368737721386537,0.1716299061260577,0.15198876119441124,0.16682249600621965,0.14149548307350762,0.12612235294117646,0.136219305019305,0.11243870967741935,part_2,part_1,part_0,esm_1b,CV
21,Ridge,,0.6724452302456776,0.34813309979638263,0.17346295446202253,0.13022000517051321,0.15862174784112892,0.14499502097389952,0.10569747412831226,0.1273795972836714,0.11063554047481879,part_2,part_1,part_0,esm_1b,CV
22,RandomForest,,0.9757691272456607,0.2963921251444752,0.2177438398755885,0.05600108918758714,0.16096944471919086,0.14210512279208543,0.04620960784313738,0.1310588803088804,0.11188563049853383,part_2,part_1,part_0,esm_1b,CV
23,MLP,,0.6185091491715803,0.33972187433191403,0.16127425414473734,0.13358494047163083,0.1611496880614727,0.1492900328876379,0.10603918619714273,0.12747469404601378,0.11087670945243812,part_2,part_1,part_0,esm_1b,CV
