index,model,suffix,train_mcc,val_mcc,test_mcc,train_auroc,val_auroc,test_auroc,train_f1,val_f1,test_f1,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.5603106929900905,0.5098613991069199,0.5075840445736882,0.776643495531281,0.7550551470588236,0.7459247456796175,0.8000000000000002,0.7456521739130435,0.7573033707865168,part_0,part_1,part_2,esm_1b,CV
1,LogReg,,0.7696925619325977,0.6203111773373895,0.6040638056809827,0.8828599801390268,0.8116574754901961,0.8015688197082975,0.8945945945945946,0.8108695652173913,0.8044943820224719,part_0,part_1,part_2,esm_1b,CV
2,RandomForest,,1.0,0.5715813770905701,0.5790140461424458,1.0,0.7846583946078431,0.7903337827348124,1.0,0.7891304347826087,0.7910112359550562,part_0,part_1,part_2,esm_1b,CV
3,MLP,,0.7707249255213505,0.594734172630852,0.6128974699888119,0.8853624627606753,0.7989430147058824,0.8056338603587041,0.8945945945945946,0.7978260869565217,0.8089887640449437,part_0,part_1,part_2,esm_1b,CV
4,KNN,,0.6258558997157788,0.48458617583151614,0.46589189604443026,0.8041906653426016,0.7410426114311395,0.7344132965686274,0.8310810810810809,0.746067415730337,0.7304347826086957,part_0,part_2,part_1,esm_1b,CV
5,LogReg,,0.7335488426985424,0.6078716893923263,0.6338050520900801,0.8635551142005958,0.8021612125668998,0.8185125612745099,0.8783783783783784,0.8067415730337079,0.817391304347826,part_0,part_2,part_1,esm_1b,CV
6,RandomForest,,1.0,0.5966095321537351,0.5620873620127843,1.0,0.7989439065244923,0.7787607230392157,1.0,0.8000000000000002,0.7847826086956522,part_0,part_2,part_1,esm_1b,CV
7,MLP,,0.7801236910873117,0.6216460370042013,0.599491039362554,0.8910228401191659,0.8092188585202436,0.8013939950980392,0.8986486486486488,0.8134831460674158,0.8000000000000002,part_0,part_2,part_1,esm_1b,CV
8,KNN,,0.5869521080057974,0.4142735043038005,0.5546293564023217,0.7946537990196079,0.7157894736842105,0.7627773011398457,0.7869565217391304,0.6918918918918919,0.7775280898876404,part_1,part_0,part_2,esm_1b,CV
9,LogReg,,0.7722390983990548,0.5115228788107536,0.538771111006164,0.8885186887254901,0.7650844091360477,0.7659128978224456,0.8847826086956522,0.7594594594594595,0.7730337078651686,part_1,part_0,part_2,esm_1b,CV
10,RandomForest,,1.0,0.4912212057003465,0.5756003094491622,1.0,0.7527507447864946,0.7850533153572741,1.0,0.7554054054054052,0.7910112359550562,part_1,part_0,part_2,esm_1b,CV
11,MLP,,0.8856414503935363,0.5686033105434203,0.5130225560948426,0.9432444852941176,0.7901688182720954,0.7561179883155615,0.9434782608695652,0.7959459459459459,0.7595505617977528,part_1,part_0,part_2,esm_1b,CV
12,KNN,,0.5869521080057974,0.5546293564023217,0.4142735043038005,0.7946537990196079,0.7627773011398457,0.7157894736842105,0.7869565217391304,0.7775280898876404,0.6918918918918919,part_1,part_2,part_0,esm_1b,CV
13,LogReg,,0.6895139170505626,0.53476983933759,0.44753276575140877,0.8469286151960784,0.7610001225640396,0.7323138033763654,0.8434782608695653,0.7707865168539326,0.727027027027027,part_1,part_2,part_0,esm_1b,CV
14,RandomForest,,1.0,0.5756003094491622,0.4912212057003465,1.0,0.7850533153572741,0.7527507447864946,1.0,0.7910112359550562,0.7554054054054052,part_1,part_2,part_0,esm_1b,CV
15,MLP,,0.851023471670915,0.535038035563181,0.5570097117536216,0.928155637254902,0.7605200800751726,0.7896127110228401,0.9239130434782609,0.7707865168539326,0.777027027027027,part_1,part_2,part_0,esm_1b,CV
16,KNN,,0.6352379789216507,0.47744236990245964,0.5644509023731289,0.8148363770069861,0.7452035749751739,0.7837775735294117,0.8202247191011236,0.75,0.782608695652174,part_2,part_0,part_1,esm_1b,CV
17,LogReg,,0.8098064582794148,0.529183401037644,0.5310100721639972,0.9007129141643175,0.7735054617676266,0.7671951593137255,0.9056179775280899,0.7702702702702703,0.7630434782608696,part_2,part_0,part_1,esm_1b,CV
18,RandomForest,,1.0,0.49678152358479555,0.5827626003930372,1.0,0.7517775571002979,0.7930836397058824,1.0,0.7648648648648648,0.791304347826087,part_2,part_0,part_1,esm_1b,CV
19,MLP,,0.787492508193664,0.5126828761690504,0.5263823543255993,0.8948706949381051,0.7531281032770605,0.7606464460784313,0.8943820224719101,0.7783783783783784,0.7673913043478262,part_2,part_0,part_1,esm_1b,CV
20,KNN,,0.5726304095990304,0.5514811793894238,0.4394948540995785,0.7679147771377212,0.7737055759803921,0.72746772591857,0.7842696629213484,0.7608695652173914,0.6918918918918919,part_2,part_1,part_0,esm_1b,CV
21,LogReg,,0.8098064582794148,0.5310100721639972,0.529183401037644,0.9007129141643175,0.7671951593137255,0.7735054617676266,0.9056179775280899,0.7630434782608696,0.7702702702702703,part_2,part_1,part_0,esm_1b,CV
22,RandomForest,,0.9954630259402297,0.6194893223175327,0.5209341367851748,0.9974874371859296,0.8116957720588236,0.7643694141012909,0.9977528089887641,0.808695652173913,0.7756756756756756,part_2,part_1,part_0,esm_1b,CV
23,MLP,,0.7632531500188015,0.5198771270119666,0.50970736252539,0.8799076684234179,0.7612591911764706,0.7605561072492553,0.8831460674157303,0.7608695652173914,0.7675675675675676,part_2,part_1,part_0,esm_1b,CV
