index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.22279084074466227,0.1593955496234237,0.2349587210180912,0.13854595561827784,0.16508224135038393,0.1689017089733483,0.10832023460410556,0.1300880308880309,0.13363607843137254,part_0,part_1,part_2,esm_2,CV
1,Ridge,,0.6482486506608904,0.30413095013431635,0.39060266446225556,0.11025763608882984,0.15856259884808127,0.15817524559143656,0.08419598589172486,0.12694191633929283,0.12738011852335504,part_0,part_1,part_2,esm_2,CV
2,RandomForest,,0.9794459843018302,0.3391677620895014,0.41400936641117175,0.051621693335979484,0.1573495867235912,0.15764893502870944,0.0404806451612905,0.12637007722007726,0.12810215686274506,part_0,part_1,part_2,esm_2,CV
3,MLP,,0.4768061452553376,0.2455668037596607,0.41699823389322793,0.1253575249982715,0.15971641823392957,0.15542581492977617,0.09769905988576341,0.12997309002434515,0.12580081414703775,part_0,part_1,part_2,esm_2,CV
4,KNN,,0.22279084074466227,0.2349587210180912,0.1593955496234237,0.13854595561827784,0.1689017089733483,0.16508224135038393,0.10832023460410556,0.13363607843137254,0.1300880308880309,part_0,part_2,part_1,esm_2,CV
5,Ridge,,0.6482486506608904,0.39060266446225556,0.30413095013431635,0.11025763608882984,0.15817524559143656,0.15856259884808127,0.08419598589172486,0.12738011852335504,0.12694191633929283,part_0,part_2,part_1,esm_2,CV
6,RandomForest,,0.9697919302874729,0.45899042839376025,0.3315463000101464,0.05810225673602399,0.15464128527716958,0.15777883565258521,0.04387339359117591,0.12508666062260176,0.12617272661861947,part_0,part_2,part_1,esm_2,CV
7,MLP,,0.4768061452553376,0.41699823389322793,0.2455668037596607,0.1253575249982715,0.15542581492977617,0.15971641823392957,0.09769905988576341,0.12580081414703775,0.12997309002434515,part_0,part_2,part_1,esm_2,CV
8,KNN,,0.4442993566060619,0.15228207362245383,0.18935460512963073,0.15297712752042883,0.14208861140054846,0.1713990248673842,0.12077837837837836,0.11189442815249266,0.13666666666666663,part_1,part_0,part_2,esm_2,CV
9,Ridge,,0.4621129274250334,0.13088637333333786,0.23571800950801353,0.15624456337854545,0.1408204845463085,0.16784851750741417,0.12831468863579132,0.11310034004652467,0.13646863712999652,part_1,part_0,part_2,esm_2,CV
10,RandomForest,,0.9763790462369336,0.17557267440768048,0.3999791728149401,0.056531712492852514,0.1411946309613673,0.15657893245336446,0.04522818532818553,0.11001466275659824,0.12473901960784313,part_1,part_0,part_2,esm_2,CV
11,MLP,,,,,0.1650270017818587,0.14304484305913845,0.17034250521419983,0.13658463264356577,0.11831723906473597,0.139567245808351,part_1,part_0,part_2,esm_2,CV
12,KNN,,0.5606382100227325,0.24776631116955106,0.12047501757256966,0.14472990421383264,0.17039787350233468,0.14956491151536258,0.11148648648648649,0.13143529411764704,0.11399706744868036,part_1,part_2,part_0,esm_2,CV
13,Ridge,,0.7130178169670782,0.32988271933569174,0.20491419764211996,0.1268666208179531,0.1620570996271553,0.14764020696917993,0.10079853215575679,0.12763737094108218,0.11169234241538879,part_1,part_2,part_0,esm_2,CV
14,RandomForest,,0.9728309714277699,0.40652873084820484,0.16663356866574122,0.05820210294864598,0.15620021051428157,0.1421449815404191,0.045900386100386104,0.12397843137254902,0.11084164222873899,part_1,part_2,part_0,esm_2,CV
15,MLP,,0.6072139091897298,0.3999102519112215,0.17168427501016714,0.13940285051462134,0.15593308292170552,0.14586636424245164,0.11343385670280685,0.1261120202361465,0.11366253164591343,part_1,part_2,part_0,esm_2,CV
16,KNN,,0.4356250709348611,0.13735845343636177,0.17976054701540375,0.1534254604737057,0.1438822555439362,0.1637571174438336,0.12717176470588235,0.11570909090909091,0.1366254826254826,part_2,part_0,part_1,esm_2,CV
17,Ridge,,0.5918323214102752,0.19437080231102635,0.3101010094357619,0.1423428351568221,0.14006278862815025,0.15950494765260578,0.11818431516948893,0.11074430241134513,0.13175969062377438,part_2,part_0,part_1,esm_2,CV
18,RandomForest,,0.9698029756362081,0.22879397981058702,0.3591568740731113,0.0621772255659231,0.14055679386965253,0.15697545349818467,0.05052886100555221,0.11074059598433501,0.12832451389879965,part_2,part_0,part_1,esm_2,CV
19,MLP,,0.5865807179913977,0.20455131615041028,0.3129671769265299,0.13928135038873798,0.14066752410636216,0.1599438828897901,0.1141894566884283,0.1086769016731078,0.1309667176300294,part_2,part_0,part_1,esm_2,CV
20,KNN,,0.4356250709348611,0.17976054701540375,0.13735845343636177,0.1534254604737057,0.1637571174438336,0.1438822555439362,0.12717176470588235,0.1366254826254826,0.11570909090909091,part_2,part_1,part_0,esm_2,CV
21,Ridge,,0.7040493274953865,0.3610783638158673,0.19002137166571131,0.12558233718704245,0.15789861144375897,0.14387480320308266,0.10224413703340945,0.12695225897488335,0.10981686481161004,part_2,part_1,part_0,esm_2,CV
22,RandomForest,,0.9753756551670614,0.35864192422991636,0.20405139745660764,0.055386801535327344,0.15694558675149867,0.14201858893858077,0.04558392156862757,0.12838764478764483,0.11144838709677428,part_2,part_1,part_0,esm_2,CV
23,MLP,,0.6349314502404826,0.35630936517721984,0.1743759867008633,0.13380152843278414,0.1579758702927997,0.14263764351416605,0.11017469365413074,0.12742866075599174,0.10919931127819694,part_2,part_1,part_0,esm_2,CV
