index,model,suffix,train_mcc,val_mcc,test_mcc,train_auroc,val_auroc,test_auroc,train_f1,val_f1,test_f1,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.5668647604257767,0.4843223725965716,0.4741916303310287,0.7804170804369414,0.7428002450980392,0.7316971034031948,0.8027027027027027,0.7347826086956522,0.7415730337078652,part_0,part_1,part_2,esm_2,CV
1,LogReg,,0.7603758250197079,0.6122577262697319,0.6794093936120723,0.8771996027805363,0.8077512254901961,0.8312088899783471,0.8905405405405405,0.8065217391304348,0.8404494382022472,part_0,part_1,part_2,esm_2,CV
2,RandomForest,,1.0,0.6050210080386195,0.6540176378259679,1.0,0.8033088235294117,0.8263267557298688,1.0,0.8043478260869565,0.8292134831460675,part_0,part_1,part_2,esm_2,CV
3,MLP,,0.7947196760737157,0.6333095523014315,0.6541121781659242,0.9064746772591857,0.8185891544117647,0.8156534706050579,0.9013513513513515,0.8130434782608695,0.8269662921348313,part_0,part_1,part_2,esm_2,CV
4,KNN,,0.5668647604257767,0.4741916303310287,0.4843223725965716,0.7804170804369414,0.7316971034031948,0.7428002450980392,0.8027027027027027,0.7415730337078652,0.7347826086956522,part_0,part_2,part_1,esm_2,CV
5,LogReg,,0.7603758250197079,0.6794093936120723,0.6122577262697319,0.8771996027805363,0.8312088899783471,0.8077512254901961,0.8905405405405405,0.8404494382022472,0.8065217391304348,part_0,part_2,part_1,esm_2,CV
6,RandomForest,,1.0,0.6766982860232708,0.610878962194544,1.0,0.8374494423336193,0.8067555147058824,1.0,0.8404494382022472,0.8065217391304348,part_0,part_2,part_1,esm_2,CV
7,MLP,,0.7947196760737157,0.6541121781659242,0.6333095523014315,0.9064746772591857,0.8156534706050579,0.8185891544117647,0.9013513513513515,0.8269662921348313,0.8130434782608695,part_0,part_2,part_1,esm_2,CV
8,KNN,,0.5844770249510178,0.4250617016261576,0.5482086968466438,0.7940793504901961,0.7213505461767626,0.7690178534951179,0.791304347826087,0.7108108108108108,0.7775280898876404,part_1,part_0,part_2,esm_2,CV
9,LogReg,,0.7659316900623228,0.496690292449441,0.6416271586074906,0.8850719975490196,0.7573187686196624,0.8135085999101197,0.8826086956521739,0.7527027027027028,0.8224719101123595,part_1,part_0,part_2,esm_2,CV
10,RandomForest,,1.0,0.5083560857374773,0.6489910344925945,1.0,0.7609533267130089,0.8223740654491971,1.0,0.7648648648648648,0.8269662921348313,part_1,part_0,part_2,esm_2,CV
11,MLP,,0.9515881668016537,0.5232298124720783,0.6031572741940835,0.9760263480392157,0.7687189672293943,0.7982085222862279,0.9760869565217392,0.7716216216216216,0.8044943820224719,part_1,part_0,part_2,esm_2,CV
12,KNN,,0.5844770249510178,0.5482086968466438,0.4250617016261576,0.7940793504901961,0.7690178534951179,0.7213505461767626,0.791304347826087,0.7775280898876404,0.7108108108108108,part_1,part_2,part_0,esm_2,CV
13,LogReg,,0.7659316900623228,0.6416271586074906,0.496690292449441,0.8850719975490196,0.8135085999101197,0.7573187686196624,0.8826086956521739,0.8224719101123595,0.7527027027027028,part_1,part_2,part_0,esm_2,CV
14,RandomForest,,1.0,0.6489910344925945,0.5083560857374773,1.0,0.8223740654491971,0.7609533267130089,1.0,0.8269662921348313,0.7648648648648648,part_1,part_2,part_0,esm_2,CV
15,MLP,,0.9515881668016537,0.6031572741940835,0.5232298124720783,0.9760263480392157,0.7982085222862279,0.7687189672293943,0.9760869565217392,0.8044943820224719,0.7716216216216216,part_1,part_2,part_0,esm_2,CV
16,KNN,,0.6077196368739085,0.43575178792044617,0.5245564070932832,0.7924480124198225,0.727149950347567,0.7628676470588236,0.8044943820224719,0.7054054054054054,0.7543478260869565,part_2,part_0,part_1,esm_2,CV
17,LogReg,,0.7509736386489994,0.5224111031504206,0.5764823585896629,0.8699697675368714,0.7645878848063555,0.7896369485294117,0.8764044943820225,0.777027027027027,0.7891304347826087,part_2,part_0,part_1,esm_2,CV
18,RandomForest,,1.0,0.5672707018782291,0.5932300992926465,1.0,0.7878848063555114,0.7984834558823529,1.0,0.7972972972972974,0.7956521739130434,part_2,part_0,part_1,esm_2,CV
19,MLP,,0.9458790515987383,0.5352097740555737,0.5642159927054052,0.9708093312088899,0.765501489572989,0.7822457107843137,0.9730337078651685,0.7878378378378377,0.7847826086956522,part_2,part_0,part_1,esm_2,CV
20,KNN,,0.6077196368739085,0.5245564070932832,0.43575178792044617,0.7924480124198225,0.7628676470588236,0.727149950347567,0.8044943820224719,0.7543478260869565,0.7054054054054054,part_2,part_1,part_0,esm_2,CV
21,LogReg,,0.7509736386489994,0.5764823585896629,0.5224111031504206,0.8699697675368714,0.7896369485294117,0.7645878848063555,0.8764044943820225,0.7891304347826087,0.777027027027027,part_2,part_1,part_0,esm_2,CV
22,RandomForest,,1.0,0.5932300992926465,0.5672707018782291,1.0,0.7984834558823529,0.7878848063555114,1.0,0.7956521739130434,0.7972972972972974,part_2,part_1,part_0,esm_2,CV
23,MLP,,0.9458790515987383,0.5642159927054052,0.5352097740555737,0.9708093312088899,0.7822457107843137,0.765501489572989,0.9730337078651685,0.7847826086956522,0.7878378378378377,part_2,part_1,part_0,esm_2,CV
