index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.3957310199120861,0.23579398234844517,0.25310394787291735,0.12965843917940661,0.16173886193323936,0.16892213080147256,0.09971554252199413,0.12878764478764476,0.13251372549019608,part_0,part_1,part_2,esm_if1,CV
1,Ridge,,0.5277880427383047,0.23651427547869236,0.28609727674189234,0.12327441423818325,0.16175202272128184,0.16449433907669092,0.09614637853387581,0.13229185496901483,0.13253918579067211,part_0,part_1,part_2,esm_if1,CV
2,RandomForest,,0.9770666671757195,0.3221216364202501,0.3757662650291407,0.05140378614659905,0.15715399516073617,0.15896282343772739,0.04032008797653971,0.12778320463320464,0.12985098039215684,part_0,part_1,part_2,esm_if1,CV
3,MLP,,0.3780166928501747,0.1300379672267165,0.15677093186462052,0.13080626491004013,0.16586852739527702,0.17177749366233522,0.10123536090444701,0.13431434461095626,0.1378861497894679,part_0,part_1,part_2,esm_if1,CV
4,KNN,,0.24368502567296416,0.1955149405794871,0.11922018022705856,0.1368926938107667,0.1685096489935267,0.16441886616846485,0.1081841642228739,0.13714980392156859,0.13284169884169883,part_0,part_2,part_1,esm_if1,CV
5,Ridge,,0.5277880427383047,0.28609727674189234,0.23651427547869236,0.12327441423818325,0.16449433907669092,0.16175202272128184,0.09614637853387581,0.13253918579067211,0.13229185496901483,part_0,part_2,part_1,esm_if1,CV
6,RandomForest,,0.9725164935775439,0.3995761445252534,0.29378683245244497,0.0596162197708014,0.1588694885260546,0.1582264608861262,0.04609485975494046,0.12896289110617054,0.12884511117207545,part_0,part_2,part_1,esm_if1,CV
7,MLP,,0.3780166928501747,0.15677093186462052,0.1300379672267165,0.13080626491004013,0.17177749366233522,0.16586852739527702,0.10123536090444701,0.1378861497894679,0.13431434461095626,part_0,part_2,part_1,esm_if1,CV
8,KNN,,0.3806778818698455,0.11108112675751745,0.3038882577265486,0.1558465218680814,0.14258792996344746,0.16494173611831997,0.12446949806949807,0.11167976539589443,0.1322164705882353,part_1,part_0,part_2,esm_if1,CV
9,Ridge,,0.5180417200381354,0.19790015409084638,0.3199282739249438,0.15441740649415223,0.1393332051724662,0.1643962775154823,0.1256936137469856,0.11196107775371292,0.13243822020576249,part_1,part_0,part_2,esm_if1,CV
10,RandomForest,,0.9631843098933579,0.22531670614221805,0.3732102574405967,0.06737211653735849,0.13898168067009675,0.1571521804709466,0.052750977430441784,0.11074221767032254,0.12631735163420457,part_1,part_0,part_2,esm_if1,CV
11,MLP,,0.6929981812530807,0.18598017077305418,0.24901316679860847,0.12452693985631476,0.1485470743475675,0.16958021089891503,0.102392418457626,0.11706638616252875,0.13532847158001188,part_1,part_0,part_2,esm_if1,CV
12,KNN,,0.5503334624216109,0.36510892082186824,0.14434232793466495,0.14124072388989684,0.1621104924571691,0.14718634826086793,0.10802316602316601,0.1239921568627451,0.11179178885630499,part_1,part_2,part_0,esm_if1,CV
13,Ridge,,0.6312240655005786,0.3121323142590791,0.2047366173376663,0.13901875598645178,0.16110647086879903,0.13962390552507584,0.11215417999958247,0.1278401861031137,0.10987231346903208,part_1,part_2,part_0,esm_if1,CV
14,RandomForest,,0.9720730571748538,0.39309453363344055,0.211560909707381,0.058921082535723084,0.1564574807240286,0.13965054834297166,0.0468330115830118,0.12543529411764706,0.11073944281524928,part_1,part_2,part_0,esm_if1,CV
15,MLP,,0.7052890123337449,0.2646586591456393,0.1900652747247834,0.12498022838405418,0.1679369813204957,0.14993214303374602,0.10482634294740517,0.13572991968727952,0.12022474180073432,part_1,part_2,part_0,esm_if1,CV
16,KNN,,0.408226556939431,0.1345652987318437,0.1396712956819819,0.15423793180616477,0.14348186352738215,0.1667123442168747,0.1300047058823529,0.11660293255131965,0.13994440154440155,part_2,part_0,part_1,esm_if1,CV
17,Ridge,,0.5518726436727011,0.16351754907346264,0.20721544410892906,0.1504933263658325,0.14253321832644852,0.1628566828169726,0.12811116491672342,0.1169924813576332,0.13688293411844826,part_2,part_0,part_1,esm_if1,CV
18,RandomForest,,0.981170228335616,0.23511174128273532,0.33929457147254893,0.05589767445792298,0.14070539515529057,0.15759822762756998,0.04668921568627462,0.11345747800586517,0.13012857142857148,part_2,part_0,part_1,esm_if1,CV
19,MLP,,0.6340970867251453,0.21150949684376114,0.17831777252901287,0.13460514179999689,0.14979102201114147,0.1727641792009313,0.11264751187798634,0.11701394290266422,0.1405365790924996,part_2,part_0,part_1,esm_if1,CV
20,KNN,,0.408226556939431,0.1396712956819819,0.1345652987318437,0.15423793180616477,0.1667123442168747,0.14348186352738215,0.1300047058823529,0.13994440154440155,0.11660293255131965,part_2,part_1,part_0,esm_if1,CV
21,Ridge,,0.5518726436727011,0.20721544410892906,0.16351754907346264,0.1504933263658325,0.1628566828169726,0.14253321832644852,0.12811116491672342,0.13688293411844826,0.1169924813576332,part_2,part_1,part_0,esm_if1,CV
22,RandomForest,,0.9701816065416495,0.34514081402543006,0.20140013623804576,0.06265270827456584,0.1563227784843267,0.14208939875763654,0.05076883896060364,0.1293448654745083,0.11425157505332724,part_2,part_1,part_0,esm_if1,CV
23,MLP,,0.22624572123497885,0.09762556921930271,0.09549611741532008,0.1623843137977128,0.17213603452203174,0.15316602623051515,0.13782744397894925,0.14637592361128388,0.1246857172661425,part_2,part_1,part_0,esm_if1,CV
