index,model,suffix,train_mcc,val_mcc,test_mcc,train_auroc,val_auroc,test_auroc,train_f1,val_f1,test_f1,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.5266518784900933,0.43663034498860476,0.47629927563411545,0.7706057596822244,0.7126225490196079,0.7131184377170405,0.772972972972973,0.6956521739130435,0.7348314606741573,part_0,part_1,part_2,esm_if1,CV
1,LogReg,,0.6674732808374306,0.4880930534388366,0.5157277254421825,0.8295531281032771,0.7450980392156863,0.7543101687298281,0.8486486486486488,0.7456521739130435,0.7617977528089888,part_0,part_1,part_2,esm_if1,CV
2,RandomForest,,1.0,0.4948448758799474,0.5610965279307608,1.0,0.7439874387254901,0.7820913510642645,1.0,0.7521739130434782,0.7797752808988764,part_0,part_1,part_2,esm_if1,CV
3,MLP,,0.7065593396741068,0.45933049140485394,0.5387820699889626,0.853862959285005,0.7309283088235294,0.7654328553335785,0.8648648648648649,0.7304347826086957,0.7730337078651686,part_0,part_1,part_2,esm_if1,CV
4,KNN,,0.5266518784900933,0.47629927563411545,0.43663034498860476,0.7706057596822244,0.7131184377170405,0.7126225490196079,0.772972972972973,0.7348314606741573,0.6956521739130435,part_0,part_2,part_1,esm_if1,CV
5,LogReg,,0.723631503963444,0.520353525448626,0.47685055989956643,0.8562264150943397,0.7558626465661641,0.7397365196078431,0.8743243243243243,0.7640449438202248,0.7391304347826085,part_0,part_2,part_1,esm_if1,CV
6,RandomForest,,1.0,0.5783277506721851,0.48674174892800964,1.0,0.7907014748539446,0.7415747549019608,1.0,0.7887640449438202,0.7478260869565218,part_0,part_2,part_1,esm_if1,CV
7,MLP,,0.7065593396741068,0.5387820699889626,0.45933049140485394,0.853862959285005,0.7654328553335785,0.7309283088235294,0.8648648648648649,0.7730337078651686,0.7304347826086957,part_0,part_2,part_1,esm_if1,CV
8,KNN,,0.47944013285147297,0.3702732304250582,0.5599267973913452,0.7412300857843137,0.6889572989076465,0.7702026392123218,0.7391304347826085,0.6445945945945946,0.7820224719101123,part_1,part_0,part_2,esm_if1,CV
9,LogReg,,0.6595737421732903,0.4427578345693344,0.5206844343591135,0.8318014705882353,0.7307050645481629,0.7471095313968217,0.8260869565217391,0.7067567567567568,0.7617977528089888,part_1,part_0,part_2,esm_if1,CV
10,RandomForest,,1.0,0.48543003270188634,0.5768526839250396,1.0,0.7530287984111221,0.7812129754463373,1.0,0.7364864864864865,0.7910112359550562,part_1,part_0,part_2,esm_if1,CV
11,MLP,,0.809731861299104,0.41676867512252136,0.43768514465013686,0.9070925245098039,0.7171400198609732,0.7163970257793031,0.9043478260869565,0.7054054054054054,0.7235955056179774,part_1,part_0,part_2,esm_if1,CV
12,KNN,,0.47944013285147297,0.5599267973913452,0.3702732304250582,0.7412300857843137,0.7702026392123218,0.6889572989076465,0.7391304347826085,0.7820224719101123,0.6445945945945946,part_1,part_2,part_0,esm_if1,CV
13,LogReg,,0.7372238213893392,0.5024812502469057,0.4341770097017049,0.8709022671568627,0.7443722678432816,0.7263555114200596,0.8673913043478261,0.755056179775281,0.7108108108108108,part_1,part_2,part_0,esm_if1,CV
14,RandomForest,,1.0,0.5807405070891435,0.48804923983597914,1.0,0.7846856232381418,0.7544786494538233,1.0,0.7932584269662921,0.7351351351351352,part_1,part_2,part_0,esm_if1,CV
15,MLP,,0.809731861299104,0.43768514465013686,0.41676867512252136,0.9070925245098039,0.7163970257793031,0.7171400198609732,0.9043478260869565,0.7235955056179774,0.7054054054054054,part_1,part_2,part_0,esm_if1,CV
16,KNN,,0.5222498481074705,0.39847998027427006,0.47161787721115966,0.7461494464190874,0.6878848063555114,0.7340686274509804,0.7617977528089888,0.6121621621621621,0.7217391304347827,part_2,part_0,part_1,esm_if1,CV
17,LogReg,,0.7450249995158315,0.5128292090925908,0.5144043196007739,0.8703374596560036,0.7659185700099306,0.7583103553921569,0.8741573033707867,0.7594594594594595,0.758695652173913,part_2,part_0,part_1,esm_if1,CV
18,RandomForest,,1.0,0.4849278973066341,0.5698746582196145,1.0,0.7522343594836147,0.7867647058823529,1.0,0.7418918918918919,0.782608695652174,part_2,part_0,part_1,esm_if1,CV
19,MLP,,0.7319763144544172,0.50970736252539,0.4751691265677994,0.8661600686358623,0.7605561072492553,0.7372089460784315,0.8674157303370787,0.7675675675675676,0.741304347826087,part_2,part_0,part_1,esm_if1,CV
20,KNN,,0.5222498481074705,0.47161787721115966,0.39847998027427006,0.7461494464190874,0.7340686274509804,0.6878848063555114,0.7617977528089888,0.7217391304347827,0.6121621621621621,part_2,part_1,part_0,esm_if1,CV
21,LogReg,,0.6997968890334758,0.5039491558083262,0.5117827539483625,0.8456918740041671,0.7534466911764706,0.7660973187686198,0.851685393258427,0.7521739130434782,0.7554054054054052,part_2,part_1,part_0,esm_if1,CV
22,RandomForest,,1.0,0.5669708762677603,0.5061293842227051,1.0,0.7852711397058824,0.7631578947368423,1.0,0.782608695652174,0.7527027027027028,part_2,part_1,part_0,esm_if1,CV
23,MLP,,0.7268909646072025,0.47565502561736606,0.5060595215084713,0.8626874208440576,0.7377068014705882,0.7599006951340614,0.8651685393258428,0.741304347826087,0.7635135135135135,part_2,part_1,part_0,esm_if1,CV
