index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,0,0.41701515295779007,0.2112592391938689,0.4021224370959207,0.12899468037862027,0.16327760192253957,0.15878503164501936,0.09850146627565982,0.1293204633204633,0.12590196078431373,part_0,part_1,part_2,eve,CV
1,Ridge,0,0.43388272995998334,0.37390545673446673,0.3815553405133016,0.12408326783710506,0.16000648072584553,0.16357569219829066,0.09701266684191064,0.12235481949740139,0.129647847628234,part_0,part_1,part_2,eve,CV
2,RandomForest,0,0.9392117843553095,0.3481821649903174,0.3425255889670079,0.0626255937657,0.15525341826739855,0.16097681010704742,0.047187209749764814,0.12209815887940888,0.12911661033574268,part_0,part_1,part_2,eve,CV
3,MLP,0,0.15017132189526275,0.21842338562768054,0.16056954823336192,0.16212315724681767,0.24549746263318434,0.23008766360432173,0.12335743350371044,0.18388648848033648,0.17588691836504533,part_0,part_1,part_2,eve,CV
4,KNN,0,0.583898411159374,0.3833510338433955,0.29072636438589305,0.11428482194875764,0.15829612359466685,0.16364048549857244,0.08696774193548387,0.12454901960784315,0.12697297297297297,part_0,part_2,part_1,eve,CV
5,Ridge,0,0.40604455715166066,0.3814872883046754,0.30906891271545756,0.12741871157513673,0.15999704719975713,0.16061025068867768,0.09983814904524972,0.12810092740596316,0.12416817445897667,part_0,part_2,part_1,eve,CV
6,RandomForest,0,0.9609870960956343,0.361576653003603,0.32548813067733906,0.05097902564504818,0.15914340995269813,0.15601908506165169,0.039214662756598434,0.1278041176470588,0.12329305019305019,part_0,part_2,part_1,eve,CV
7,MLP,0,0.3170153603376606,0.39332692468630237,0.20505761216440266,0.142390087002484,0.1890247818350224,0.26344512934860836,0.1095319479252703,0.1400523541818625,0.18898350848926446,part_0,part_2,part_1,eve,CV
8,KNN,0,0.34785930258897957,0.11467050667636713,0.3610734237153197,0.156880810080228,0.14674039558013555,0.15766172176468174,0.12875212355212354,0.12016891495601174,0.13103686274509804,part_1,part_0,part_2,eve,CV
9,Ridge,0,0.3912299620773985,0.12573503060559213,0.34218713782304244,0.1547349582852563,0.14122704887698584,0.1611307679365336,0.12482963886583828,0.11343691032684457,0.13014894673043242,part_1,part_0,part_2,eve,CV
