index,model,suffix,train_mcc,val_mcc,test_mcc,train_auroc,val_auroc,test_auroc,train_f1,val_f1,test_f1,train_id,val_id,test_id,embedding,strategy
0,KNN,0,0.5398847077442008,0.3998549542151568,0.501062255449033,0.7549155908639523,0.6930147058823529,0.7516035461862157,0.7945945945945945,0.7065217391304348,0.746067415730337,part_0,part_1,part_2,eve,CV
1,LogReg,0,0.4564375022272639,0.40151706400149206,0.4780354209447309,0.6994041708043693,0.6984911151960784,0.7402255178330678,0.7608108108108107,0.7065217391304348,0.7393258426966293,part_0,part_1,part_2,eve,CV
2,RandomForest,0,1.0,0.5207137414689239,0.6052025069292267,1.0,0.7607230392156863,0.8030089471748988,1.0,0.7630434782608696,0.8044943820224719,part_0,part_1,part_2,eve,CV
3,MLP,0,0.7011216010817779,0.5350178526800677,0.6043941049956971,0.8478053624627607,0.7691099877450981,0.8020488621971646,0.8635135135135135,0.7673913043478262,0.8044943820224719,part_0,part_1,part_2,eve,CV
4,KNN,0,0.5398847077442008,0.501062255449033,0.3998549542151568,0.7549155908639523,0.7516035461862157,0.6930147058823529,0.7945945945945945,0.746067415730337,0.7065217391304348,part_0,part_2,part_1,eve,CV
5,LogReg,0,0.5289584134980937,0.5251918862228149,0.3969416448002071,0.743416087388282,0.7602953793357028,0.6985677083333333,0.7905405405405406,0.7662921348314606,0.7021739130434783,part_0,part_2,part_1,eve,CV
6,RandomForest,0,1.0,0.6213139423133135,0.48611644893944844,1.0,0.8119867630837112,0.7436044730392157,1.0,0.8112359550561797,0.7456521739130435,part_0,part_2,part_1,eve,CV
7,MLP,0,0.6468966666424879,0.6077890843830307,0.45664379717057485,0.8140615690168819,0.800241042611431,0.7290900735294118,0.8405405405405405,0.8067415730337079,0.7217391304347827,part_0,part_2,part_1,eve,CV
8,KNN,0,0.6119928134114678,0.3874086199839,0.4880761525490818,0.807827818627451,0.7014299900695135,0.7406749193120072,0.8021739130434783,0.6959459459459459,0.748314606741573,part_1,part_0,part_2,eve,CV
9,LogReg,0,0.4533642451642226,0.41113990214440793,0.4214950218854351,0.7264476102941176,0.7052234359483613,0.7101871144339584,0.7304347826086957,0.7297297297297297,0.7146067415730337,part_1,part_0,part_2,eve,CV
10,RandomForest,0,0.9868038189922217,0.46021352936720356,0.5670502960454703,0.9936427696078431,0.7394240317775571,0.782428402173469,0.9934782608695653,0.7297297297297297,0.7865168539325842,part_1,part_0,part_2,eve,CV
