index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.5447417913743078,0.30493416175104937,0.29710622204355047,0.11891784788438843,0.16258457852374922,0.17660977256286212,0.08856891495601174,0.12252509652509652,0.13456470588235295,part_0,part_1,part_2,onehot,CV
1,Ridge,,0.8025753214023977,0.3316575605203365,0.37021849411987556,0.08870116020918051,0.15782819734152073,0.16085156217850782,0.06797967358982006,0.12320219349810989,0.12752969262587172,part_0,part_1,part_2,onehot,CV
2,RandomForest,,0.9755214289985031,0.3620842628142879,0.38780879328606926,0.05119795519193892,0.15757632501309707,0.16359956859092634,0.03931143695014685,0.12344131274131273,0.1283996078431372,part_0,part_1,part_2,onehot,CV
3,MLP,,0.9073007665655023,0.3451613858828861,0.3439242573380467,0.07149752287133289,0.15843998808575677,0.16688872040339203,0.04465189904838379,0.11947784503178989,0.13046565107169433,part_0,part_1,part_2,onehot,CV
4,KNN,,0.3903319223121441,0.3326317481794334,0.2007322429821955,0.13240972136082169,0.1704719860833905,0.16558104082617997,0.09865689149560118,0.13055686274509803,0.12713513513513514,part_0,part_2,part_1,onehot,CV
5,Ridge,,0.8025753214023977,0.37021849411987556,0.3316575605203365,0.08870116020918051,0.16085156217850782,0.15782819734152073,0.06797967358982006,0.12752969262587172,0.12320219349810989,part_0,part_2,part_1,onehot,CV
6,RandomForest,,0.9726542562444495,0.3934477873326433,0.34739954059410405,0.05185260890112836,0.16303306316902264,0.15874390767502927,0.03914809384164222,0.1282423529411765,0.12389999999999997,part_0,part_2,part_1,onehot,CV
7,MLP,,0.9076615219307772,0.34595417161475434,0.3461471794026631,0.07140761372994957,0.1667496174763743,0.15844464218228485,0.04456317155270677,0.1304109776215393,0.11940656294017897,part_0,part_2,part_1,onehot,CV
8,KNN,,0.4046683999577957,0.06328409539156553,0.2809824289713241,0.1557851267428496,0.1444307535833181,0.16672128109100964,0.12353204633204633,0.11212903225806453,0.1321129411764706,part_1,part_0,part_2,onehot,CV
9,Ridge,,0.815045086929587,0.1717395323086544,0.404588841254273,0.11176488861956607,0.14143868245879448,0.15662283210650157,0.08833388550529701,0.10965384443815901,0.12319210462700358,part_1,part_0,part_2,onehot,CV
10,RandomForest,,0.8811808219992637,0.1927189875609034,0.37719999916122443,0.10571101783539989,0.13842233965416792,0.15853159655483276,0.08393539178753469,0.10936773773676634,0.12456844334478161,part_1,part_0,part_2,onehot,CV
11,MLP,,0.9427501050392428,0.0882330286077224,0.3970652519790467,0.07297311667597628,0.15618827508104832,0.17094053525621747,0.0447985070762022,0.11878606686358953,0.12695682869957126,part_1,part_0,part_2,onehot,CV
12,KNN,,0.5396939615504099,0.32961334103778367,0.17342332583789094,0.1445865761136835,0.1653374564634521,0.14701947922886704,0.11248262548262547,0.1294627450980392,0.10930205278592373,part_1,part_2,part_0,onehot,CV
13,Ridge,,0.815045086929587,0.404588841254273,0.1717395323086544,0.11176488861956607,0.15662283210650157,0.14143868245879448,0.08833388550529701,0.12319210462700358,0.10965384443815901,part_1,part_2,part_0,onehot,CV
14,RandomForest,,0.879762077729572,0.36931245859758094,0.1819419976775744,0.10211352974503532,0.1584737308987813,0.13925438231476384,0.0806814943368515,0.12444514909056084,0.10984615690028444,part_1,part_2,part_0,onehot,CV
15,MLP,,0.9427501050392428,0.3970652519790467,0.0882330286077224,0.07297311667597628,0.17094053525621747,0.15618827508104832,0.0447985070762022,0.12695682869957126,0.11878606686358953,part_1,part_2,part_0,onehot,CV
16,KNN,,0.39378571196617285,0.10141619046059756,0.28232041939965097,0.15554237957269798,0.14538605014826084,0.15901422971220294,0.12900392156862742,0.11352492668621701,0.13181776061776063,part_2,part_0,part_1,onehot,CV
17,Ridge,,0.8135815291582609,0.140526879546135,0.3666759422788501,0.11187331952529392,0.14745337963459507,0.1587876227607316,0.09009625640826359,0.11752168847231244,0.12814412851214246,part_2,part_0,part_1,onehot,CV
18,RandomForest,,0.8754297654246538,0.208199206189725,0.367981698390678,0.10404627778688784,0.14250990576428244,0.15705883052149697,0.08454919013339604,0.11553559901161077,0.1291771254742683,part_2,part_0,part_1,onehot,CV
19,MLP,,0.9724175054553122,0.16177353789928828,0.27366457446662595,0.043556157627873605,0.1659615411832831,0.1837890882099566,0.023486991974777723,0.1281214917431702,0.14299557761840842,part_2,part_0,part_1,onehot,CV
20,KNN,,0.39378571196617285,0.28232041939965097,0.10141619046059756,0.15554237957269798,0.15901422971220294,0.14538605014826084,0.12900392156862742,0.13181776061776063,0.11352492668621701,part_2,part_1,part_0,onehot,CV
21,Ridge,,0.8135815291582609,0.3666759422788501,0.140526879546135,0.11187331952529392,0.1587876227607316,0.14745337963459507,0.09009625640826359,0.12814412851214246,0.11752168847231244,part_2,part_1,part_0,onehot,CV
22,RandomForest,,0.9721855167104883,0.39957888845797157,0.20569014848061962,0.05641093344170714,0.15589167620634756,0.14324363235810408,0.044492549019607905,0.12570231660231665,0.11358973607038123,part_2,part_1,part_0,onehot,CV
23,MLP,,0.9724175054553122,0.27366457446662595,0.16177353789928828,0.043556157627873605,0.1837890882099566,0.1659615411832831,0.023486991974777723,0.14299557761840842,0.1281214917431702,part_2,part_1,part_0,onehot,CV
