index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.1308975322618925,0.1798135905516568,0.21113885419570552,0.14036762457677165,0.16361024974736094,0.170376183551483,0.10881642228739001,0.12905945945945946,0.13460235294117648,part_0,part_1,part_2,onehot_pad,CV
1,Ridge,,0.7783494620165555,0.27156133618859035,0.32978353686141737,0.10111052448930151,0.15875163315955465,0.16448512485002348,0.07908032963406893,0.12610105473469443,0.13027540299217105,part_0,part_1,part_2,onehot_pad,CV
2,RandomForest,,0.9682725816638607,0.33963624165384987,0.34537805254077614,0.05329752570555516,0.15671466041071203,0.16658597250457224,0.04007419354838708,0.12204247104247103,0.12957372549019605,part_0,part_1,part_2,onehot_pad,CV
3,MLP,,0.9908643389130677,0.3121499995768414,0.30147598995191516,0.014998705762168274,0.19172576386086262,0.1998389066923381,0.008031611944488717,0.14696154283040483,0.1560964696611424,part_0,part_1,part_2,onehot_pad,CV
4,KNN,,0.1308975322618925,0.21113885419570552,0.1798135905516568,0.14036762457677165,0.170376183551483,0.16361024974736094,0.10881642228739001,0.13460235294117648,0.12905945945945946,part_0,part_2,part_1,onehot_pad,CV
5,Ridge,,0.7783494620165555,0.32978353686141737,0.27156133618859035,0.10111052448930151,0.16448512485002348,0.15875163315955465,0.07908032963406893,0.13027540299217105,0.12610105473469443,part_0,part_2,part_1,onehot_pad,CV
6,RandomForest,,0.9182834988753583,0.3688331972985326,0.30152634850135557,0.0732436909832675,0.16454275940811705,0.15802816613459675,0.055745350177681625,0.1285186425932455,0.12400042547274688,part_0,part_2,part_1,onehot_pad,CV
7,MLP,,0.9908788723395191,0.30415826051532036,0.3062214038195661,0.01490183063354388,0.19975952863830862,0.1930295128657132,0.007967965188801225,0.15589185080082826,0.1476283227841351,part_0,part_2,part_1,onehot_pad,CV
8,KNN,,0.30113525372166217,0.12852957654675282,0.277741610507947,0.15815823560708905,0.14277830732988914,0.16357834268655014,0.12708725868725868,0.11319413489736072,0.13253960784313726,part_1,part_0,part_2,onehot_pad,CV
9,Ridge,,0.8156912271595732,0.15142694938472473,0.353188428911168,0.10888433800002952,0.1432521532385993,0.15981131582945926,0.08557092504302194,0.11033708405525966,0.12613374706782218,part_1,part_0,part_2,onehot_pad,CV
10,RandomForest,,0.8797492931367861,0.1676267240127521,0.34133829511438046,0.0957844655446175,0.1410071231337397,0.16004467540438003,0.07522788378288382,0.11008181749579843,0.12566443298150654,part_1,part_0,part_2,onehot_pad,CV
11,MLP,,0.9978267555180612,0.0703149880200125,0.2754478300515576,0.007133999529247011,0.19836559149362823,0.19519895402190046,0.004751016582210833,0.15531142552598698,0.1556591240156547,part_1,part_0,part_2,onehot_pad,CV
12,KNN,,0.30113525372166217,0.277741610507947,0.12852957654675282,0.15815823560708905,0.16357834268655014,0.14277830732988914,0.12708725868725868,0.13253960784313726,0.11319413489736072,part_1,part_2,part_0,onehot_pad,CV
13,Ridge,,0.8156912271595732,0.353188428911168,0.15142694938472473,0.10888433800002952,0.15981131582945926,0.1432521532385993,0.08557092504302194,0.12613374706782218,0.11033708405525966,part_1,part_2,part_0,onehot_pad,CV
14,RandomForest,,0.90786295820235,0.36433161609387577,0.17318878742761024,0.08197357099958741,0.1596668008590911,0.14258256696214672,0.0635032373096659,0.12492485231870526,0.11018216119616775,part_1,part_2,part_0,onehot_pad,CV
15,MLP,,0.9973575264098681,0.3031085189992778,0.05039041730436483,0.008501964729373031,0.19182129751539478,0.20219655329743066,0.005746467022104339,0.15247221032288924,0.15902726687242916,part_1,part_2,part_0,onehot_pad,CV
16,KNN,,0.34083748349144777,0.03840646296703768,0.17036837031645774,0.15732955395925968,0.14892854000938005,0.16607646747866794,0.1317929411764706,0.12355777126099705,0.1380169884169884,part_2,part_0,part_1,onehot_pad,CV
17,Ridge,,0.8520697588742099,0.15881977036288936,0.29609427868551896,0.10766777225647428,0.1475548588912486,0.1589638958734323,0.08852532907601576,0.11856596296761718,0.12935691081391915,part_2,part_0,part_1,onehot_pad,CV
18,RandomForest,,0.9099293393594745,0.17536304858069116,0.30203911433092756,0.09006256193855032,0.14582439382227572,0.1590086593121846,0.07355789967331144,0.1177149156093988,0.12909248920909636,part_2,part_0,part_1,onehot_pad,CV
19,MLP,,0.9996616061306214,0.16131300994860787,0.23116582381026574,0.0015834174901914486,0.18703470235677,0.19131819165844863,0.0012506599514482987,0.14597984653737836,0.14645546246740518,part_2,part_0,part_1,onehot_pad,CV
20,KNN,,0.34083748349144777,0.17036837031645774,0.03840646296703768,0.15732955395925968,0.16607646747866794,0.14892854000938005,0.1317929411764706,0.1380169884169884,0.12355777126099705,part_2,part_1,part_0,onehot_pad,CV
21,Ridge,,0.8520697588742099,0.29609427868551896,0.15881977036288936,0.10766777225647428,0.1589638958734323,0.1475548588912486,0.08852532907601576,0.12935691081391915,0.11856596296761718,part_2,part_1,part_0,onehot_pad,CV
22,RandomForest,,0.9099293393594745,0.30203911433092756,0.17536304858069116,0.09006256193855032,0.1590086593121846,0.14582439382227572,0.07355789967331144,0.12909248920909636,0.1177149156093988,part_2,part_1,part_0,onehot_pad,CV
23,MLP,,0.9996616061306214,0.23116582381026574,0.16131300994860787,0.0015834174901914486,0.19131819165844863,0.18703470235677,0.0012506599514482987,0.14645546246740518,0.14597984653737836,part_2,part_1,part_0,onehot_pad,CV
