,,test_spearman,test_spearman
,,mean,sem
model,embedding,,
KNN,af2,0.11062708787846531,0.027694890613342897
KNN,ct,0.1691422931084983,0.051768547970937204
KNN,esm_1b,0.19279851290692337,0.014021988093564468
KNN,esm_2,0.17021714896591345,0.016653198237698348
KNN,esm_if1,0.18246521802916915,0.03125827695058535
KNN,eve,0.25519624125633383,0.02177982561101797
KNN,onehot,0.22266347161586822,0.031679777582503524
MLP,af2,0.0686003401585065,0.020310015963072955
MLP,ct,0.04304368143124362,0.036696287557725846
MLP,esm_1b,0.19903733898565087,0.019262239092558215
MLP,esm_2,0.26431849525808976,0.04620615562797395
MLP,esm_if1,0.1666168717598436,0.02157854536673666
MLP,eve,0.2157182364171807,0.018323818095274082
MLP,onehot,0.2684679716155655,0.049044303931111366
RandomForest,af2,0.28586891309220713,0.033976021439082564
RandomForest,ct,0.23755667738674732,0.04810464249005348
RandomForest,esm_1b,0.3044818564062098,0.03494806775791821
RandomForest,esm_2,0.3125627799052864,0.04224313519135073
RandomForest,esm_if1,0.2991698287233597,0.03173967350637594
RandomForest,eve,0.3037521253105418,0.01938028357576065
RandomForest,onehot,0.3113370295983783,0.03768258765829133
Ridge,af2,0.1646549256869894,0.036018094909828303
Ridge,ct,0.062082818451996265,0.013995590746409143
Ridge,esm_1b,0.2474329540206179,0.02307640526019022
Ridge,esm_2,0.27258136714136305,0.03113734744815758
Ridge,esm_if1,0.23633490611093103,0.02353220435437281
Ridge,eve,0.24873411564886336,0.02391171202477015
Ridge,onehot,0.29756787500468745,0.045885465155458736
