index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.6176947720701349,0.4482750048713358,0.24229133665419114,0.3617241421784317,0.5133181674572473,0.6296885348626732,0.3050736111111111,0.4304321428571428,0.4866053571428572,part_0,part_1,part_2,af2,CV
1,Ridge,,0.954592363261094,0.5389610389610389,0.6175824175824175,0.09422561782991258,0.666641417042445,0.7074087903023674,0.04053685767204332,0.599217510908462,0.5872558304506335,part_0,part_1,part_2,af2,CV
2,RandomForest,,0.9277605779153767,0.5714285714285714,0.6439560439560439,0.1788614268525826,0.5009796936534949,0.4717183244151578,0.15521725518077606,0.42043886940665154,0.4062540145408165,part_0,part_1,part_2,af2,CV
3,MLP,,0.9817740518865266,0.4623376623376624,0.6512204749659951,0.028543665077623674,0.9643510421157109,0.8019867579906044,0.01783129413601224,0.8513301438946308,0.5702485101564563,part_0,part_1,part_2,af2,CV
4,KNN,,0.22452222033370062,-0.00441016745392971,0.3734554934268614,0.47037497661145006,0.5449114794624903,0.5779391915162668,0.43435111111111113,0.46036499999999997,0.49284428571428573,part_0,part_2,part_1,af2,CV
5,Ridge,,0.954592363261094,0.6175824175824175,0.5389610389610389,0.09422561782991258,0.7074087903023674,0.666641417042445,0.04053685767204332,0.5872558304506335,0.599217510908462,part_0,part_2,part_1,af2,CV
6,RandomForest,,0.9277605779153767,0.6439560439560439,0.5714285714285714,0.1788614268525826,0.4717183244151578,0.5009796936534949,0.15521725518077606,0.4062540145408165,0.42043886940665154,part_0,part_2,part_1,af2,CV
7,MLP,,,,,0.7768029024255985,0.7736322323123911,1.065045228198048,0.6170584326227511,0.5748611678479211,0.8972437217146633,part_0,part_2,part_1,af2,CV
8,KNN,,0.49300878182180935,0.011489079336850623,0.2317903385472186,0.5367824156113199,0.5693674234231842,0.6493034900898478,0.43033666666666665,0.48838777777777787,0.5745228571428571,part_1,part_0,part_2,af2,CV
9,Ridge,,0.996103896103896,0.20330237358101136,0.48571428571428577,0.03374206045402606,0.6268293668598074,0.7410676129347166,0.024530328484111623,0.4721283868769615,0.5856583030532366,part_1,part_0,part_2,af2,CV
10,RandomForest,,0.9727272727272727,0.5335397316821465,0.6175824175824175,0.19659936421545976,0.37821977484239455,0.48104552684128987,0.16000744819538917,0.3121629334215167,0.4295583474914965,part_1,part_0,part_2,af2,CV
11,MLP,,0.7753246753246753,0.5294117647058824,0.6204624216595863,0.35216718720484735,0.41174848599401104,0.5007816473499542,0.27155119061098226,0.3424499109360792,0.39837664550402013,part_1,part_0,part_2,af2,CV
12,KNN,,0.49300878182180935,0.2317903385472186,0.011489079336850623,0.5367824156113199,0.6493034900898478,0.5693674234231842,0.43033666666666665,0.5745228571428571,0.48838777777777787,part_1,part_2,part_0,af2,CV
13,Ridge,,0.996103896103896,0.48571428571428577,0.20330237358101136,0.03374206045402606,0.7410676129347166,0.6268293668598074,0.024530328484111623,0.5856583030532366,0.4721283868769615,part_1,part_2,part_0,af2,CV
14,RandomForest,,0.9727272727272727,0.6175824175824175,0.5335397316821465,0.19659936421545976,0.48104552684128987,0.37821977484239455,0.16000744819538917,0.4295583474914965,0.3121629334215167,part_1,part_2,part_0,af2,CV
15,MLP,,0.7753246753246753,0.6204624216595863,0.5294117647058824,0.35216718720484735,0.5007816473499542,0.41174848599401104,0.27155119061098226,0.39837664550402013,0.3424499109360792,part_1,part_2,part_0,af2,CV
16,KNN,,0.6718334580535531,0.4178459484150394,0.15046616412012773,0.39964910110978247,0.47976675550469317,0.6234561228212722,0.32618214285714286,0.38524583333333334,0.4932047619047619,part_2,part_0,part_1,af2,CV
17,Ridge,,0.9912087912087912,0.6264189886480908,0.3987012987012987,0.022471287358658436,0.3983603168074404,0.5782084020395235,0.01716114393249128,0.313934442846389,0.4781383689403037,part_2,part_0,part_1,af2,CV
18,RandomForest,,0.9912087912087912,0.5851393188854489,0.41298701298701296,0.18588436006964115,0.42986496093290416,0.6043941867662375,0.14853692857142864,0.37784069444444446,0.5234299761904763,part_2,part_0,part_1,af2,CV
19,MLP,,0.9689487023833365,0.5697232720797617,0.40832284198908503,0.014788738170678542,0.46287564235686074,0.6196992007392017,0.009885834239763774,0.3614340437821534,0.5015872722402136,part_2,part_0,part_1,af2,CV
20,KNN,,0.6718334580535531,0.15046616412012773,0.4178459484150394,0.39964910110978247,0.6234561228212722,0.47976675550469317,0.32618214285714286,0.4932047619047619,0.38524583333333334,part_2,part_1,part_0,af2,CV
21,Ridge,,0.9912087912087912,0.3987012987012987,0.6264189886480908,0.022471287358658436,0.5782084020395235,0.3983603168074404,0.01716114393249128,0.4781383689403037,0.313934442846389,part_2,part_1,part_0,af2,CV
22,RandomForest,,0.9956043956043955,0.4324675324675325,0.5397316821465429,0.17437838866756072,0.6038741471046627,0.43170341199210877,0.14149225000000043,0.5238501071428571,0.3779954305555555,part_2,part_1,part_0,af2,CV
23,MLP,,0.9689487023833365,0.4507957366693393,0.542393373419109,0.014262829266991251,0.5959804414468863,0.44648401535110777,0.00882159776085932,0.48653822957004245,0.34838528130852264,part_2,part_1,part_0,af2,CV
