index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.5449856537425563,0.7536451727781923,0.5011086366687488,0.381295286108199,0.42550847324532964,0.5086543701803529,0.31318888888888885,0.30249166666666666,0.39877499999999994,part_0,part_1,part_2,ct,CV
1,Ridge,,0.7481940144478844,0.5662337662337662,0.6835164835164835,0.31459098735381136,0.4532804635246507,0.4581448800968158,0.2637786021529591,0.3440285527944114,0.3741899338321897,part_0,part_1,part_2,ct,CV
2,RandomForest,,0.9484004127966976,0.6571428571428571,0.6351648351648352,0.18926303279287884,0.4641773559899504,0.47236203854031755,0.16620569444444433,0.3892272142857139,0.404173,part_0,part_1,part_2,ct,CV
3,MLP,,-0.3952528379772961,-0.34155844155844156,-0.7318681318681319,0.5182827373731657,0.6238754471690328,0.6042383294435496,0.45434776572548485,0.5500899004685463,0.5360785086463445,part_0,part_1,part_2,ct,CV
4,KNN,,0.36975903232362006,0.7274725274725276,0.5024857953808933,0.43509441048913616,0.44801083607749614,0.504095351968445,0.3636427777777778,0.39767714285714284,0.4287657142857143,part_0,part_2,part_1,ct,CV
5,Ridge,,0.5686274509803922,0.6923076923076923,0.6883116883116883,0.3890801317794058,0.4560492898471941,0.46139841636511486,0.3480607992077001,0.399379450789715,0.3861278279706124,part_0,part_2,part_1,ct,CV
6,RandomForest,,0.933952528379773,0.7098901098901099,0.6155844155844156,0.23281535791615016,0.45581725563830794,0.4907681689230994,0.20236996484187098,0.40686270683879605,0.4218549172550332,part_0,part_2,part_1,ct,CV
7,MLP,,0.3622291021671827,0.07252747252747253,0.41558441558441556,0.4677492373806742,0.5370207685525084,0.6279053563187749,0.42971115716032027,0.47061747196416137,0.5538136480057447,part_0,part_2,part_1,ct,CV
8,KNN,,0.7442317479401949,0.5878757608685005,0.6385350090065208,0.36121857412823893,0.3963291451558918,0.48789424596202924,0.2913314285714286,0.3341588888888889,0.3905214285714285,part_1,part_0,part_2,ct,CV
9,Ridge,,0.7805194805194805,0.4943240454076367,0.7318681318681319,0.3954624734701082,0.40327830902041123,0.4331322244575933,0.3276734252714696,0.34241544704496374,0.36462123949715436,part_1,part_0,part_2,ct,CV
10,RandomForest,,0.9363636363636364,0.5087719298245614,0.6439560439560439,0.22171964690984938,0.42215513631350526,0.5087734165341398,0.18720631659408737,0.35220379826489107,0.4219653837823386,part_1,part_0,part_2,ct,CV
11,MLP,,0.6649350649350649,0.3415892672858617,0.5076923076923077,0.5610439157745333,0.5149026376574543,0.5991293824608467,0.47435175978865635,0.44083415367161305,0.5286156028967305,part_1,part_0,part_2,ct,CV
12,KNN,,0.7442317479401949,0.6385350090065208,0.5878757608685005,0.36121857412823893,0.48789424596202924,0.3963291451558918,0.2913314285714286,0.3905214285714285,0.3341588888888889,part_1,part_2,part_0,ct,CV
13,Ridge,,0.7909090909090909,0.7318681318681319,0.48606811145510836,0.35895544269978685,0.42752011503813553,0.421586468766798,0.2882977891712045,0.34369169605328814,0.33789229337917526,part_1,part_2,part_0,ct,CV
14,RandomForest,,0.9467532467532468,0.7098901098901099,0.5294117647058824,0.1800339608013815,0.4911774942195028,0.43434845790826937,0.14798900000000023,0.3917647142857141,0.34453719444444453,part_1,part_2,part_0,ct,CV
15,MLP,,0.6649350649350649,0.5076923076923077,0.3415892672858617,0.5610439157745333,0.5991293824608467,0.5149026376574543,0.47435175978865635,0.5286156028967305,0.44083415367161305,part_1,part_2,part_0,ct,CV
16,KNN,,0.6725811861180906,0.22925619578877016,0.456535732064923,0.4348096948830439,0.46839347162520434,0.5646707939018223,0.3860492857142857,0.4029372222222222,0.4854390476190475,part_2,part_0,part_1,ct,CV
17,Ridge,,0.7978021978021977,0.49638802889576883,0.6818181818181818,0.3967245543030557,0.43912000810992863,0.5229865035501349,0.3666417481938697,0.3937379843319465,0.4492690080230473,part_2,part_0,part_1,ct,CV
18,RandomForest,,0.9736263736263736,0.347781217750258,0.5298701298701299,0.23669962003545408,0.4424512024797727,0.5122087080002105,0.21584275203373007,0.38122804770723095,0.43741286958616776,part_2,part_0,part_1,ct,CV
19,MLP,,0.8285714285714285,0.49638802889576883,0.7051948051948052,0.3742524079553014,0.44161403233355695,0.46300339345220415,0.3410420637675268,0.37889372825299195,0.39714570355773526,part_2,part_0,part_1,ct,CV
20,KNN,,0.6725811861180906,0.456535732064923,0.22925619578877016,0.4348096948830439,0.5646707939018223,0.46839347162520434,0.3860492857142857,0.4854390476190475,0.4029372222222222,part_2,part_1,part_0,ct,CV
21,Ridge,,0.8021978021978022,0.6441558441558441,0.4654282765737873,0.3671711917681644,0.5026185288517646,0.44180691195951394,0.3374443424160862,0.4346793636001967,0.3880957762324471,part_2,part_1,part_0,ct,CV
22,RandomForest,,0.9692307692307693,0.5246753246753247,0.34365325077399383,0.23789418272927393,0.5068199495118372,0.44630474751307153,0.2129184152636054,0.428809937755102,0.3815186272376543,part_2,part_1,part_0,ct,CV
23,MLP,,0.8285714285714285,0.7051948051948052,0.49638802889576883,0.3742524079553014,0.46300339345220415,0.44161403233355695,0.3410420637675268,0.39714570355773526,0.37889372825299195,part_2,part_1,part_0,ct,CV
