index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,1.0,0.6847815425952821,0.4737328623618383,0.0,0.5138684341531864,0.5478431478469519,0.0,0.4096666666666667,0.3972785714285713,part_0,part_1,part_2,esm_1b,CV
1,Ridge,,0.7461300309597524,0.6610389610389611,0.5560439560439561,0.33763162196994717,0.48217727745062144,0.4904043478772107,0.3017161051896852,0.40162060937048283,0.43485339455146754,part_0,part_1,part_2,esm_1b,CV
2,RandomForest,,0.9360165118679051,0.6350649350649351,0.5208791208791209,0.15808479867112152,0.4781306486387745,0.48026546978607454,0.13627416666666725,0.3975646547619053,0.41936239285714266,part_0,part_1,part_2,esm_1b,CV
3,MLP,,0.9029927760577915,0.5649350649350648,0.6307692307692307,0.17126408267218263,0.49164240995120234,0.47767270397094647,0.08239174080794867,0.3727514714268447,0.36156046051284696,part_0,part_1,part_2,esm_1b,CV
4,KNN,,0.6143613790278302,0.30905378472962486,0.5008260864407481,0.39436200685410855,0.4932630035285435,0.5239221608761581,0.33995499999999995,0.4670064285714286,0.4592619047619047,part_0,part_2,part_1,esm_1b,CV
5,Ridge,,0.9298245614035088,0.6747252747252748,0.3233766233766234,0.15041378495118518,0.45113874195881004,0.5565880218554857,0.07736560799236801,0.36364349751705355,0.40372117944602565,part_0,part_2,part_1,esm_1b,CV
6,RandomForest,,0.9277605779153767,0.5428571428571429,0.6363636363636362,0.17492117309158167,0.4684568649376381,0.4935684957925401,0.1499953530428289,0.41293505892019666,0.41581645352461677,part_0,part_2,part_1,esm_1b,CV
7,MLP,,1.0,0.6967032967032967,0.12987012987012986,0.002065167193623287,0.8258120048665576,0.8024156908069046,0.001624046750054298,0.6446268185421083,0.6049962849545196,part_0,part_2,part_1,esm_1b,CV
8,KNN,,0.6725360892546354,0.23757714317822684,0.316841180200807,0.42544505350000134,0.425330140283208,0.5416265984118052,0.33840333333333333,0.3577633333333334,0.46770785714285706,part_1,part_0,part_2,esm_1b,CV
9,Ridge,,0.6818181818181818,0.42002063983488136,0.5692307692307692,0.397763638178242,0.3958797112615493,0.485253979239612,0.32888351335938565,0.34628455087077853,0.42010999416369377,part_1,part_0,part_2,esm_1b,CV
10,RandomForest,,0.9675324675324675,0.48606811145510836,0.6307692307692307,0.17525525560528527,0.39451560613780257,0.48718492806583125,0.14821552380952369,0.33949755555555544,0.4037370000000002,part_1,part_0,part_2,esm_1b,CV
11,MLP,,0.5935064935064935,0.18059855521155832,0.2043956043956044,0.4369320079229465,0.40430307034560353,0.5023633925319996,0.36778200282270984,0.35980759005272867,0.44773018149787136,part_1,part_0,part_2,esm_1b,CV
12,KNN,,0.6725360892546354,0.316841180200807,0.23757714317822684,0.42544505350000134,0.5416265984118052,0.425330140283208,0.33840333333333333,0.46770785714285706,0.3577633333333334,part_1,part_2,part_0,esm_1b,CV
13,Ridge,,0.6818181818181818,0.5692307692307692,0.42002063983488136,0.397763638178242,0.485253979239612,0.3958797112615493,0.32888351335938565,0.42010999416369377,0.34628455087077853,part_1,part_2,part_0,esm_1b,CV
14,RandomForest,,0.9688311688311689,0.6307692307692307,0.40144478844169246,0.17906269780153627,0.48526936168895857,0.4049893011483194,0.14911359523809478,0.4020251071428573,0.34654088888888884,part_1,part_2,part_0,esm_1b,CV
15,MLP,,0.5935064935064935,0.2043956043956044,0.18059855521155832,0.4369320079229465,0.5023633925319996,0.40430307034560353,0.36778200282270984,0.44773018149787136,0.35980759005272867,part_1,part_2,part_0,esm_1b,CV
16,KNN,,0.7389655581862864,0.4690810230906533,0.4727349860512365,0.4282134964343971,0.41963818107587236,0.5299872995558254,0.38591,0.36138833333333337,0.4629785714285714,part_2,part_0,part_1,esm_1b,CV
17,Ridge,,0.8065934065934066,0.48194014447884415,0.3090909090909091,0.39505722386593667,0.41882885697631234,0.5329394291063609,0.3595909580888019,0.37739244048271003,0.4617164217495525,part_2,part_0,part_1,esm_1b,CV
18,RandomForest,,0.9780219780219781,0.653250773993808,0.3220779220779221,0.18947571627009924,0.39352450137088657,0.5520470357467397,0.16514680357142897,0.3448682361111113,0.4700717380952384,part_2,part_0,part_1,esm_1b,CV
19,MLP,,0.24835164835164836,0.24458204334365324,0.38051948051948054,0.6232391650245647,0.512519713260025,0.5380644851850144,0.5323862429584436,0.42320973872428824,0.42993818838608366,part_2,part_0,part_1,esm_1b,CV
20,KNN,,0.7389655581862864,0.4727349860512365,0.4690810230906533,0.4282134964343971,0.5299872995558254,0.41963818107587236,0.38591,0.4629785714285714,0.36138833333333337,part_2,part_1,part_0,esm_1b,CV
21,Ridge,,0.8065934065934066,0.3090909090909091,0.48194014447884415,0.39505722386593667,0.5329394291063609,0.41882885697631234,0.3595909580888019,0.4617164217495525,0.37739244048271003,part_2,part_1,part_0,esm_1b,CV
22,RandomForest,,0.9780219780219781,0.2727272727272727,0.5562435500515995,0.1828754843490808,0.5502567458381228,0.402529673079492,0.16214857142857178,0.47012570238095275,0.3482701250000001,part_2,part_1,part_0,esm_1b,CV
23,MLP,,0.24835164835164836,0.38051948051948054,0.24458204334365324,0.6232391650245647,0.5380644851850144,0.512519713260025,0.5323862429584436,0.42993818838608366,0.42320973872428824,part_2,part_1,part_0,esm_1b,CV
