index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.5570233736640616,0.515662270063463,0.312538153958997,0.4279785543627676,0.5027233176883871,0.49910782001487414,0.3686027777777778,0.43608333333333327,0.44356428571428574,part_0,part_1,part_2,esm_2,CV
1,Ridge,,0.7977296181630547,0.6662337662337662,0.6879120879120879,0.2887877916294812,0.47164343106411977,0.4903962112468855,0.2360697783613677,0.38485200062854635,0.4239829606334711,part_0,part_1,part_2,esm_2,CV
2,RandomForest,,0.9463364293085655,0.7285714285714285,0.6087912087912088,0.15348039474389946,0.4783175248582608,0.47909961101673626,0.12892830555555615,0.3990730595238099,0.41923558928571414,part_0,part_1,part_2,esm_2,CV
3,MLP,,0.869969040247678,0.7532467532467532,0.6043956043956044,0.203152791446202,0.4793573691898742,0.5112521333980306,0.1219477405659326,0.3848506191603677,0.4358808469461893,part_0,part_1,part_2,esm_2,CV
4,KNN,,0.5570233736640616,0.312538153958997,0.515662270063463,0.4279785543627676,0.49910782001487414,0.5027233176883871,0.3686027777777778,0.44356428571428574,0.43608333333333327,part_0,part_2,part_1,esm_2,CV
5,Ridge,,0.9711042311661506,0.5472527472527472,0.4,0.06617933415194556,0.48043251620967764,0.6046086648380773,0.030950260738476607,0.41556516167490887,0.44799700203865134,part_0,part_2,part_1,esm_2,CV
6,RandomForest,,0.9091847265221877,0.5956043956043956,0.7298701298701298,0.17856040531926748,0.476075345798968,0.4858742160170873,0.15160794270282169,0.4217763886621316,0.4109397834230914,part_0,part_2,part_1,esm_2,CV
7,MLP,,0.9979360165118679,0.5780219780219781,0.3701298701298701,0.01737577197180422,0.4832927588632015,0.6030306101832301,0.008912171035861588,0.40428255646566197,0.4435757499652078,part_0,part_2,part_1,esm_2,CV
8,KNN,,0.716172883023301,0.26557416883559526,0.4712493179051095,0.4196291018779049,0.5186848332294114,0.5395174733566493,0.32136666666666674,0.4105344444444445,0.4805771428571428,part_1,part_0,part_2,esm_2,CV
9,Ridge,,0.6740259740259741,0.42414860681114547,0.6483516483516484,0.4195135877240771,0.3912351485607097,0.4739789111033096,0.3467454293805814,0.34921037275428857,0.4200930888071525,part_1,part_0,part_2,esm_2,CV
10,RandomForest,,0.9727272727272727,0.4901960784313726,0.5868131868131868,0.19177997772420888,0.3732344899231375,0.5005213910543725,0.15186162055589913,0.3293421877369929,0.4358153257105494,part_1,part_0,part_2,esm_2,CV
11,MLP,,0.978506819750954,0.5183316324198487,0.5147367255967216,0.1965674712271759,0.37359181387574225,0.522090545540381,0.14750291717787142,0.30271851545316514,0.4661782926680713,part_1,part_0,part_2,esm_2,CV
12,KNN,,1.0,0.6473737555436984,0.26033412388429694,0.0,0.499257116874662,0.6295269776233229,0.0,0.35090357142857137,0.5066333333333334,part_1,part_2,part_0,esm_2,CV
13,Ridge,,0.6740259740259741,0.6483516483516484,0.42414860681114547,0.4195135877240771,0.4739789111033096,0.3912351485607097,0.3467454293805814,0.4200930888071525,0.34921037275428857,part_1,part_2,part_0,esm_2,CV
14,RandomForest,,0.9727272727272727,0.6527472527472528,0.3931888544891641,0.17720387104137322,0.4871136167291797,0.39083953550315176,0.14020176190476225,0.41073982142857135,0.34363269444444444,part_1,part_2,part_0,esm_2,CV
15,MLP,,0.978506819750954,0.5147367255967216,0.5183316324198487,0.1965674712271759,0.522090545540381,0.37359181387574225,0.14750291717787142,0.4661782926680713,0.30271851545316514,part_1,part_2,part_0,esm_2,CV
16,KNN,,0.7138230491819002,0.6467754815866796,0.14149645935844665,0.3963927801571495,0.39314897714373703,0.5385284916689976,0.32562142857142856,0.33195416666666666,0.44652261904761903,part_2,part_0,part_1,esm_2,CV
17,Ridge,,0.9208791208791209,0.4282765737874097,0.425974025974026,0.27826792708023845,0.4202442287163434,0.5123267239989043,0.2378103636390985,0.36963474166797483,0.42510476069753916,part_2,part_0,part_1,esm_2,CV
18,RandomForest,,0.9780219780219781,0.543859649122807,0.6519480519480519,0.22628000787294408,0.40459393408258076,0.5472405307473999,0.19476996969954644,0.3651078930776015,0.47073969576719565,part_2,part_0,part_1,esm_2,CV
19,MLP,,0.9780219780219781,0.47781217750258,0.274025974025974,0.05331085851054236,0.44161230853519584,0.5579428431565912,0.042141736442231965,0.36644713671691626,0.45922413515895566,part_2,part_0,part_1,esm_2,CV
20,KNN,,0.5746615560926296,0.4735327303927858,0.4963973527450862,0.48291909559765506,0.49210891424174635,0.45652679853797556,0.41224500000000003,0.40028095238095235,0.3650827777777778,part_2,part_1,part_0,esm_2,CV
21,Ridge,,0.9208791208791209,0.425974025974026,0.4282765737874097,0.27826792708023845,0.5123267239989043,0.4202442287163434,0.2378103636390985,0.42510476069753916,0.36963474166797483,part_2,part_1,part_0,esm_2,CV
22,RandomForest,,0.9736263736263736,0.548051948051948,0.5190918472652218,0.1965977939610535,0.5291684265106127,0.414466192865653,0.17490844642857178,0.4488073452380956,0.3734221944444445,part_2,part_1,part_0,esm_2,CV
23,MLP,,0.9824175824175824,0.448051948051948,0.46955624355005166,0.06366224099631414,0.5284185144404722,0.4728236357105396,0.049416375762477024,0.4361002505380243,0.3736408798123654,part_2,part_1,part_0,esm_2,CV
