index,model,suffix,train_mcc,val_mcc,test_mcc,train_auroc,val_auroc,test_auroc,train_f1,val_f1,test_f1,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.0,0.0,0.0,0.5,0.5,0.5,0.42857142857142855,0.5,0.5555555555555556,part_0,part_1,part_2,ESM-2,CV
1,LogReg,,0.0,0.0,0.0,0.5,0.5,0.5,0.5714285714285714,0.5,0.4444444444444444,part_0,part_1,part_2,ESM-2,CV
2,RandomForest,,1.0,-0.7071067811865476,-0.31622776601683794,1.0,0.16666666666666666,0.35,1.0,0.16666666666666666,0.3333333333333333,part_0,part_1,part_2,ESM-2,CV
3,KNN,,0.0,0.0,0.0,0.5,0.5,0.5,0.42857142857142855,0.5555555555555556,0.5,part_0,part_2,part_1,ESM-2,CV
4,LogReg,,0.0,0.0,0.0,0.5,0.5,0.5,0.5714285714285714,0.4444444444444444,0.5,part_0,part_2,part_1,ESM-2,CV
5,RandomForest,,1.0,-0.31622776601683794,-0.7071067811865476,1.0,0.35,0.16666666666666666,1.0,0.3333333333333333,0.16666666666666666,part_0,part_2,part_1,ESM-2,CV
6,KNN,,0.3333333333333333,-0.4166666666666667,0.7905694150420948,0.6666666666666667,0.29166666666666663,0.875,0.6666666666666666,0.2857142857142857,0.8888888888888888,part_1,part_0,part_2,ESM-2,CV
7,LogReg,,0.3333333333333333,-0.7302967433402214,0.5976143046671968,0.6666666666666667,0.16666666666666666,0.75,0.6666666666666666,0.14285714285714285,0.7777777777777778,part_1,part_0,part_2,ESM-2,CV
8,RandomForest,,1.0,-0.5477225575051661,0.31622776601683794,1.0,0.25,0.65,1.0,0.2857142857142857,0.6666666666666666,part_1,part_0,part_2,ESM-2,CV
9,KNN,,0.3333333333333333,0.7905694150420948,-0.4166666666666667,0.6666666666666667,0.875,0.29166666666666663,0.6666666666666666,0.8888888888888888,0.2857142857142857,part_1,part_2,part_0,ESM-2,CV
10,LogReg,,0.3333333333333333,0.5976143046671968,-0.47140452079103173,0.6666666666666667,0.75,0.3333333333333333,0.6666666666666666,0.7777777777777778,0.2857142857142857,part_1,part_2,part_0,ESM-2,CV
11,RandomForest,,1.0,0.31622776601683794,-0.7302967433402214,1.0,0.65,0.16666666666666666,1.0,0.6666666666666666,0.14285714285714285,part_1,part_2,part_0,ESM-2,CV
12,KNN,,0.5976143046671968,0.5477225575051661,0.0,0.75,0.75,0.5,0.7777777777777778,0.7142857142857143,0.5,part_2,part_0,part_1,ESM-2,CV
13,LogReg,,0.5976143046671968,0.3535533905932738,0.0,0.75,0.625,0.5,0.7777777777777778,0.5714285714285714,0.5,part_2,part_0,part_1,ESM-2,CV
14,RandomForest,,1.0,-0.16666666666666666,0.3333333333333333,1.0,0.41666666666666663,0.6666666666666667,1.0,0.42857142857142855,0.6666666666666666,part_2,part_0,part_1,ESM-2,CV
15,KNN,,0.5976143046671968,0.0,0.5477225575051661,0.75,0.5,0.75,0.7777777777777778,0.5,0.7142857142857143,part_2,part_1,part_0,ESM-2,CV
16,LogReg,,1.0,0.3333333333333333,-0.16666666666666666,1.0,0.6666666666666667,0.41666666666666663,1.0,0.6666666666666666,0.42857142857142855,part_2,part_1,part_0,ESM-2,CV
17,RandomForest,,1.0,0.3333333333333333,-0.16666666666666666,1.0,0.6666666666666667,0.41666666666666663,1.0,0.6666666666666666,0.42857142857142855,part_2,part_1,part_0,ESM-2,CV
