index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.7258648360187524,0.5102761868711992,0.4790333663309185,0.3555118746961907,0.5108683026312489,0.5050702284407019,0.29151499999999997,0.4384366666666666,0.42494,part_0,part_1,part_2,esm_if1,CV
1,Ridge,,0.9318885448916409,0.5597402597402598,0.5428571428571429,0.17311474283103387,0.47617628874400375,0.5147939897114778,0.12305959052171911,0.3764358317032727,0.4196716269023782,part_0,part_1,part_2,esm_if1,CV
2,RandomForest,,0.9525283797729618,0.4805194805194805,0.44175824175824174,0.1543460627061437,0.5335463380641076,0.5100995202151034,0.13314983333333322,0.47454461904761897,0.4654312857142858,part_0,part_1,part_2,esm_if1,CV
3,MLP,,0.9855521155830752,0.6298701298701298,0.5428571428571429,0.03539495771870586,0.4692076498521566,0.5446418898605614,0.018663667817122632,0.36210831870638177,0.45110228913760586,part_0,part_1,part_2,esm_if1,CV
4,KNN,,0.7258648360187524,0.4790333663309185,0.5102761868711992,0.3555118746961907,0.5050702284407019,0.5108683026312489,0.29151499999999997,0.42494,0.4384366666666666,part_0,part_2,part_1,esm_if1,CV
5,Ridge,,0.8802889576883385,0.5604395604395604,0.5012987012987012,0.2858471548742599,0.5058262597073983,0.503523629712539,0.24185507678261123,0.4393590610297538,0.42512961814176836,part_0,part_2,part_1,esm_if1,CV
6,RandomForest,,0.9380804953560371,0.4813186813186813,0.47402597402597396,0.1853566024747875,0.5056227428540176,0.5364850969698922,0.15935007426146386,0.4601161928146258,0.47608617152305355,part_0,part_2,part_1,esm_if1,CV
7,MLP,,0.9566563467492261,0.5560439560439561,0.6012987012987013,0.07183606758996665,0.5269659827856267,0.46953127999056177,0.035250989956502804,0.4288054374005495,0.36557251596567264,part_0,part_2,part_1,esm_if1,CV
8,KNN,,0.7318391746443368,0.19101706211019798,0.2992301040627792,0.4435401534193247,0.493532665602457,0.5694909674123775,0.3556857142857142,0.4043716666666667,0.4928635714285714,part_1,part_0,part_2,esm_if1,CV
9,Ridge,,0.851948051948052,0.2053663570691434,0.6439560439560439,0.3271089272094404,0.45098993763620676,0.4521017247438413,0.26533520162866364,0.3927635803627853,0.38262253764540094,part_1,part_0,part_2,esm_if1,CV
10,RandomForest,,0.9844155844155844,0.3312693498452013,0.6,0.19250882484787424,0.4079548451150534,0.46030120494186033,0.15659109523809528,0.35962947222222225,0.39658992857142855,part_1,part_0,part_2,esm_if1,CV
11,MLP,,0.9909090909090909,0.1847265221878225,0.5384615384615385,0.09944936039347489,0.4978463867673894,0.4864238079030651,0.05788046221427047,0.3970020287335992,0.3833846887783677,part_1,part_0,part_2,esm_if1,CV
12,KNN,,0.915177555545672,0.6039956046389431,0.12363918303392472,0.30439041287856117,0.5200951199488829,0.5562394294563667,0.2422738095238095,0.4502553571428571,0.47560972222222225,part_1,part_2,part_0,esm_if1,CV
13,Ridge,,1.0,0.6527472527472528,0.2198142414860681,0.000625004481134065,0.4415380597803117,0.5397907765686784,0.0003994022051538241,0.3540788438496385,0.4463186535196011,part_1,part_2,part_0,esm_if1,CV
14,RandomForest,,0.9753246753246754,0.6879120879120879,0.31475748194014447,0.2051850512102685,0.4574513301063288,0.4310169875550707,0.17036202022864702,0.398178028925737,0.37805977248677247,part_1,part_2,part_0,esm_if1,CV
15,MLP,,0.9974025974025975,0.665934065934066,0.19711042311661509,0.011513067623189413,0.4436344198451227,0.5375882779552033,0.00817804567996332,0.3571554825214108,0.4434422604633856,part_1,part_2,part_0,esm_if1,CV
16,KNN,,0.7646525542320045,0.5999316683855717,0.5802652427868532,0.45957221304942153,0.4731271212722151,0.6465157520306906,0.39449785714285707,0.4081583333333334,0.552102380952381,part_2,part_0,part_1,esm_if1,CV
17,Ridge,,0.8989010989010989,0.15376676986584106,0.7129870129870131,0.2960954928389204,0.4751773232567591,0.5463385269004265,0.2709120794032537,0.4277157078117424,0.4754748291084167,part_2,part_0,part_1,esm_if1,CV
18,RandomForest,,0.9912087912087912,0.5128998968008256,0.5597402597402598,0.22306611990897407,0.4474157065531587,0.5903138827123473,0.18893631605725614,0.39083919415233687,0.5158016992724869,part_2,part_0,part_1,esm_if1,CV
19,MLP,,0.9780219780219781,0.3065015479876161,0.612987012987013,0.02726977127635113,0.4748919583509292,0.5738411074704208,0.020615949608898405,0.4197874688607062,0.481466046250821,part_2,part_0,part_1,esm_if1,CV
20,KNN,,0.8555724860623637,0.4388985439940972,0.634183008256713,0.2882876042563348,0.5997992724256849,0.48013331149333466,0.24114642857142862,0.5044476190476189,0.38279166666666664,part_2,part_1,part_0,esm_if1,CV
21,Ridge,,0.9692307692307693,0.7077922077922078,0.25696594427244585,0.21501912759947941,0.5386358169383455,0.4773265762365295,0.19365560211277014,0.46505107007879787,0.4302923594913739,part_2,part_1,part_0,esm_if1,CV
22,RandomForest,,0.9824175824175824,0.5428571428571428,0.3766769865841073,0.18634721228098117,0.5818298228535025,0.4561443479130491,0.16661403571428618,0.5070852857142858,0.3984570555555555,part_2,part_1,part_0,esm_if1,CV
23,MLP,,0.9956043956043955,0.6272727272727273,0.1475748194014448,0.003601051170738203,0.5437676185431071,0.4987059548266492,0.0024124334640930373,0.4539668210091386,0.45056515669507274,part_2,part_1,part_0,esm_if1,CV
