index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,0,1.0,0.6927178273092989,0.6777612282910319,0.0,0.46120409901949155,0.4303776425170939,0.0,0.35315714285714284,0.320725,part_0,part_1,part_2,eve,CV
1,Ridge,0,0.6676986584107326,0.5571428571428572,0.4769230769230769,0.3117840911579134,0.4468966148303627,0.5086503904783185,0.2430269320526116,0.37014650956589623,0.4505170451852205,part_0,part_1,part_2,eve,CV
2,RandomForest,0,0.9215686274509803,0.6935064935064935,0.8021978021978022,0.15599930565980233,0.4601970905266628,0.46570771516605936,0.1280268055555562,0.38444784523809583,0.4063743392857142,part_0,part_1,part_2,eve,CV
3,MLP,0,0.6718266253869969,0.5285714285714286,0.5120879120879122,0.33790850641789366,0.4488027953989588,0.5410020887225844,0.2860769151484614,0.35429112769071486,0.47913666321605264,part_0,part_1,part_2,eve,CV
4,KNN,0,1.0,0.6777612282910319,0.6927178273092989,0.0,0.4303776425170939,0.46120409901949155,0.0,0.320725,0.35315714285714284,part_0,part_2,part_1,eve,CV
5,Ridge,0,0.8224974200206397,0.7538461538461538,0.3038961038961039,0.2547256479713501,0.4537915654290073,0.5648541770329815,0.18088242291334622,0.3941802950063683,0.4908371674063813,part_0,part_2,part_1,eve,CV
6,RandomForest,0,0.9091847265221877,0.8021978021978022,0.7064935064935066,0.1939169707883189,0.45830721998374296,0.47241830275267116,0.16316391395502639,0.40667461330073695,0.4052419737150415,part_0,part_2,part_1,eve,CV
7,MLP,0,0.8575851393188855,0.6,0.24805194805194808,0.2420295625368535,0.4511378059887841,0.613031536389283,0.16730137807162226,0.41896711870311487,0.5309870567374485,part_0,part_2,part_1,eve,CV
8,KNN,0,0.7602885598517694,0.6829730867711387,0.39710730150084317,0.4140644354560335,0.40483509363553066,0.5358547612459927,0.3149404761904762,0.3381761111111112,0.451185,part_1,part_0,part_2,eve,CV
9,Ridge,0,0.6324675324675325,0.5294117647058824,0.4813186813186813,0.4351448259489359,0.35920716431263644,0.49975654582846335,0.3618935614801215,0.3163425240801637,0.44306933814937866,part_1,part_0,part_2,eve,CV
10,RandomForest,0,0.9766233766233766,0.2672858617131063,0.7494505494505495,0.1942370863636776,0.39199142600205206,0.48255922002163437,0.16535960522916254,0.3399663680640733,0.38892961244331054,part_1,part_0,part_2,eve,CV
11,MLP,0,0.5935064935064935,0.6016511867905057,0.46373626373626364,0.4781160733455829,0.38399607185339296,0.6323621179999889,0.4037866021007171,0.34605446787930494,0.5329998271443603,part_1,part_0,part_2,eve,CV
12,KNN,0,0.7602885598517694,0.39710730150084317,0.6829730867711387,0.4140644354560335,0.5358547612459927,0.40483509363553066,0.3149404761904762,0.451185,0.3381761111111112,part_1,part_2,part_0,eve,CV
13,Ridge,0,0.9987012987012988,0.6967032967032967,0.2776057791537668,0.011511231743673696,0.4467787212029841,1.0536321168593918,0.00968167233964948,0.3489787913216301,0.5927927502521654,part_1,part_2,part_0,eve,CV
14,RandomForest,0,0.9818181818181818,0.7054945054945055,0.3684210526315789,0.15545356362206902,0.4791133053102968,0.3927626554892785,0.13339296428571426,0.37542589285714334,0.3412327916666665,part_1,part_2,part_0,eve,CV
15,MLP,0,1.0,0.7582417582417583,0.3684210526315789,0.0023958350057691822,0.5277544879909541,0.6680036191391883,0.0016847858525178957,0.3543878023731323,0.4699831899133182,part_1,part_2,part_0,eve,CV
16,KNN,0,0.791625057980383,0.6030617466554095,0.4631362266224248,0.3808565799732605,0.38910209064517304,0.4892380114172203,0.3211589285714286,0.33783888888888886,0.41606309523809515,part_2,part_0,part_1,eve,CV
17,Ridge,0,0.5120879120879122,0.5995872033023736,0.42207792207792205,0.45578754640955155,0.37917868346479544,0.48364504145946446,0.4282808164984618,0.3189759380175294,0.437666220265639,part_2,part_0,part_1,eve,CV
18,RandomForest,0,0.9604395604395607,0.78328173374613,0.6415584415584416,0.26527470927144525,0.37173152398195275,0.5262294871396197,0.23368135761569778,0.3377594159591951,0.45416469213048877,part_2,part_0,part_1,eve,CV
19,MLP,0,0.8901098901098902,0.6615067079463364,0.6181818181818182,0.26686235308205963,0.5878885767212867,0.7608834574191655,0.2351222028069529,0.4689550671141127,0.5333848447417081,part_2,part_0,part_1,eve,CV
20,KNN,0,0.791625057980383,0.4631362266224248,0.6030617466554095,0.3808565799732605,0.4892380114172203,0.38910209064517304,0.3211589285714286,0.41606309523809515,0.33783888888888886,part_2,part_1,part_0,eve,CV
21,Ridge,0,0.5120879120879122,0.42207792207792205,0.5995872033023736,0.45578754640955155,0.48364504145946446,0.37917868346479544,0.4282808164984618,0.437666220265639,0.3189759380175294,part_2,part_1,part_0,eve,CV
22,RandomForest,0,0.9736263736263736,0.7077922077922078,0.6078431372549019,0.20066134318240728,0.4911511006056637,0.3809966143532132,0.17805139285714278,0.42417130952380944,0.34311049999999993,part_2,part_1,part_0,eve,CV
23,MLP,0,0.8901098901098902,0.6181818181818182,0.6615067079463364,0.26686235308205963,0.7608834574191655,0.5878885767212867,0.2351222028069529,0.5333848447417081,0.4689550671141127,part_2,part_1,part_0,eve,CV
24,KNN,1,0.5115159754976284,0.5923615303255556,0.44699015626767424,0.37887386448380006,0.43305743834364735,0.502759918961611,0.32846555555555557,0.3733685714285715,0.45024857142857144,part_0,part_1,part_2,eve,CV
25,Ridge,1,0.4447884416924664,0.3181818181818181,0.38461538461538464,0.36571165929509863,0.47916211675057085,0.5009952419890165,0.3230520112525862,0.4027183796577357,0.4394268762086857,part_0,part_1,part_2,eve,CV
26,RandomForest,1,0.9380804953560371,0.6519480519480519,0.5164835164835165,0.1754089096598842,0.47598289569024066,0.4992047763862615,0.14525830555555527,0.4056222380952378,0.4393977142857143,part_0,part_1,part_2,eve,CV
27,MLP,1,0.6037151702786379,0.37792207792207794,0.2879120879120879,0.35897329696994296,0.46157159050954566,0.5100289881803757,0.3106203272993884,0.38616308875182587,0.444448914497873,part_0,part_1,part_2,eve,CV
28,KNN,1,0.5115159754976284,0.44699015626767424,0.5923615303255556,0.37887386448380006,0.502759918961611,0.43305743834364735,0.32846555555555557,0.45024857142857144,0.3733685714285715,part_0,part_2,part_1,eve,CV
29,Ridge,1,0.44272445820433437,0.3406593406593406,0.3155844155844156,0.39341791434612766,0.49346545349782095,0.5050823814661944,0.36026550058840084,0.4414960586109699,0.44633133309420825,part_0,part_2,part_1,eve,CV
30,RandomForest,1,0.933952528379773,0.4945054945054946,0.42337662337662335,0.18040798694116436,0.48730335104659017,0.4845054603917417,0.14975379166666727,0.4234186607142858,0.417390892857143,part_0,part_2,part_1,eve,CV
31,MLP,1,0.6181630546955624,0.3802197802197802,0.36103896103896105,0.36529466950183836,0.5066018553989444,0.46264796777599476,0.31525209101777507,0.4455299140218757,0.38357239123328796,part_0,part_2,part_1,eve,CV
32,KNN,1,0.7321810855475986,0.6773052603249051,0.40468083504082186,0.3813364758008214,0.4170468083374388,0.5293231458867339,0.3131690476190477,0.3522655555555556,0.4574085714285715,part_1,part_0,part_2,eve,CV
33,Ridge,1,0.3311688311688311,0.4055727554179567,0.367032967032967,0.4521411947969454,0.37591886420042925,0.4905643500003994,0.39946677458261365,0.33422604939173034,0.44082763819576504,part_1,part_0,part_2,eve,CV
34,RandomForest,1,0.9454545454545454,0.479876160990712,0.6,0.19834430167659667,0.41151616442896927,0.4821783040522313,0.16462408514266816,0.3530752100975028,0.40649838015744183,part_1,part_0,part_2,eve,CV
35,MLP,1,0.4,0.5232198142414861,0.4197802197802198,0.461026769656235,0.37059181811520064,0.5158246694344566,0.3788572533729311,0.3195138156589044,0.45124686542951054,part_1,part_0,part_2,eve,CV
36,KNN,1,0.7321810855475986,0.40468083504082186,0.6773052603249051,0.3813364758008214,0.5293231458867339,0.4170468083374388,0.3131690476190477,0.4574085714285715,0.3522655555555556,part_1,part_2,part_0,eve,CV
37,Ridge,1,0.3311688311688311,0.367032967032967,0.4055727554179567,0.4521411947969454,0.4905643500003994,0.37591886420042925,0.39946677458261365,0.44082763819576504,0.33422604939173034,part_1,part_2,part_0,eve,CV
38,RandomForest,1,0.9324675324675323,0.6395604395604396,0.5193599040077275,0.19909884644202355,0.4820833230873327,0.41392680007058763,0.16432523082697723,0.3953640541086889,0.3623107030212844,part_1,part_2,part_0,eve,CV
39,MLP,1,0.4,0.4197802197802198,0.5232198142414861,0.461026769656235,0.5158246694344566,0.37059181811520064,0.3788572533729311,0.45124686542951054,0.3195138156589044,part_1,part_2,part_0,eve,CV
40,KNN,1,0.7836720969929772,0.43237993516062473,0.2611302896679904,0.37692727130992104,0.4416718454885054,0.5115543154434429,0.3016178571428572,0.3609361111111111,0.4361583333333333,part_2,part_0,part_1,eve,CV
41,Ridge,1,0.6,0.6470588235294118,0.3246753246753247,0.4550814292855602,0.3944023015086047,0.5880176702669824,0.4207817706791506,0.35497982194431554,0.47769120343534893,part_2,part_0,part_1,eve,CV
42,RandomForest,1,0.9780219780219781,0.4282765737874097,0.3207792207792208,0.20642293788667962,0.3992427147443273,0.5454478580356937,0.17720182142857194,0.3670522083333337,0.4607159523809524,part_2,part_0,part_1,eve,CV
43,MLP,1,0.4241758241758242,0.5500515995872033,0.36883116883116884,0.47842713968784323,0.3777037094338226,0.4550144633161114,0.4265043129736767,0.32831639483228825,0.3982874228709544,part_2,part_0,part_1,eve,CV
44,KNN,1,0.479323851520188,0.6767828071813402,0.41730652954919817,0.507144857433681,0.4735847558327261,0.46626399682893044,0.4310621428571428,0.4185919047619047,0.38135499999999994,part_2,part_1,part_0,eve,CV
45,Ridge,1,0.367032967032967,0.2935064935064935,0.45717234262125905,0.47692379378150035,0.5225060303157836,0.40321175894979533,0.4384959593053321,0.46438003239073,0.3704238685981427,part_2,part_1,part_0,eve,CV
46,RandomForest,1,0.9692307692307693,0.3311688311688311,0.38779814070865,0.2666941321897926,0.539301242310729,0.41493724269797216,0.23103287106009066,0.45470129104308393,0.38609272565035274,part_2,part_1,part_0,eve,CV
47,MLP,1,0.4241758241758242,0.36883116883116884,0.5500515995872033,0.4782128607958437,0.45412648514400533,0.3783846569996303,0.4264518866585584,0.39771961585043497,0.3290419802266235,part_2,part_1,part_0,eve,CV
48,KNN,2,0.689613639286133,0.5413503982632585,0.6793479635978762,0.3431165102896293,0.5081699838824087,0.46813866354654243,0.28961999999999993,0.429862380952381,0.4152192857142857,part_0,part_1,part_2,eve,CV
49,Ridge,2,0.6904024767801857,0.5792207792207792,0.5560439560439561,0.34842423008275986,0.49661520957698657,0.4948955031260376,0.3085479843301705,0.4075149672164103,0.4291905309532456,part_0,part_1,part_2,eve,CV
50,RandomForest,2,0.9401444788441692,0.5792207792207792,0.5340659340659341,0.17154220848919613,0.5134235865870764,0.5353247642000993,0.13794876388888933,0.41520596428571416,0.46056171428571385,part_0,part_1,part_2,eve,CV
51,MLP,2,0.6821465428276574,0.551948051948052,0.4945054945054946,0.3308034246652478,0.44710445620401784,0.5237365386984127,0.27627582187087035,0.3811217610956104,0.46473029092533746,part_0,part_1,part_2,eve,CV
52,KNN,2,1.0,0.6844059462154538,0.6856988520304476,0.0,0.44299753969810196,0.5323871540389703,0.0,0.3207535714285714,0.40821666666666667,part_0,part_2,part_1,eve,CV
53,Ridge,2,0.8534571723426212,0.7758241758241758,0.22207792207792207,0.24500355492710343,0.41935848721545765,0.5518994479947203,0.16860854150894689,0.321135931691266,0.4288362343816439,part_0,part_2,part_1,eve,CV
54,RandomForest,2,0.9133126934984519,0.48571428571428577,0.3844155844155844,0.21396016209480626,0.5321722659458111,0.523345343924819,0.17448494669763107,0.4706871001913262,0.43304608289699714,part_0,part_2,part_1,eve,CV
55,MLP,2,0.8348813209494325,0.7054945054945055,0.22077922077922077,0.24761766093829427,0.4254445606665906,0.536259041814909,0.15851524671836778,0.3663724882899132,0.42857375946856446,part_0,part_2,part_1,eve,CV
56,KNN,2,0.7083706911260953,0.6801391735480219,0.5076291242412735,0.4177644971238494,0.3881688179774362,0.4916730268829943,0.325295238095238,0.32736944444444444,0.4053921428571428,part_1,part_0,part_2,eve,CV
57,Ridge,2,0.5285714285714286,0.632610939112487,0.4945054945054946,0.45820981288752005,0.367142310019434,0.48349038355877555,0.401616429809878,0.32803886135939386,0.42931685105586187,part_1,part_0,part_2,eve,CV
58,RandomForest,2,0.9454545454545454,0.3126934984520124,0.45054945054945056,0.16995129968823483,0.405667496300991,0.5070795209836776,0.14524052380952404,0.34948940277777757,0.4002703571428573,part_1,part_0,part_2,eve,CV
59,MLP,2,0.625974025974026,0.5067079463364293,0.5208791208791209,0.48873006736706737,0.40122620957992855,0.624305875296226,0.4111227942369726,0.34956439172648934,0.5188464314302837,part_1,part_0,part_2,eve,CV
60,KNN,2,0.7083706911260953,0.5076291242412735,0.6801391735480219,0.4177644971238494,0.4916730268829943,0.3881688179774362,0.325295238095238,0.4053921428571428,0.32736944444444444,part_1,part_2,part_0,eve,CV
61,Ridge,2,0.5337662337662338,0.4945054945054946,0.632610939112487,0.4337100141437884,0.47545360137214004,0.3710483516474321,0.37848942026393007,0.42094882021137575,0.3156889988925935,part_1,part_2,part_0,eve,CV
62,RandomForest,2,0.9233766233766234,0.44175824175824174,0.22187822497420018,0.23021052765803238,0.5055084469610065,0.41307025024749383,0.19352114167053197,0.40847951564883533,0.34387353356531597,part_1,part_2,part_0,eve,CV
63,MLP,2,0.5363636363636364,0.1912087912087912,0.13725490196078433,0.446171871386554,0.5693655033657191,0.4219344027389147,0.3789845166614156,0.49645330590274933,0.36241553960736445,part_1,part_2,part_0,eve,CV
64,KNN,2,0.42728916277216794,0.6700255805979656,0.5425348585031082,0.4792844941085171,0.4181379223613504,0.5123525335018012,0.43297928571428573,0.3494172222222222,0.4517890476190476,part_2,part_0,part_1,eve,CV
65,Ridge,2,0.6131868131868132,0.6759545923632612,0.5077922077922078,0.4517980050310754,0.39393151740738186,0.4963772833926179,0.4093728673397397,0.334632686532832,0.4411785753115572,part_2,part_0,part_1,eve,CV
66,RandomForest,2,0.9692307692307693,0.5562435500515995,0.2831168831168831,0.19774437468710213,0.38600156277776276,0.5134150421125678,0.1723037500000004,0.3211303611111115,0.4467484404761907,part_2,part_0,part_1,eve,CV
