index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.7515791489629801,0.6847257043843462,0.5080871188423249,0.3263362056819452,0.4785177683519927,0.48274968639480825,0.2799161111111111,0.41973809523809524,0.42984999999999995,part_0,part_1,part_2,onehot,CV
1,Ridge,,1.0,0.6194805194805195,0.39780219780219783,1.0243388896654412e-06,0.4916363514954072,0.5183282474571017,4.664677630403852e-07,0.4227904332877632,0.46022095942975205,part_0,part_1,part_2,onehot,CV
2,RandomForest,,0.9484004127966976,0.7467532467532467,0.389010989010989,0.16841154333420352,0.5031446814422103,0.5229875757976443,0.14540069444444445,0.4348485476190474,0.4695413214285718,part_0,part_1,part_2,onehot,CV
3,MLP,,1.0,0.44285714285714284,0.5164835164835165,0.0007714622436295015,0.48715351098620224,0.48889498502910306,0.0005210190481072684,0.43941800882912474,0.4487851208608328,part_0,part_1,part_2,onehot,CV
4,KNN,,0.7515791489629801,0.5080871188423249,0.6847257043843462,0.3263362056819452,0.48274968639480825,0.4785177683519927,0.2799161111111111,0.42984999999999995,0.41973809523809524,part_0,part_2,part_1,onehot,CV
5,Ridge,,0.9174406604747163,0.5032967032967033,0.6194805194805195,0.1957480801006637,0.5061298331304251,0.5032165877576372,0.14753586927931683,0.449204046891413,0.43718934993125586,part_0,part_2,part_1,onehot,CV
6,RandomForest,,0.9607843137254902,0.6923076923076923,0.648051948051948,0.1674261146650465,0.47318468164671934,0.5235753489363619,0.14759727777777762,0.43225642857142876,0.45820738095238084,part_0,part_2,part_1,onehot,CV
7,MLP,,1.0,0.5164835164835165,0.44285714285714284,0.0007714622436295015,0.48889498502910306,0.48715351098620224,0.0005210190481072684,0.4487851208608328,0.43941800882912474,part_0,part_2,part_1,onehot,CV
8,KNN,,0.7910080839390036,0.4262067096470564,0.593167522553546,0.3906548305089801,0.4013912015312077,0.5179527939535472,0.3025495238095239,0.3649888888888888,0.4373207142857143,part_1,part_0,part_2,onehot,CV
9,Ridge,,0.9974025974025975,0.36016511867905054,0.6967032967032967,0.06521976384769387,0.38854669766466743,0.4543761328495691,0.04690357760649738,0.3415936999526077,0.36214460816971616,part_1,part_0,part_2,onehot,CV
10,RandomForest,,0.9818181818181818,0.5273477812177503,0.5208791208791209,0.183835270112979,0.42082502128735144,0.49286436030748204,0.1466086428571431,0.3655001111111111,0.42556810714285703,part_1,part_0,part_2,onehot,CV
11,MLP,,1.0,0.2507739938080495,0.5824175824175825,0.00046183543858386255,0.4451047537700372,0.47773157220809315,0.00032184890255324743,0.3764412045712541,0.3636341959087957,part_1,part_0,part_2,onehot,CV
12,KNN,,0.7910080839390036,0.593167522553546,0.4262067096470564,0.3906548305089801,0.5179527939535472,0.4013912015312077,0.3025495238095239,0.4373207142857143,0.3649888888888888,part_1,part_2,part_0,onehot,CV
13,Ridge,,1.0,0.6835164835164835,0.32094943240454077,3.652290451011289e-07,0.4534505329497039,0.3904651183354943,2.518557861845101e-07,0.3542274221970993,0.33928478597874956,part_1,part_2,part_0,onehot,CV
14,RandomForest,,0.9818181818181818,0.5208791208791209,0.5273477812177503,0.183835270112979,0.49286436030748204,0.42082502128735144,0.1466086428571431,0.42556810714285703,0.3655001111111111,part_1,part_2,part_0,onehot,CV
15,MLP,,1.0,0.6923076923076923,0.18059855521155832,0.0012921994256124179,0.46746843056683174,0.4551686505878343,0.0009265705673022305,0.3563971777622682,0.36753917806335035,part_1,part_2,part_0,onehot,CV
16,KNN,,0.894048448682129,0.5643433123648479,0.41552330919214936,0.32021634372048263,0.41818895018347335,0.5394235018473315,0.26931428571428573,0.3834833333333333,0.44830000000000003,part_2,part_0,part_1,onehot,CV
17,Ridge,,1.0,0.543859649122807,0.6649350649350649,2.526600251476544e-07,0.41265415310012,0.5376095589391932,2.2821448474553928e-07,0.38095537833456233,0.4472003714131136,part_2,part_0,part_1,onehot,CV
18,RandomForest,,0.9868131868131869,0.541795665634675,0.6064935064935064,0.18225592519792053,0.42110409488564504,0.5730858458297542,0.1527533571428572,0.37389675,0.4952119523809525,part_2,part_0,part_1,onehot,CV
19,MLP,,1.0,0.500515995872033,0.6077922077922078,0.0017120947418587885,0.46025036525461704,0.5911701408972113,0.0012925656055672952,0.4031100293860003,0.4844144190535279,part_2,part_0,part_1,onehot,CV
20,KNN,,0.6645359661177765,0.6906279428276493,0.5374217432342361,0.41597619442531975,0.5182885148851986,0.42278771292458345,0.3779857142857143,0.45332523809523795,0.35539,part_2,part_1,part_0,onehot,CV
21,Ridge,,1.0,0.6649350649350649,0.543859649122807,2.526600251476544e-07,0.5376095589391932,0.41265415310012,2.2821448474553928e-07,0.4472003714131136,0.38095537833456233,part_2,part_1,part_0,onehot,CV
22,RandomForest,,0.9912087912087912,0.4246753246753247,0.5603715170278638,0.18799388881186302,0.5689655849690128,0.4297383876336535,0.1581875714285714,0.4862480714285713,0.3920324444444444,part_2,part_1,part_0,onehot,CV
23,MLP,,1.0,0.6649350649350649,0.42002063983488136,0.0010302896877333568,0.5864348605736451,0.46609633671072875,0.0005727733385865413,0.47847368691651176,0.39647721695245586,part_2,part_1,part_0,onehot,CV
