index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.7036959488242835,0.26463825381860784,0.256357503730961,0.4557274955375075,0.5773828904717594,0.6251111974109658,0.39223,0.49465428571428566,0.5532857142857142,part_0,part_1,part_2,onehot_pad,CV
1,Ridge,,1.0,0.2025974025974026,0.4197802197802198,1.6666727441929373e-07,0.6218509341080416,0.526143773091071,1.5053000342278114e-07,0.5507326487718058,0.4759824590072439,part_0,part_1,part_2,onehot_pad,CV
2,RandomForest,,0.9566563467492261,0.14155844155844155,0.6424646351936143,0.21880149235856758,0.6189961136675004,0.5203325065261726,0.19639354992283928,0.5403831583333335,0.46445212443310663,part_0,part_1,part_2,onehot_pad,CV
3,MLP,,1.0,0.3051948051948052,0.5296703296703297,0.0004834099181684107,0.7040045556299228,0.5260310331645659,0.0003767067938680367,0.6229142086072716,0.45309793977629864,part_0,part_1,part_2,onehot_pad,CV
4,KNN,,0.8206728209522433,0.3572235637683065,-0.32058118401905333,0.27792704034862176,0.6071315435395481,0.6559512592138883,0.22755416666666667,0.5406642857142856,0.5647880952380953,part_0,part_2,part_1,onehot_pad,CV
5,Ridge,,1.0,0.4197802197802198,0.2025974025974026,1.6666727441929373e-07,0.526143773091071,0.6218509341080416,1.5053000342278114e-07,0.4759824590072439,0.5507326487718058,part_0,part_2,part_1,onehot_pad,CV
6,RandomForest,,0.9566563467492261,0.6424646351936143,0.14155844155844155,0.21880149235856758,0.5203325065261726,0.6189961136675004,0.19639354992283928,0.46445212443310663,0.5403831583333335,part_0,part_2,part_1,onehot_pad,CV
7,MLP,,1.0,0.5296703296703297,0.3051948051948052,0.0004834099181684107,0.5260310331645659,0.7040045556299228,0.0003767067938680367,0.45309793977629864,0.6229142086072716,part_0,part_2,part_1,onehot_pad,CV
8,KNN,,0.6917830829291735,0.18585443880992236,-0.015384615384615385,0.473419053074848,0.5615402653861964,0.6471876458515391,0.3754938095238095,0.46203722222222215,0.5460485714285714,part_1,part_0,part_2,onehot_pad,CV
9,Ridge,,1.0,0.37048503611971106,0.2527472527472528,2.4241488600196475e-07,0.530608793939888,0.6232870680567246,1.8638761471319173e-07,0.4511483454742822,0.5451978107456139,part_1,part_0,part_2,onehot_pad,CV
10,RandomForest,,0.9818181818181818,0.2528379772961816,0.43736263736263736,0.2607622096344127,0.5635769485888864,0.6346940625969975,0.21535691113687902,0.460586377933101,0.5540992325474129,part_1,part_0,part_2,onehot_pad,CV
11,MLP,,1.0,0.4303405572755417,0.3934065934065934,0.00044125257781416115,0.4465910981388374,0.5189477667528272,0.0003427440776776829,0.40931797909144146,0.46324411306660224,part_1,part_0,part_2,onehot_pad,CV
12,KNN,,0.6917830829291735,-0.015384615384615385,0.18585443880992236,0.473419053074848,0.6471876458515391,0.5615402653861964,0.3754938095238095,0.5460485714285714,0.46203722222222215,part_1,part_2,part_0,onehot_pad,CV
13,Ridge,,1.0,0.2527472527472528,0.3457172342621259,0.022968954617158883,0.6232402818009342,0.5312477169513082,0.017830121372062337,0.545118306027884,0.4512201174657484,part_1,part_2,part_0,onehot_pad,CV
14,RandomForest,,0.9896103896103896,0.42857142857142855,0.25696594427244585,0.23192666999196004,0.6345386065894789,0.5658804899782897,0.19294950000000002,0.5543691071428569,0.4622576944444443,part_1,part_2,part_0,onehot_pad,CV
15,MLP,,0.9948051948051948,0.47252747252747257,0.20743034055727552,0.010504824958435912,0.49196684457041534,0.536020501779124,0.008543839110714583,0.4274977592092389,0.4643634538775749,part_1,part_2,part_0,onehot_pad,CV
16,KNN,,0.9042909762485462,0.10494235276601693,0.1447912202416385,0.40741724839004334,0.4661272312481981,0.66004756981888,0.3439899999999999,0.4288955555555556,0.6014080952380951,part_2,part_0,part_1,onehot_pad,CV
17,Ridge,,0.9956043956043955,0.21362229102167182,0.06363636363636363,0.06676484817685992,0.46762873542675937,0.6395433401965036,0.05643872743990922,0.43462639838924033,0.5632924742841544,part_2,part_0,part_1,onehot_pad,CV
18,RandomForest,,0.9868131868131869,0.16408668730650156,0.16883116883116883,0.31337558077466776,0.47060469320043974,0.6452565933257669,0.26206904384920643,0.43916899386022923,0.5723815352891156,part_2,part_0,part_1,onehot_pad,CV
19,MLP,,1.0,0.16615067079463364,0.3064935064935065,0.0006050513815530094,0.505748230892302,0.7322142991730887,0.000484973220867231,0.4301810038575271,0.6359106289462076,part_2,part_0,part_1,onehot_pad,CV
20,KNN,,1.0,0.2673836839092163,-0.0011097268709022248,0.0,0.620913244457595,0.5728455861360507,0.0,0.48680476190476196,0.5069611111111111,part_2,part_1,part_0,onehot_pad,CV
21,Ridge,,1.0,0.06363636363636363,0.20330237358101136,1.5507038465286085e-07,0.636718649738833,0.46768890141130637,1.3002307843897304e-07,0.5594019464332312,0.4354998699443153,part_2,part_1,part_0,onehot_pad,CV
22,RandomForest,,0.9868131868131869,0.16883116883116883,0.16408668730650156,0.31337558077466776,0.6452565933257669,0.47060469320043974,0.26206904384920643,0.5723815352891156,0.43916899386022923,part_2,part_1,part_0,onehot_pad,CV
23,MLP,,1.0,0.3064935064935065,0.16615067079463364,0.0006050513815530094,0.7322142991730887,0.505748230892302,0.000484973220867231,0.6359106289462076,0.4301810038575271,part_2,part_1,part_0,onehot_pad,CV
