,,test_spearman,test_spearman
,,mean,sem
model,embedding,,
KNN,af2,0.23788972675004816,0.06047562262841433
KNN,ct,0.48596618829639276,0.0580032094522653
KNN,esm_1b,0.411798880220585,0.04401753170723933
KNN,esm_2,0.36627961298589984,0.061888205828585126
KNN,esm_if1,0.437771181890398,0.07825476545458972
KNN,eve,0.5525757714114108,0.030940960146442903
KNN,onehot,0.5275220179756098,0.04175585932025095
MLP,af2,0.5503621753479315,0.042287134489155574
MLP,ct,0.28909678213083784,0.21015987308157866
MLP,esm_1b,0.2951225073516095,0.07553391275147107
MLP,esm_2,0.458529341686345,0.0483011740347249
MLP,esm_if1,0.4400482730204092,0.0857756497926898
MLP,eve,0.3838943821915958,0.04196993588450874
MLP,onehot,0.4583616074328149,0.0632350843973714
RandomForest,af2,0.5532042432971225,0.03313690761061705
RandomForest,ct,0.5496067400092168,0.04611190844444363
RandomForest,esm_1b,0.5112963747638669,0.05160705852560623
RandomForest,esm_2,0.5816172131961606,0.04729532961795216
RandomForest,esm_if1,0.46115982400812117,0.04401047283351095
RandomForest,eve,0.5041128623397872,0.03837432058207748
RandomForest,onehot,0.542025810446863,0.03642817281525777
Ridge,af2,0.4784467338646905,0.06507254375586712
Ridge,ct,0.6228351455905635,0.04719418647753743
Ridge,esm_1b,0.4432838403426638,0.045825190457915804
Ridge,esm_2,0.5024438238060529,0.05280809888966481
Ridge,esm_if1,0.47964651447623585,0.08226162671443678
Ridge,eve,0.43721996384535083,0.02905015874021658
Ridge,onehot,0.5406216934080711,0.061832513187877435
