index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.27925635560557577,0.20326681231081956,-0.002463077628823041,2.210193326298186,2.3762148641925407,2.335698222933452,1.817309107962269,1.9075817559885722,1.9275191176240192,part_0,part_1,part_2,af2,CV
1,Ridge,,0.8626331763932141,0.08271758867849574,-0.02935131313816001,1.1126138469369402,2.855456636186961,3.0714255114649616,0.8904951400668067,2.3020479154016336,2.4939891356344606,part_0,part_1,part_2,af2,CV
2,RandomForest,,0.9647561856211849,0.21506470032300073,0.15677636545469595,0.9354214462774214,2.377269162779407,2.3144249899446603,0.7560530478903389,1.9358917999168832,1.9024722021684544,part_0,part_1,part_2,af2,CV
3,MLP,,,,,2.480602938352092,2.4978219733488185,2.5594954142739543,2.2307823899876342,2.1975464482437514,2.3292606980328134,part_0,part_1,part_2,af2,CV
4,KNN,,0.27925635560557577,-0.002463077628823041,0.20326681231081956,2.210193326298186,2.335698222933452,2.3762148641925407,1.817309107962269,1.9275191176240192,1.9075817559885722,part_0,part_2,part_1,af2,CV
5,Ridge,,0.8626331763932141,-0.02935131313816001,0.08271758867849574,1.1126138469369402,3.0714255114649616,2.855456636186961,0.8904951400668067,2.4939891356344606,2.3020479154016336,part_0,part_2,part_1,af2,CV
6,RandomForest,,0.9617762790891248,0.15599518653693323,0.18372570300340013,0.9608739783605799,2.3112156247598556,2.3870357570110485,0.7769847651702503,1.8963979017477075,1.9460744475481324,part_0,part_2,part_1,af2,CV
7,MLP,,,,,2.480602938352092,2.5594954142739543,2.4978219733488185,2.2307823899876342,2.3292606980328134,2.1975464482437514,part_0,part_2,part_1,af2,CV
8,KNN,,0.2065328992386667,0.11094307209824679,-0.013007476405676751,2.350894305906612,2.2922875936624307,2.3900397738347183,1.9597276967345543,1.9527218500980776,2.044471915985561,part_1,part_0,part_2,af2,CV
9,Ridge,,0.7794855585217434,0.2906961525468551,0.0461991952943521,1.5009675946699759,2.64181881049775,3.0227750578402794,1.2214752353062974,2.1568177114583804,2.4436884526607305,part_1,part_0,part_2,af2,CV
10,RandomForest,,0.9736930280145585,0.28210976188149733,0.1144206313463732,1.0318252633694125,2.2239044099189114,2.3436386773968336,0.8461401833564245,1.931046032770784,1.994330531698693,part_1,part_0,part_2,af2,CV
11,MLP,,0.20591775272733204,0.21108092898372768,0.07950781596095895,2.335513381013275,2.293148779464338,2.3648558733282066,1.9594156657643207,1.9550513291247067,2.034955403172577,part_1,part_0,part_2,af2,CV
12,KNN,,0.2065328992386667,-0.013007476405676751,0.11094307209824679,2.350894305906612,2.3900397738347183,2.2922875936624307,1.9597276967345543,2.044471915985561,1.9527218500980776,part_1,part_2,part_0,af2,CV
13,Ridge,,0.7794855585217434,0.0461991952943521,0.2906961525468551,1.5009675946699759,3.0227750578402794,2.64181881049775,1.2214752353062974,2.4436884526607305,2.1568177114583804,part_1,part_2,part_0,af2,CV
14,RandomForest,,0.9701461889227998,0.14708015344913256,0.2450619793688494,1.0045330577265164,2.3115993214643566,2.2458173067817437,0.8200697840464324,1.9684416066265726,1.943337914336243,part_1,part_2,part_0,af2,CV
15,MLP,,0.20591775272733204,0.07950781596095895,0.21108092898372768,2.335513381013275,2.3648558733282066,2.293148779464338,1.9594156657643207,2.034955403172577,1.9550513291247067,part_1,part_2,part_0,af2,CV
16,KNN,,0.1836594148691486,0.1258749889274028,0.13674577279962602,2.275260372824747,2.2931190550636034,2.448857794974512,1.8656616653967704,1.857212054431318,1.9509242606267359,part_2,part_0,part_1,af2,CV
17,Ridge,,0.779790916625196,0.02861068576172197,0.16638299915811625,1.3571871839946008,2.8689457658932436,2.8226848105965514,1.083080599764514,2.29453540120628,2.2358163317441244,part_2,part_0,part_1,af2,CV
18,RandomForest,,0.9755462827571451,0.16588644008181877,0.11750976680911118,0.8690444199613646,2.2360181017787903,2.3877205105161448,0.7060484283916976,1.8505049539228604,1.945556977988404,part_2,part_0,part_1,af2,CV
19,MLP,,0.2262596286337565,0.2381311895966888,0.15079736878219988,2.2425190018383114,2.2295881835822735,2.4056670589794145,1.8441300012369377,1.8045841969752392,1.9255862301700166,part_2,part_0,part_1,af2,CV
20,KNN,,0.1836594148691486,0.13674577279962602,0.1258749889274028,2.275260372824747,2.448857794974512,2.2931190550636034,1.8656616653967704,1.9509242606267359,1.857212054431318,part_2,part_1,part_0,af2,CV
21,Ridge,,0.779790916625196,0.16638299915811625,0.02861068576172197,1.3571871839946008,2.8226848105965514,2.8689457658932436,1.083080599764514,2.2358163317441244,2.29453540120628,part_2,part_1,part_0,af2,CV
22,RandomForest,,0.9755462827571451,0.11750976680911118,0.16588644008181877,0.8690444199613646,2.3877205105161448,2.2360181017787903,0.7060484283916976,1.945556977988404,1.8505049539228604,part_2,part_1,part_0,af2,CV
23,MLP,,0.3102666719115604,0.06192139445562802,0.11067968904793547,2.1777824254292946,2.4982732498411635,2.3259640956728966,1.773909796404895,2.024952549659894,1.9129911317009656,part_2,part_1,part_0,af2,CV
