index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.3062527308360289,0.08257241834334322,-0.037878055335811886,2.191520089319207,2.42876055041732,2.3813874354524383,1.7997537001725097,1.9353629379768755,1.9661993496556092,part_0,part_1,part_2,ct,CV
1,Ridge,,0.20685976019414481,0.08288991991506388,0.018462014033050686,2.291181809765351,2.3978636685674326,2.322583874247327,1.9253387925576824,1.9704882753272694,1.9806994080508107,part_0,part_1,part_2,ct,CV
2,RandomForest,,0.9448587629106657,-0.013616509145901597,0.008607434371644589,1.0250740986992308,2.537198894848385,2.433205664098919,0.8333274626722269,2.087148739296646,2.020040419816662,part_0,part_1,part_2,ct,CV
3,MLP,,0.08710408478310404,0.08008953732083161,0.05488581349391805,2.301446189492152,2.3984918606042713,2.3227026248346854,1.9383811053730955,1.9730814866894815,1.9843687462220099,part_0,part_1,part_2,ct,CV
4,KNN,,0.3062527308360289,-0.037878055335811886,0.08257241834334322,2.191520089319207,2.3813874354524383,2.42876055041732,1.7997537001725097,1.9661993496556092,1.9353629379768755,part_0,part_2,part_1,ct,CV
5,Ridge,,0.20685976019414481,0.018462014033050686,0.08288991991506388,2.291181809765351,2.322583874247327,2.3978636685674326,1.9253387925576824,1.9806994080508107,1.9704882753272694,part_0,part_2,part_1,ct,CV
6,RandomForest,,0.9489185641107923,-0.008356939377547194,-0.0177566734461704,0.9993817442684113,2.4279149712334385,2.541629391156307,0.8036591332679073,2.0222214603184323,2.0792694691719547,part_0,part_2,part_1,ct,CV
7,MLP,,-0.06734950419469679,0.02238770457884454,-0.13633929586119897,2.313769695468093,2.317079180658025,2.424853257704227,1.9065981827648095,1.9395102441270609,1.961709517283411,part_0,part_2,part_1,ct,CV
8,KNN,,0.30935330129595884,0.0095080364954179,0.024694694950015094,2.2880535330088008,2.3782692279375253,2.3878035238055144,1.9106235887990877,2.0554934046104156,2.057608574781629,part_1,part_0,part_2,ct,CV
9,Ridge,,0.26584387868513715,0.11305735178347223,0.025336540785954622,2.3541607758304117,2.304769641830351,2.3459098542106545,1.9704789541135581,1.9746848935574604,2.0408677293835478,part_1,part_0,part_2,ct,CV
10,RandomForest,,0.9773761399047985,0.1268491304621078,0.06146568504099921,0.894989299832712,2.3172750387933636,2.377036019511758,0.7364191920247305,1.967748011279443,2.025409546624697,part_1,part_0,part_2,ct,CV
11,MLP,,0.1207437872431861,0.09887342756111271,0.0457842415807257,2.3891063909316737,2.315598876926961,2.3550727746782627,2.0142198849378987,1.997637264072271,2.0626255105022344,part_1,part_0,part_2,ct,CV
12,KNN,,0.30935330129595884,0.024694694950015094,0.0095080364954179,2.2880535330088008,2.3878035238055144,2.3782692279375253,1.9106235887990877,2.057608574781629,2.0554934046104156,part_1,part_2,part_0,ct,CV
13,Ridge,,0.26584387868513715,0.025336540785954622,0.11305735178347223,2.3541607758304117,2.3459098542106545,2.304769641830351,1.9704789541135581,2.0408677293835478,1.9746848935574604,part_1,part_2,part_0,ct,CV
14,RandomForest,,0.9695336637667371,0.07734813360291926,0.07980958049388412,1.060729401218424,2.3534775248725275,2.340159908704898,0.8606176262064589,2.00739373919733,1.987189394372758,part_1,part_2,part_0,ct,CV
15,MLP,,0.12923110064416696,0.07016448536793768,-0.014880629503087306,2.3891159412990115,2.348854424972269,2.3156149841300095,2.0087606279608052,2.0522406752255615,1.9915438561329148,part_1,part_2,part_0,ct,CV
16,KNN,,0.1475453584381706,0.031267137705804804,0.07635772312460469,2.2963723455536624,2.3260055056684714,2.4200097362510546,1.8930995067769134,1.9077861027886729,1.9484106773370649,part_2,part_0,part_1,ct,CV
17,Ridge,,0.24453641104631396,0.10958278301915693,0.10011133628678487,2.283787684680479,2.3006552708376553,2.4119692509962802,1.9056836157717372,1.894748653205548,1.9491741933384525,part_2,part_0,part_1,ct,CV
18,RandomForest,,0.9511081738649134,0.014272505322337765,0.032710154549686225,1.0760275121311984,2.3287386827060845,2.4342361134837875,0.8882526638683813,1.9299318344482945,1.977579528888396,part_2,part_0,part_1,ct,CV
19,MLP,,0.12294431359233174,0.043853616248781334,0.059546530022540484,2.315936716891593,2.310322441342347,2.419845625453217,1.9381821754342754,1.904803466205579,1.955983908703657,part_2,part_0,part_1,ct,CV
20,KNN,,0.1475453584381706,0.07635772312460469,0.031267137705804804,2.2963723455536624,2.4200097362510546,2.3260055056684714,1.8930995067769134,1.9484106773370649,1.9077861027886729,part_2,part_1,part_0,ct,CV
21,Ridge,,0.24453641104631396,0.10011133628678487,0.10958278301915693,2.283787684680479,2.4119692509962802,2.3006552708376553,1.9056836157717372,1.9491741933384525,1.894748653205548,part_2,part_1,part_0,ct,CV
22,RandomForest,,0.9562277128932142,0.058422162362214106,-0.06280698576435163,1.0729999451902876,2.420957976205546,2.362201333477394,0.865845507804343,1.9633727013927413,1.9486615827711753,part_2,part_1,part_0,ct,CV
23,MLP,,0.12294431359233174,0.059546530022540484,0.043853616248781334,2.315936716891593,2.419845625453217,2.310322441342347,1.9381821754342754,1.955983908703657,1.904803466205579,part_2,part_1,part_0,ct,CV
