index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.3973071345608595,0.1854902250126087,0.014076448178944288,2.1157007183172643,2.426800093894774,2.454525696255648,1.7172616301482044,1.9233369172670476,1.9973975501871144,part_0,part_1,part_2,esm_1b,CV
1,Ridge,,0.4151565172521209,0.18636499335475348,0.12072107534684723,2.145202792848362,2.3699373695977504,2.3167178002974964,1.8133600561766536,1.9449774989682949,1.932783528203665,part_0,part_1,part_2,esm_1b,CV
2,RandomForest,,0.9644118143252287,0.15530228796334636,0.18834558715761493,0.8689791004931541,2.4039025825590343,2.3058858175521415,0.7175853364988605,1.9553376202141062,1.8955298579879187,part_0,part_1,part_2,esm_1b,CV
3,MLP,,0.2617450766602285,0.04391917758907477,0.03743948433055103,2.3363666095349185,2.4988898641678254,2.347640983152301,1.8240115269617,1.9394577648548241,1.853321108351935,part_0,part_1,part_2,esm_1b,CV
4,KNN,,0.2893515120242055,-0.015337298361999877,0.09801669178790322,2.204699393900991,2.3857964088300982,2.432253356017968,1.8344243512436462,1.9485185193775332,1.9465345706358972,part_0,part_2,part_1,esm_1b,CV
5,Ridge,,0.36936409252481744,0.10790700011688008,0.18950957013071829,2.1894197587501103,2.3138812577659857,2.3704220719928624,1.8479497921258317,1.9458791101427364,1.9480388114294804,part_0,part_2,part_1,esm_1b,CV
6,RandomForest,,0.9659933345254433,0.19359151575740544,0.1444140445355045,0.8678393213375646,2.2987790247399507,2.413954087943944,0.7072923331645132,1.8888700941583252,1.9692098388327015,part_0,part_2,part_1,esm_1b,CV
7,MLP,,0.2617450766602285,0.03743948433055103,0.04391917758907477,2.3363666095349185,2.347640983152301,2.4988898641678254,1.8240115269617,1.853321108351935,1.9394577648548241,part_0,part_2,part_1,esm_1b,CV
8,KNN,,0.26484220337258485,0.18053018250205866,0.04291154366969386,2.3156709625076113,2.273524959444708,2.4041528189714336,1.9665841736591358,1.9595764144255872,2.0763376145463464,part_1,part_0,part_2,esm_1b,CV
9,Ridge,,0.3704906172169286,0.23718523244342438,0.14210375441745904,2.243373320202461,2.24515512455306,2.326548675697509,1.8879553273311602,1.9261425121660292,1.9920477134416523,part_1,part_0,part_2,esm_1b,CV
10,RandomForest,,0.9741720901205617,0.2587333207597564,0.1049071512513976,1.0178585286815773,2.2244876531091524,2.3488324605998128,0.8355473678163264,1.9206157756251097,2.003620857209418,part_1,part_0,part_2,esm_1b,CV
11,MLP,,0.47825102529203944,0.21387149476574488,0.13291919176154143,2.1256066859121026,2.2632454911890245,2.3586534407510746,1.7030744840469678,1.8494592374248668,1.9110206244955394,part_1,part_0,part_2,esm_1b,CV
12,KNN,,0.26484220337258485,0.04291154366969386,0.18053018250205866,2.3156709625076113,2.4041528189714336,2.273524959444708,1.9665841736591358,2.0763376145463464,1.9595764144255872,part_1,part_2,part_0,esm_1b,CV
13,Ridge,,0.3704906172169286,0.14210375441745904,0.23718523244342438,2.243373320202461,2.326548675697509,2.24515512455306,1.8879553273311602,1.9920477134416523,1.9261425121660292,part_1,part_2,part_0,esm_1b,CV
14,RandomForest,,0.9703503639748208,0.0842957531200583,0.2378451115452132,1.0230896497850812,2.3444247719875815,2.229854155763395,0.8337636457771262,1.9913308204870868,1.9238465650751508,part_1,part_2,part_0,esm_1b,CV
15,MLP,,0.47825102529203944,0.13291919176154143,0.21387149476574488,2.1256066859121026,2.3586534407510746,2.2632454911890245,1.7030744840469678,1.9110206244955394,1.8494592374248668,part_1,part_2,part_0,esm_1b,CV
16,KNN,,0.25647870278618534,0.06956499236867025,0.06050231277752845,2.2486860692903368,2.31394529908278,2.431767999597464,1.8407628433789025,1.9050547196331198,1.9343581858668568,part_2,part_0,part_1,esm_1b,CV
17,Ridge,,0.35112012757735434,0.2509322160843102,0.16140833957642237,2.2010634037554837,2.2603903525354627,2.379578223739525,1.8338022268534777,1.849105956106818,1.9169999134934794,part_2,part_0,part_1,esm_1b,CV
18,RandomForest,,0.9633816671927251,0.252300743633269,0.08280234942256866,0.992403970374931,2.216782831116138,2.4104541931253616,0.7968903042127921,1.8309828777652004,1.9496973968215758,part_2,part_0,part_1,esm_1b,CV
19,MLP,,0.03746613273417842,0.21804873849154838,-0.002588246588348115,2.374589816491159,2.390264718566643,2.55275914574431,1.823268364334116,1.8255530109812457,1.949448048491449,part_2,part_0,part_1,esm_1b,CV
20,KNN,,0.25647870278618534,0.06050231277752845,0.06956499236867025,2.2486860692903368,2.431767999597464,2.31394529908278,1.8407628433789025,1.9343581858668568,1.9050547196331198,part_2,part_1,part_0,esm_1b,CV
21,Ridge,,0.35112012757735434,0.16140833957642237,0.2509322160843102,2.2010634037554837,2.379578223739525,2.2603903525354627,1.8338022268534777,1.9169999134934794,1.849105956106818,part_2,part_1,part_0,esm_1b,CV
22,RandomForest,,0.9657891601147189,0.13081298900592558,0.23148718137594165,1.0031548776532115,2.3864102331588555,2.240091465265933,0.8074040471122584,1.9335531703127997,1.859308136646819,part_2,part_1,part_0,esm_1b,CV
23,MLP,,0.03746613273417842,-0.002588246588348115,0.21804873849154838,2.374589816491159,2.55275914574431,2.390264718566643,1.823268364334116,1.949448048491449,1.8255530109812457,part_2,part_1,part_0,esm_1b,CV
