index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.27754164433479744,0.08469286164964018,0.06038835114081859,2.208685996089867,2.4510317165005433,2.3543437939351306,1.8380851262779656,1.9529772287996698,1.909634417449649,part_0,part_1,part_2,esm_2,CV
1,Ridge,,0.3411983026281024,0.15058565694510098,0.10464828104473159,2.1985706190747547,2.3787329343520214,2.3118941773043775,1.8561622258760284,1.9516922026742347,1.948481285713719,part_0,part_1,part_2,esm_2,CV
2,RandomForest,,0.9598683028626857,0.13401984853858484,0.14448612170174707,0.9725520071235056,2.399535382777422,2.3205734492623353,0.803386523147496,1.9728390478892472,1.9194537044291,part_0,part_1,part_2,esm_2,CV
3,MLP,,,0.10474398732531773,,2.3110003911175228,2.3927262377302427,2.3432072179694603,1.9791321011699983,2.0028240308402574,2.0367734351037723,part_0,part_1,part_2,esm_2,CV
4,KNN,,0.27754164433479744,0.06038835114081859,0.08469286164964018,2.208685996089867,2.3543437939351306,2.4510317165005433,1.8380851262779656,1.909634417449649,1.9529772287996698,part_0,part_2,part_1,esm_2,CV
5,Ridge,,0.40960875539183295,0.12859758207614075,0.13589254586205224,2.1379875341607573,2.311601012773239,2.383204408814395,1.8074027382997,1.9341246911731342,1.9527879138785953,part_0,part_2,part_1,esm_2,CV
6,RandomForest,,0.9598683028626857,0.14448612170174707,0.13401984853858484,0.9725520071235056,2.3205734492623353,2.399535382777422,0.803386523147496,1.9194537044291,1.9728390478892472,part_0,part_2,part_1,esm_2,CV
7,MLP,,,,0.10474398732531773,2.304575085126136,2.324595398760925,2.4009402234374204,1.941078140876293,1.9864590059618188,1.975618469092758,part_0,part_2,part_1,esm_2,CV
8,KNN,,0.2748847125253124,0.1487356292095421,0.05234203302194418,2.3010043603257317,2.2912124561477563,2.389211591462883,1.9393394465620009,1.9638709768529052,2.0537095300713992,part_1,part_0,part_2,esm_2,CV
9,Ridge,,0.3627806675461192,0.2094036255531807,0.10970081837248334,2.265160122847284,2.265819789567254,2.334937978446405,1.9081920143590785,1.9547186989462568,2.0058018862638827,part_1,part_0,part_2,esm_2,CV
10,RandomForest,,0.9818567520555702,0.26423231327466334,0.12881762175180686,0.9021784709160562,2.253295324272301,2.3588066147760682,0.7513867045295353,1.9465744231258382,2.016930070410351,part_1,part_0,part_2,esm_2,CV
11,MLP,,0.693921694691451,0.14165006601295035,0.16220502596507416,1.6676305393397917,2.4528848336397866,2.441181420891165,1.3584102385675807,2.0311930447999,1.953304414444568,part_1,part_0,part_2,esm_2,CV
12,KNN,,0.28058903581203065,0.1351227369301951,0.1585403419929063,2.286268746092452,2.3776974834391837,2.2957091017327595,1.8992703981058159,1.9999003640593485,1.942872742932308,part_1,part_2,part_0,esm_2,CV
13,Ridge,,0.5212167615831449,0.15917472178116035,0.19009395066056373,2.1068462993706847,2.324473903616289,2.277101769739576,1.7673705662629315,1.9701174401642287,1.962627177282313,part_1,part_2,part_0,esm_2,CV
14,RandomForest,,0.9842464430887421,0.11100582876726431,0.1986116661252829,0.8933203490664638,2.3482955996802892,2.2726378700495835,0.7405013972714392,2.003965539310309,1.9557218172746196,part_1,part_2,part_0,esm_2,CV
15,MLP,,0.693921694691451,0.16220502596507416,0.14165006601295035,1.6676305393397917,2.441181420891165,2.4528848336397866,1.3584102385675807,1.953304414444568,2.0311930447999,part_1,part_2,part_0,esm_2,CV
16,KNN,,0.10265045123378348,0.1641824988717698,0.15149039593708372,2.3031322264825667,2.277642992918466,2.377359352621894,1.9325359764518444,1.8993697576443138,1.9353666609159867,part_2,part_0,part_1,esm_2,CV
17,Ridge,,0.41156327530202286,0.22620914385439395,0.13264822301709553,2.212188041936415,2.268792718612556,2.4031236864618646,1.8418352018361561,1.858161862601965,1.935848954396314,part_2,part_0,part_1,esm_2,CV
18,RandomForest,,0.9759932145551242,0.22443453685818054,0.13366628852877793,0.8834955907575726,2.243323568853888,2.3943530700083575,0.7261203402257639,1.8452340511254357,1.9488323885267234,part_2,part_0,part_1,esm_2,CV
19,MLP,,,,0.10474398732531773,2.3267361240602544,2.304741121000538,2.3987892546317373,1.9941049097908403,1.9468541972953803,1.979385867697736,part_2,part_0,part_1,esm_2,CV
20,KNN,,0.10265045123378348,0.15149039593708372,0.1641824988717698,2.3031322264825667,2.377359352621894,2.277642992918466,1.9325359764518444,1.9353666609159867,1.8993697576443138,part_2,part_1,part_0,esm_2,CV
21,Ridge,,0.41156327530202286,0.13264822301709553,0.22620914385439395,2.212188041936415,2.4031236864618646,2.268792718612556,1.8418352018361561,1.935848954396314,1.858161862601965,part_2,part_1,part_0,esm_2,CV
22,RandomForest,,0.9759932145551242,0.13366628852877793,0.22443453685818054,0.8834955907575726,2.3943530700083575,2.243323568853888,0.7261203402257639,1.9488323885267234,1.8452340511254357,part_2,part_1,part_0,esm_2,CV
23,MLP,,,0.10474398732531773,,2.3267361240602544,2.3987892546317373,2.304741121000538,1.9941049097908403,1.979385867697736,1.9468541972953803,part_2,part_1,part_0,esm_2,CV
