index,model,suffix,train_mcc,val_mcc,test_mcc,train_auroc,val_auroc,test_auroc,train_f1,val_f1,test_f1,train_id,val_id,test_id,embedding,strategy
0,KNN,,-0.07118052168020875,0.09633102268753534,-0.07742096611387637,0.492,0.5067567567567568,0.48951048951048953,0.6758241758241759,0.688034188034188,0.7035175879396985,part_0,part_1,part_2,ESM-2 (CLS),CV
1,LogReg,,0.22199212741078778,0.13652592788242301,-0.0630533084917859,0.5350877192982456,0.5135135135135135,0.493006993006993,0.7087912087912089,0.6923076923076923,0.7085427135678392,part_0,part_1,part_2,ESM-2 (CLS),CV
2,RandomForest,,1.0,0.10065286897590559,-0.04164108914772616,1.0,0.5295608108108107,0.4898851148851149,1.0,0.6794871794871795,0.6884422110552764,part_0,part_1,part_2,ESM-2 (CLS),CV
3,KNN,,-0.07118052168020875,-0.07742096611387637,0.09633102268753534,0.492,0.48951048951048953,0.5067567567567568,0.6758241758241759,0.7035175879396985,0.688034188034188,part_0,part_2,part_1,ESM-2 (CLS),CV
4,LogReg,,0.1100723633436029,0.0,0.0,0.5087719298245614,0.5,0.5,0.6923076923076923,0.7185929648241205,0.6837606837606838,part_0,part_2,part_1,ESM-2 (CLS),CV
5,RandomForest,,1.0,-0.04164108914772616,0.10065286897590559,1.0,0.4898851148851149,0.5295608108108107,1.0,0.6884422110552764,0.6794871794871795,part_0,part_2,part_1,ESM-2 (CLS),CV
6,KNN,,0.036691343118401186,0.04245855679170346,0.04897890927486941,0.5036317567567568,0.5047719298245614,0.505432067932068,0.6837606837606838,0.6868131868131868,0.7185929648241205,part_1,part_0,part_2,ESM-2 (CLS),CV
7,LogReg,,0.16757096431073037,0.1100723633436029,-0.04447269004274804,0.5202702702702703,0.5087719298245614,0.4965034965034965,0.6965811965811965,0.6923076923076923,0.7135678391959799,part_1,part_0,part_2,ESM-2 (CLS),CV
8,RandomForest,,1.0,0.22204501174498234,-0.05168799670301358,1.0,0.5780350877192982,0.4848276723276723,1.0,0.7087912087912089,0.6733668341708543,part_1,part_0,part_2,ESM-2 (CLS),CV
9,KNN,,0.036691343118401186,0.04897890927486941,0.04245855679170346,0.5036317567567568,0.505432067932068,0.5047719298245614,0.6837606837606838,0.7185929648241205,0.6868131868131868,part_1,part_2,part_0,ESM-2 (CLS),CV
10,LogReg,,0.0,0.0,0.0,0.5,0.5,0.5,0.6837606837606838,0.7185929648241205,0.6868131868131868,part_1,part_2,part_0,ESM-2 (CLS),CV
11,RandomForest,,1.0,-0.08475696371407256,0.2087273593649212,1.0,0.47589910089910087,0.5637192982456141,1.0,0.6683417085427136,0.7087912087912089,part_1,part_2,part_0,ESM-2 (CLS),CV
12,KNN,,0.0,-0.050192997684682925,0.09633102268753534,0.5,0.496,0.5067567567567568,0.7185929648241205,0.6813186813186813,0.688034188034188,part_2,part_0,part_1,ESM-2 (CLS),CV
13,LogReg,,0.0,0.0,0.0,0.5,0.5,0.5,0.7185929648241205,0.6868131868131868,0.6837606837606838,part_2,part_0,part_1,ESM-2 (CLS),CV
14,RandomForest,,1.0,0.060381858655734276,0.12831152700712123,1.0,0.5095438596491229,0.5358108108108108,1.0,0.6868131868131868,0.688034188034188,part_2,part_0,part_1,ESM-2 (CLS),CV
15,KNN,,0.0,0.09633102268753534,-0.050192997684682925,0.5,0.5067567567567568,0.496,0.7185929648241205,0.688034188034188,0.6813186813186813,part_2,part_1,part_0,ESM-2 (CLS),CV
16,LogReg,,0.0,0.0,0.0,0.5,0.5,0.5,0.7185929648241205,0.6837606837606838,0.6868131868131868,part_2,part_1,part_0,ESM-2 (CLS),CV
17,RandomForest,,1.0,-0.011527422325940194,0.00802044171976313,1.0,0.4978885135135135,0.5015438596491228,1.0,0.6709401709401709,0.6758241758241759,part_2,part_1,part_0,ESM-2 (CLS),CV
