index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.24054036434708978,0.07256596762870192,0.12575762363242254,2.2426810457672057,2.450056163493236,2.3098625806978967,1.836027565339483,1.9655543115330965,1.8789128544827238,part_0,part_1,part_2,esm_if1,CV
1,Ridge,,0.5513862188784318,0.16757152274075196,0.13641926923225794,2.0197593393255286,2.3645581910084337,2.307197832901228,1.7087550041097934,1.9481257363839812,1.9447283412492797,part_0,part_1,part_2,esm_if1,CV
2,RandomForest,,0.9750514939604059,0.11369085041179278,0.16468104335353842,0.9662619901445856,2.388806759567524,2.300916688917671,0.8002950928941805,1.971491875067078,1.9274372513398494,part_0,part_1,part_2,esm_if1,CV
3,MLP,,0.20048978356883568,0.09875984729565539,0.0873344325165407,2.3029618672993766,2.421179329734793,2.3132028669068903,1.8912895943522667,1.9500207718152096,1.9306666264196986,part_0,part_1,part_2,esm_if1,CV
4,KNN,,0.24054036434708978,0.12575762363242254,0.07256596762870192,2.2426810457672057,2.3098625806978967,2.450056163493236,1.836027565339483,1.8789128544827238,1.9655543115330965,part_0,part_2,part_1,esm_if1,CV
5,Ridge,,0.4754095505312945,0.1346993051238506,0.17673130259747152,2.118969577512322,2.304010035937837,2.367154272450508,1.7902755503068277,1.9506977023272216,1.9477211119979736,part_0,part_2,part_1,esm_if1,CV
6,RandomForest,,0.9750514939604059,0.16468104335353842,0.11369085041179278,0.9662619901445856,2.300916688917671,2.388806759567524,0.8002950928941805,1.9274372513398494,1.971491875067078,part_0,part_2,part_1,esm_if1,CV
7,MLP,,0.20048978356883568,0.0873344325165407,0.09875984729565539,2.3029618672993766,2.3132028669068903,2.421179329734793,1.8912895943522667,1.9306666264196986,1.9500207718152096,part_0,part_2,part_1,esm_if1,CV
8,KNN,,0.14043122614688486,0.11949683969678783,-0.01721867565809309,2.36105340090921,2.3037951959047116,2.370663374011737,1.9678110450315318,1.9720640979443216,2.0480865853915176,part_1,part_0,part_2,esm_if1,CV
9,Ridge,,0.4581290119656906,0.18598836801368748,0.13799913887588136,2.2443784229321633,2.2728951806859596,2.324105100175398,1.8925659604591678,1.9572086665304638,2.0245486456487565,part_1,part_0,part_2,esm_if1,CV
10,RandomForest,,0.9901609635176973,0.1630170110464384,0.10308744597512776,0.8973702580296679,2.2740021761327815,2.363029691863341,0.7490373791551075,1.9765753049138552,2.067136563707125,part_1,part_0,part_2,esm_if1,CV
11,MLP,,0.7436339732409816,0.115844691754512,0.12134875778478274,1.6238299860736842,2.5502788825737976,2.5511726279444344,1.3153055005108825,2.0925805285232792,2.1029710940875406,part_1,part_0,part_2,esm_if1,CV
12,KNN,,0.14043122614688486,-0.01721867565809309,0.11949683969678783,2.36105340090921,2.370663374011737,2.3037951959047116,1.9678110450315318,2.0480865853915176,1.9720640979443216,part_1,part_2,part_0,esm_if1,CV
13,Ridge,,0.4581290119656906,0.13799913887588136,0.18598836801368748,2.2443784229321633,2.324105100175398,2.2728951806859596,1.8925659604591678,2.0245486456487565,1.9572086665304638,part_1,part_2,part_0,esm_if1,CV
14,RandomForest,,0.9833721430380008,0.1127113265994168,0.16417652711519254,0.9941866944495042,2.350163160321641,2.2750351621726264,0.8168483030818069,2.0544706567437125,1.9823761894293752,part_1,part_2,part_0,esm_if1,CV
15,MLP,,0.7436339732409816,0.12134875778478274,0.115844691754512,1.6238299860736842,2.5511726279444344,2.5502788825737976,1.3153055005108825,2.1029710940875406,2.0925805285232792,part_1,part_2,part_0,esm_if1,CV
16,KNN,,0.22975035394792054,0.10213395744836233,0.1128455844280822,2.2578772712137605,2.3036433152799844,2.429421767022431,1.8388458037615243,1.8779155097588107,1.9339177995297343,part_2,part_0,part_1,esm_if1,CV
17,Ridge,,0.5336639765738077,0.1219203775743984,0.16079487783755209,2.092337245831282,2.284521644796879,2.3877948692133217,1.7285225243764626,1.86034548476544,1.9263340638823536,part_2,part_0,part_1,esm_if1,CV
18,RandomForest,,0.9760099649802613,0.17201843879391676,0.09934567984170631,0.8834894218500953,2.259587960930915,2.4165316111581383,0.7224041447342848,1.8644421184805609,1.9586927173710549,part_2,part_0,part_1,esm_if1,CV
19,MLP,,0.1241891747332109,0.1238751325606929,0.05683699596062946,2.318739781699359,2.3270819812196946,2.455785994014499,1.8883150721233581,1.8656136585527372,1.9397738531466509,part_2,part_0,part_1,esm_if1,CV
20,KNN,,0.22975035394792054,0.1128455844280822,0.10213395744836233,2.2578772712137605,2.429421767022431,2.3036433152799844,1.8388458037615243,1.9339177995297343,1.8779155097588107,part_2,part_1,part_0,esm_if1,CV
21,Ridge,,0.5336639765738077,0.16079487783755209,0.1219203775743984,2.092337245831282,2.3877948692133217,2.284521644796879,1.7285225243764626,1.9263340638823536,1.86034548476544,part_2,part_1,part_0,esm_if1,CV
22,RandomForest,,0.9760099649802613,0.09934567984170631,0.17201843879391676,0.8834894218500953,2.4165316111581383,2.259587960930915,0.7224041447342848,1.9586927173710549,1.8644421184805609,part_2,part_1,part_0,esm_if1,CV
23,MLP,,0.1241891747332109,0.05683699596062946,0.1238751325606929,2.318739781699359,2.455785994014499,2.3270819812196946,1.8883150721233581,1.9397738531466509,1.8656136585527372,part_2,part_1,part_0,esm_if1,CV
