index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,0,0.23060692108414993,0.02425006450807545,0.04128381691442752,2.2403911513326573,2.44284155478658,2.3424540723720217,1.8436242297412608,1.9609242508201943,1.9316218154985516,part_0,part_1,part_2,eve,CV
1,Ridge,0,0.22768527632835653,0.1937083162119489,0.04986148529940056,2.2142606880601847,2.365161090620358,2.34236732269626,1.8533588175091602,1.9163578221617603,1.9661680575985006,part_0,part_1,part_2,eve,CV
2,RandomForest,0,0.9435489569828973,0.05815009867210788,0.04383285042582596,1.0411964243663354,2.4674742299326113,2.4088319795579105,0.8523966293459776,2.0135787042798383,1.9906833902026346,part_0,part_1,part_2,eve,CV
3,MLP,0,0.7496492833637078,0.002168658506170666,0.020803282476721256,1.5171215674319058,2.933302328725579,2.883259513837311,1.146902966935272,2.3415026176129596,2.284743085815684,part_0,part_1,part_2,eve,CV
4,KNN,0,0.23060692108414993,0.04128381691442752,0.02425006450807545,2.2403911513326573,2.3424540723720217,2.44284155478658,1.8436242297412608,1.9316218154985516,1.9609242508201943,part_0,part_2,part_1,eve,CV
5,Ridge,0,0.20465618092052865,0.029856132773109483,0.18334549331269318,2.2409761005721935,2.3334976017270552,2.3709362420893134,1.8884331332041537,1.9689021507911173,1.9249728910474377,part_0,part_2,part_1,eve,CV
6,RandomForest,0,0.9448099935410147,0.057817181913947295,0.08096010999660717,1.0180860722515015,2.408618321343494,2.47139371902465,0.8125834362340284,1.9897232310535513,1.9956339254601783,part_0,part_2,part_1,eve,CV
7,MLP,0,0.7496492833637078,0.020803282476721256,0.002168658506170666,1.5171215674319058,2.883259513837311,2.933302328725579,1.146902966935272,2.284743085815684,2.3415026176129596,part_0,part_2,part_1,eve,CV
8,KNN,0,0.3195557029229137,0.010556096055897059,0.11227378784720922,2.300793883801366,2.387855067294195,2.3908981274755865,1.9675714285509307,2.073048969528019,2.07234154001036,part_1,part_0,part_2,eve,CV
9,Ridge,0,0.2396125918095601,0.13401126074798944,0.059970374566444,2.327223724556226,2.279787228332721,2.368805867887685,1.9407953116288088,1.9737222193088448,2.0447359084336654,part_1,part_0,part_2,eve,CV
10,RandomForest,0,0.9575423499938255,0.16027505924491056,0.09748602575685085,1.0679655963623524,2.3123524975415233,2.385916784083766,0.8680782543029943,1.9658352029647759,1.9910365477119754,part_1,part_0,part_2,eve,CV
11,MLP,0,0.5323369338989332,0.14731235985034105,0.08177411501536494,2.032090841033647,2.4079062765859383,2.4383468699179267,1.6661297480278956,1.9874386539316733,1.986326833486511,part_1,part_0,part_2,eve,CV
12,KNN,0,0.3613330920160901,0.15858148018899096,0.08400255797589681,2.2567902223695886,2.3600182478000633,2.425041222649735,1.8653520216262112,1.9887132827858556,2.0339461513614614,part_1,part_2,part_0,eve,CV
13,Ridge,0,0.2396125918095601,0.059970374566444,0.13401126074798944,2.327223724556226,2.368805867887685,2.279787228332721,1.9407953116288088,2.0447359084336654,1.9737222193088448,part_1,part_2,part_0,eve,CV
14,RandomForest,0,0.9575423499938255,0.09748602575685085,0.16027505924491056,1.0679655963623524,2.385916784083766,2.3123524975415233,0.8680782543029943,1.9910365477119754,1.9658352029647759,part_1,part_2,part_0,eve,CV
15,MLP,0,0.5322128366478915,0.08249742937882741,0.14573979650241262,2.030403396788511,2.4371530131213115,2.4085944801400356,1.6631471032484808,1.9837471473862578,1.9861373873369206,part_1,part_2,part_0,eve,CV
16,KNN,0,0.1838182025146707,0.05454825947422857,0.07274740080196879,2.2774442637833427,2.3833897842576968,2.4929546472896638,1.812495662442252,1.8889182614279802,1.9492638726515783,part_2,part_0,part_1,eve,CV
17,Ridge,0,0.2195030678046464,0.054878479669669446,0.03367390614305563,2.2691188205562796,2.315789502958332,2.4219706545269593,1.8883829578733982,1.909621243734818,1.9511963998786013,part_2,part_0,part_1,eve,CV
18,RandomForest,0,0.9158225778391609,0.11343058675529068,0.043505218174641966,1.0583973885321245,2.3527841097384083,2.5163860303012933,0.8443682896010766,1.9241716950900203,2.011902935274629,part_2,part_0,part_1,eve,CV
19,MLP,0,0.6014389387532095,-0.09813093879050852,0.11039972427581583,1.7443491902247152,2.7642154461117765,2.7301370941882968,1.4014386701475372,2.244321602185973,2.1848552647389616,part_2,part_0,part_1,eve,CV
20,KNN,0,0.38773665748942043,0.1097174881340138,0.026769992842282795,2.137520943337885,2.480296198499056,2.423128230266284,1.716750611750066,1.9504616014661849,1.9055898093431307,part_2,part_1,part_0,eve,CV
21,Ridge,0,0.2195030678046464,0.03367390614305563,0.054878479669669446,2.2691188205562796,2.4219706545269593,2.315789502958332,1.8883829578733982,1.9511963998786013,1.909621243734818,part_2,part_1,part_0,eve,CV
22,RandomForest,0,0.9145678177644386,0.05696016993664724,0.09776666145801371,1.0560810750499872,2.4987727446481616,2.366493648317175,0.8468221852444682,1.9960929488261712,1.9318715442454257,part_2,part_1,part_0,eve,CV
23,MLP,0,0.5988319615105826,0.11113025903666535,-0.09875797354316353,1.7481430089696943,2.7297687450537262,2.7646093707177335,1.4049010693856918,2.1846752007956916,2.2420615660429775,part_2,part_1,part_0,eve,CV
24,KNN,1,0.22664924235625694,0.014911827609129848,0.09283324628180896,2.24021597901099,2.452479531507919,2.3263577883322295,1.8484965986632973,1.9702088245665492,1.9251872310988323,part_0,part_1,part_2,eve,CV
25,Ridge,1,0.19734376135266143,0.1702956137097487,0.01562511301787042,2.2424904607272396,2.3765866765223462,2.3371641543334354,1.8827663512002641,1.9408181207414603,1.9890703729208254,part_0,part_1,part_2,eve,CV
26,RandomForest,1,0.9509370188383865,0.11795232980336773,0.047654234415529274,0.895938841338308,2.4422226506919387,2.4454531440337313,0.7255846182358859,1.9896582081020073,2.004098208218613,part_0,part_1,part_2,eve,CV
