index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.3658160797539259,0.21893477131095496,0.014355671791560172,2.1690911767183194,2.3885283479940114,2.416476494030712,1.7383311241684933,1.8599381635198342,1.9611366625924653,part_0,part_1,part_2,onehot,CV
1,Ridge,,0.901138067510717,0.10421684702317856,0.04106442860683586,1.3778676036949489,2.4452163368528734,2.370608977317068,1.1414616538250224,1.9941720503029128,1.966464082655168,part_0,part_1,part_2,onehot,CV
2,RandomForest,,0.9285812748615818,0.14601513284481554,0.05712812980980672,1.537483843320971,2.387592691100003,2.3248819663916414,1.281857872562232,1.9554244020815743,1.9523731188020172,part_0,part_1,part_2,onehot,CV
3,MLP,,0.9965249353195221,0.01683086134102037,0.0663309221603985,0.1256051710881222,2.730933853031797,2.5961841638295007,0.023583687356695793,2.212949348428625,2.093941221492488,part_0,part_1,part_2,onehot,CV
4,KNN,,0.22649291500505378,-0.0024303353360250767,0.20135088085504105,2.246841348776895,2.3452260863677226,2.39230879832808,1.8141598272046953,1.9200478658348323,1.8979250836483976,part_0,part_2,part_1,onehot,CV
5,Ridge,,0.901138067510717,0.04106442860683586,0.10421684702317856,1.3778676036949489,2.370608977317068,2.4452163368528734,1.1414616538250224,1.966464082655168,1.9941720503029128,part_0,part_2,part_1,onehot,CV
6,RandomForest,,0.9340056204192728,0.0568608408941875,0.1353671229070809,1.5306627692997057,2.3247728879299423,2.3879773862256424,1.281643512484987,1.952788352106904,1.9578746938107763,part_0,part_2,part_1,onehot,CV
7,MLP,,0.9966165022537069,0.06436274720677611,0.00973296853487013,0.12433883798282175,2.5955534727836342,2.734758563289105,0.023696838302927594,2.092539950370982,2.214567559415401,part_0,part_2,part_1,onehot,CV
8,KNN,,0.2680556817483279,0.19113104571948372,0.0933044363120352,2.3146902614630016,2.278634326771523,2.401897836198362,1.9351458128534647,1.9713067827210695,2.0996353212351684,part_1,part_0,part_2,onehot,CV
9,Ridge,,0.8861909060642781,0.09410791660850544,0.09232225229262594,1.4893117621769365,2.3790529539900813,2.389654767134343,1.2278550838851625,2.013585493520864,2.0432569767182116,part_1,part_0,part_2,onehot,CV
10,RandomForest,,0.9467901551623762,0.14237563443708917,0.0015235278845194794,1.5604640376077947,2.2783784851454194,2.347451787569198,1.2914551231752296,1.9652800900887424,2.02078757505451,part_1,part_0,part_2,onehot,CV
11,MLP,,0.996123249669832,0.09239103659253904,0.038223708780156865,0.14924227746483418,2.599033472189998,2.620541052562417,0.06513418502836839,2.123354809427923,2.173608565828026,part_1,part_0,part_2,onehot,CV
12,KNN,,0.2680556817483279,0.0933044363120352,0.19113104571948372,2.3146902614630016,2.401897836198362,2.278634326771523,1.9351458128534647,2.0996353212351684,1.9713067827210695,part_1,part_2,part_0,onehot,CV
13,Ridge,,0.8861909060642781,0.09232225229262594,0.09410791660850544,1.4893117621769365,2.389654767134343,2.3790529539900813,1.2278550838851625,2.0432569767182116,2.013585493520864,part_1,part_2,part_0,onehot,CV
14,RandomForest,,0.9586524447099511,0.13081320649201741,0.12650071486916792,1.2352705281933105,2.32089813559049,2.2830373915426203,1.0099927296027944,1.97306605956602,1.9543347837665326,part_1,part_2,part_0,onehot,CV
15,MLP,,0.9955317976269367,0.07269227679773513,0.06367684038347764,0.20830984290807522,2.600246535087137,2.6457913041158796,0.06388892877496381,2.14578761485547,2.1658390002393513,part_1,part_2,part_0,onehot,CV
16,KNN,,0.23786163828488435,0.07572884044918039,0.0019972633045020343,2.2632800551112218,2.311153960331744,2.467970722536806,1.8377040788775092,1.8646436401581914,1.9820957796706065,part_2,part_0,part_1,onehot,CV
17,Ridge,,0.8583960934963669,0.07229010395343319,0.025556066775089863,1.4329217727937276,2.352018534072644,2.4632487952330973,1.1473351518805965,1.8917436564646406,2.003336445427863,part_2,part_0,part_1,onehot,CV
18,RandomForest,,0.9302242006336141,0.09724209351881165,0.05700137958982334,1.5320136816774803,2.303355942780902,2.4261169568570407,1.2685907664351936,1.8754118385243468,1.9599599003616497,part_2,part_0,part_1,onehot,CV
19,MLP,,0.9940486500871172,0.20087993833188428,0.07665977108000267,0.280635833883278,2.3833656694576817,2.5853970152474317,0.04611946318602764,1.8811188975910027,2.125227310339136,part_2,part_0,part_1,onehot,CV
20,KNN,,0.23786163828488435,0.0019972633045020343,0.07572884044918039,2.2632800551112218,2.467970722536806,2.311153960331744,1.8377040788775092,1.9820957796706065,1.8646436401581914,part_2,part_1,part_0,onehot,CV
21,Ridge,,0.8583960934963669,0.025556066775089863,0.07229010395343319,1.4329217727937276,2.4632487952330973,2.352018534072644,1.1473351518805965,2.003336445427863,1.8917436564646406,part_2,part_1,part_0,onehot,CV
22,RandomForest,,0.9712787312619597,0.1380734112581248,0.0373812055882124,0.9072852547980363,2.4196797412051625,2.335349578940687,0.716231442452585,1.9318944532218316,1.874542535068175,part_2,part_1,part_0,onehot,CV
23,MLP,,0.9977413574469115,0.0818652983237294,0.221862700358901,0.12090615107995888,2.5793883435986347,2.397268059604448,0.015300484059322017,2.110907592135958,1.9056956630002784,part_2,part_1,part_0,onehot,CV
