index,model,suffix,train_spearman,val_spearman,test_spearman,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.18559642807252252,0.0805327169288857,0.003599833713291108,2.2644056607842127,2.41034951109656,2.3562225359002693,1.876307034575357,1.9611052778648153,1.9702372724983448,part_0,part_1,part_2,onehot_pad,CV
1,Ridge,,0.9259616643096841,0.06202379154820749,0.0478696695103086,1.2647063650450643,2.4494871544501535,2.3768249484996034,1.04494226425607,1.9912974564957753,1.953669999270135,part_0,part_1,part_2,onehot_pad,CV
2,RandomForest,,0.9705458036228524,0.15741615535972836,0.06820016925556599,0.890259973124978,2.38576543550376,2.382782297750906,0.7222167949885829,1.9570305138369666,1.9807282608642414,part_0,part_1,part_2,onehot_pad,CV
3,MLP,,0.9957545787210536,0.05426841761123749,0.02788717370457553,0.1354800993132443,2.608356639401965,2.544788773077591,0.02723146652102355,2.0829509609519734,2.010552806783673,part_0,part_1,part_2,onehot_pad,CV
4,KNN,,0.18559642807252252,0.003599833713291108,0.0805327169288857,2.2644056607842127,2.3562225359002693,2.41034951109656,1.876307034575357,1.9702372724983448,1.9611052778648153,part_0,part_2,part_1,onehot_pad,CV
5,Ridge,,0.9259616643096841,0.0478696695103086,0.06202379154820749,1.2647063650450643,2.3768249484996034,2.4494871544501535,1.04494226425607,1.953669999270135,1.9912974564957753,part_0,part_2,part_1,onehot_pad,CV
6,RandomForest,,0.9327475703669937,0.06949830173465946,0.07517575562162104,1.3426239611711157,2.3423600050592106,2.402736051543724,1.124888655689683,1.9662976503364278,1.9813236592555281,part_0,part_2,part_1,onehot_pad,CV
7,MLP,,0.9956749553000234,0.030630436512274376,0.05400664271655926,0.13548655519117264,2.5418575249470576,2.6131481134515337,0.029067025237298694,2.0061717140865225,2.0859636003247197,part_0,part_2,part_1,onehot_pad,CV
8,KNN,,0.24646408072769194,-0.07052519162357122,-0.061631877691307936,2.319488903502267,2.347981850733297,2.37946852050212,1.961595685558215,2.0040018340525463,2.0450191062149408,part_1,part_0,part_2,onehot_pad,CV
9,Ridge,,0.9228749814659134,0.04085676791618615,0.012756210124947674,1.3115303528589257,2.3575657097896454,2.4534766316628467,1.0883712573730935,2.0145058331431507,2.0981023548308233,part_1,part_0,part_2,onehot_pad,CV
10,RandomForest,,0.9415658962625008,0.10747668899949722,0.0826344154996312,1.353988077929005,2.2919370488653477,2.3723348510726994,1.119590321551213,1.973229476744575,2.0444468121851593,part_1,part_0,part_2,onehot_pad,CV
11,MLP,,0.9989264420124866,0.03936681465015617,-0.028896006127612162,0.10238521299685271,2.482005087112775,2.6023392031212333,0.030249155655838626,2.0310993645013515,2.1290307915297513,part_1,part_0,part_2,onehot_pad,CV
12,KNN,,0.24646408072769194,-0.061631877691307936,-0.07052519162357122,2.319488903502267,2.37946852050212,2.347981850733297,1.961595685558215,2.0450191062149408,2.0040018340525463,part_1,part_2,part_0,onehot_pad,CV
13,Ridge,,0.9228749814659134,0.012756210124947674,0.04085676791618615,1.3115303528589257,2.4534766316628467,2.3575657097896454,1.0883712573730935,2.0981023548308233,2.0145058331431507,part_1,part_2,part_0,onehot_pad,CV
14,RandomForest,,0.9415658962625008,0.0826344154996312,0.10747668899949722,1.353988077929005,2.3723348510726994,2.2919370488653477,1.119590321551213,2.0444468121851593,1.973229476744575,part_1,part_2,part_0,onehot_pad,CV
15,MLP,,0.9986112818977846,-0.028035643381928096,0.03994408445262603,0.1223996240857159,2.601847936618022,2.48683426136881,0.043643824782518395,2.139855208704599,2.035748958568874,part_1,part_2,part_0,onehot_pad,CV
16,KNN,,0.215095312186596,0.0420174047365597,0.058769331417897315,2.2510931364323916,2.3353948657026993,2.4499420734715422,1.8391753719245842,1.9023263495910183,1.9460937383084556,part_2,part_0,part_1,onehot_pad,CV
17,Ridge,,0.8894072214890324,0.012733775608274923,-0.03255327692944078,1.2883131532284124,2.3877848339628964,2.5429655608826724,1.0401320557758118,1.939815772777558,2.000191276525374,part_2,part_0,part_1,onehot_pad,CV
18,RandomForest,,0.941716515043663,0.08466457887430874,0.04084671768928248,1.1566607937341633,2.3240401933516104,2.4672992467202297,0.9272639711481665,1.8915786736280058,1.9733085001623603,part_2,part_0,part_1,onehot_pad,CV
19,MLP,,0.9975997402162061,0.05683718851697261,-0.0482944241740099,0.137965488297379,2.5014025918925755,2.7242970932029973,0.016589281654226528,1.9682773825930668,2.1498789337528676,part_2,part_0,part_1,onehot_pad,CV
20,KNN,,0.215095312186596,0.058769331417897315,0.0420174047365597,2.2510931364323916,2.4499420734715422,2.3353948657026993,1.8391753719245842,1.9460937383084556,1.9023263495910183,part_2,part_1,part_0,onehot_pad,CV
21,Ridge,,0.8894072214890324,-0.03255327692944078,0.012733775608274923,1.2883131532284124,2.5429655608826724,2.3877848339628964,1.0401320557758118,2.000191276525374,1.939815772777558,part_2,part_1,part_0,onehot_pad,CV
22,RandomForest,,0.9169140527745185,0.09378706087957639,0.0735541257622896,1.3423951781606103,2.4293596479592274,2.3343226395300105,1.0930997473370312,1.928144468555365,1.887716385687421,part_2,part_1,part_0,onehot_pad,CV
23,MLP,,0.9975936491525197,-0.042000587708043075,0.053405419070565556,0.13598432495739027,2.718822115708876,2.5042313326207704,0.016279350059593925,2.1491668161760904,1.9728985551568567,part_2,part_1,part_0,onehot_pad,CV
