,,test_spearman,test_spearman
,,mean,sem
model,embedding,,
KNN,af2,0.09356001535026588,0.034556274784490935
KNN,ct,0.03108699254722895,0.018223529854798644
KNN,esm_1b,0.07760036188079973,0.023527917224167617
KNN,esm_2,0.1119394137690271,0.021147892799080657
KNN,esm_if1,0.08593021619604395,0.021998663523411618
KNN,eve,0.06163562075094845,0.010788889355939494
KNN,onehot,0.09631135640530038,0.03467402443123193
MLP,af2,0.13801645069370544,0.028390621589041102
MLP,ct,0.008808379330279868,0.03104936373347617
MLP,esm_1b,0.10726830672501868,0.03883819021322323
MLP,esm_2,0.12833576665716495,0.014252313839885228
MLP,esm_if1,0.10066664297880216,0.010486783252397975
MLP,eve,0.06811756359520867,0.017628575991767575
MLP,onehot,0.07941448521630111,0.03014969837596168
RandomForest,af2,0.16389681434404138,0.01969372074626699
RandomForest,ct,0.017004865874282,0.021460557499405803
RandomForest,esm_1b,0.16496690421470672,0.026497390578858755
RandomForest,esm_2,0.1606726805840633,0.016554364045938186
RandomForest,esm_if1,0.1361666642485457,0.013950094089882495
RandomForest,eve,0.08318420094293892,0.008739038081788953
RandomForest,onehot,0.06915034677476843,0.02125129190683024
Ridge,af2,0.09754255138356349,0.04681769451009743
Ridge,ct,0.07490665763724715,0.017320615572220262
Ridge,esm_1b,0.1836433646665302,0.021297952601398818
Ridge,esm_2,0.14986549380188668,0.019660583929825542
Ridge,esm_if1,0.15330888902187476,0.010291556718154914
Ridge,eve,0.07000507492324436,0.0172315219864458
Ridge,onehot,0.07159293587661142,0.012977952600533244
